Year,ageadjrate_male,ageadjrate_female
2000,14.509259466099,11.3454566621564
2001,14.7114617093172,11.7077081383448
2002,14.8759919408796,11.6454698864368
2003,15.1556948710451,11.8263945898352
2004,14.9016296764419,11.7338523616614
2005,15.0772399571795,11.9154461763761
2006,15.0487227203536,11.837864327855
2007,14.9316346158953,11.9529315186853
2008,14.6729894970184,11.4167951134317
2009,14.4217979405953,11.4148719630583
2010,14.6802257205475,11.3729692712872
2011,13.2049866594127,10.396510054353
2012,13.2140171434406,10.2912799810599
2013,13.2258704096206,10.5501196057742
2014,13.4221547454862,10.6261277006205
2015,14.0142126634486,10.9426576727297
2016,14.0065731373512,11.0323332018173
2017,14.0246706671844,10.9507518775137
2018,14.2429987778246,10.8826980176089
2019,14.0157912343908,10.8057262330806
2020,14.6457170841544,11.2210879624872
2021,15.1969566924236,11.9314991331872
2022,14.9845082002985,11.8721138477367
