Year,excess_deaths_male
2000,3585.0035079205445
2001,3481.910475685349
2002,3823.1615824059504
2003,4040.157540412025
2004,3936.153953915808
2005,4064.668857985586
2006,4164.498746587991
2007,3886.1005617753976
2008,4378.987700372462
2009,4094.4617741889047
2010,4577.9350302453295
2011,3998.6706339757607
2012,4241.545952890948
2013,4032.3368915474402
2014,4339.252675297702
2015,4970.0492271503535
2016,4820.5980069992675
2017,5208.754363010158
2018,5824.723595401374
2019,5864.117088096396
2020,6293.70339002887
2021,6062.998981894644
2022,5957.700804987818
