age_cat,male_years_lost,female_years_lost
1-4 years,6.8293633695895295,7.931134372856585
10-14 years,4.019949182218425,4.48521811708268
15-19 years,6.919866998048977,9.190021225063852
20-24 years,18.69211695803289,22.863899443220426
25-29 years,31.57106248692913,34.810202528957895
30-34 years,50.87067669415868,52.53908926303869
35-39 years,77.24393024826618,78.0358351967881
40-44 years,118.71925165944992,109.4506289483225
45-49 years,182.7358862202717,159.71883329223897
5-9 years,3.7508422953835487,3.4619905271425053
50-54 years,268.3097750190487,226.14415042387498
55-59 years,371.96050479882433,327.50759033115776
60-64 years,520.4121117658325,465.66149151638564
65-69 years,703.8665870138777,662.1960762011478
70-74 years,964.050144000065,914.6341921383723
75-79 years,1323.353729060352,1224.9205352570534
80-84 years,1822.8475428730808,1588.8296904073031
< 1 year,274.17125336951335,226.65134713180603
