Year,Excess YPLL Rate,Excess YPLL Number
2000,24.797958971812193,33446.8790152263
2001,19.32863054710623,26399.17406949388
2002,25.368924775508503,34988.992290623566
2003,29.873453944935704,41541.26597136285
2004,27.610567904664265,38764.318182343086
2005,29.222586139761972,41410.01852347521
2006,31.60760828969177,45218.81034774238
2007,27.176077828691973,39228.886297861056
2008,38.09834340530881,55515.873926093154
2009,29.204899010147244,42939.28808940337
2010,39.377809965675624,58270.24794458279
2011,33.4970497528513,50028.87685489779
2012,36.94253779104423,55602.69240459045
2013,29.355311178297427,44500.62417495582
2014,32.42640938926229,49550.71868861327
2015,41.62794278876976,64115.30128554042
2016,38.05614179563946,58919.8895102365
2017,40.86174401943498,63790.617026292595
2018,49.652423432492185,77872.12059427152
2019,45.91873176697169,72251.15865442301
2020,50.95375849672985,80472.98691647162
2021,33.634113719821585,53944.845865127994
2022,35.21718175765892,56740.817076261046
