age_cat,unadj_excess_deaths_number,unadj_excess_deaths_rate,ratio_unadj_excess_deaths_rate,male_death_rate,female_death_rate,Year,age
1-4 years,84.66386778353731,0.17727691393531458,1.5029453075152543,0.5297544324375382,0.3524775185022236,2000-2005,2
10-14 years,-1.6103162009392449,-0.002478932977702332,0.9520886328080947,0.04926104279408389,0.05173997577178622,2000-2005,4
15-19 years,-8.470087524742777,-0.01319561253492774,0.6674496105867499,0.026484426806508598,0.03968003934143634,2000-2005,5
20-24 years,-2.450100756945268,-0.0039526868912743846,0.9288797215940995,0.05162480773993964,0.055577494631214024,2000-2005,6
25-29 years,7.559535841671686,0.013107725313996427,1.3093041029294732,0.055485841833793195,0.04237811651979677,2000-2005,7
30-34 years,-8.286491737205814,-0.016249484511883093,0.7263964473301417,0.04314113506640293,0.05939061957828602,2000-2005,8
35-39 years,-15.725659771786638,-0.029473859370675884,0.4525570553741696,0.024365284342868283,0.05383914371354417,2000-2005,9
40-44 years,6.638223724453127,0.011767018344342607,1.218637528457105,0.06558677393424905,0.05381975558990645,2000-2005,10
45-49 years,5.538292317983757,0.010551162890885396,1.2360566584941703,0.055248749301674865,0.04469758641078947,2000-2005,11
5-9 years,13.878927046614663,0.022778179585061523,1.300923767767548,0.09847236537186448,0.07569418578680295,2000-2005,3
50-54 years,-9.53134773180949,-0.02582125858590406,0.6772464359443079,0.05418175752780344,0.0800030161137075,2000-2005,12
55-59 years,0.5293531981585744,0.001726794926696959,1.02718724259887,0.0652416924164753,0.06351489748977834,2000-2005,13
60-64 years,3.6794112809014914,0.060713051614375665,1.6915421347442379,0.14850676448312222,0.08779371286874656,2000-2005,14
65-69 years,-1.299052710160149,-0.014227422196026296,0.9023199066526216,0.1314258189964193,0.1456532411924456,2000-2005,15
70-74 years,15.591871694206532,0.13342041866226217,7.47468478182647,0.15402689189733834,0.020606473235076174,2000-2005,16
80-84 years,-0.213196407611552,-0.010665200974469213,0.8242688436316123,0.05002523773243602,0.060690438706905235,2000-2005,18
< 1 year,9517.599496022347,78.33233414683173,1.2482135428101175,393.91678316602037,315.58444901918864,2000-2005,1
1-4 years,36.71136265998936,0.06374381697940185,1.2143245648403214,0.361161040370911,0.29741722339150917,2006-2012,2
10-14 years,18.610266047363368,0.025031874896221586,1.6123866064891539,0.06590780952799073,0.04087593463176915,2006-2012,4
15-19 years,-19.65641412439293,-0.024968024205863637,0.6119659382891921,0.03937690493716525,0.06434492914302889,2006-2012,5
20-24 years,2.437286972690039,0.0031551753822277803,1.070517814118475,0.04789813035991406,0.04474295497768628,2006-2012,6
25-29 years,-22.316857037623954,-0.030251320774218035,0.5474801441503385,0.036599493357280063,0.0668508141314981,2006-2012,7
30-34 years,1.3865132179955033,0.003479978325690601,1.0744897092218093,0.050197549947942635,0.046717571622252034,2006-2012,8
35-39 years,-8.454722711777261,-0.016561934305745526,0.7028710208348685,0.03917794792412313,0.055739882229868656,2006-2012,9
40-44 years,12.210482358816094,0.023141075784059825,1.9547257919639405,0.04737952831026313,0.024238452526203307,2006-2012,10
45-49 years,22.506818712638907,0.03374519492207253,2.286605240231529,0.05997328250237802,0.02622808758030549,2006-2012,11
5-9 years,6.788279197891427,0.009456359952502033,1.1300144698088035,0.08218949470595176,0.07273313475344972,2006-2012,3
50-54 years,7.168093617780535,0.013338362478702313,1.2575495016166014,0.06512787243690188,0.051789509958199566,2006-2012,12
55-59 years,3.716000716012232,0.00801134695404105,1.1831986219278585,0.051741735696789457,0.043730388742748406,2006-2012,13
60-64 years,18.112915493090128,0.05839656995875992,5.659768899001737,0.07092864423636416,0.012532074277604244,2006-2012,14
65-69 years,-2.33746014691868,-0.01288289667194345,0.8247447324175361,0.06062642975033705,0.0735093264222805,2006-2012,15
75-79 years,3.5260405166013165,0.0366005830968628,1.3073080850340315,0.1557012019198581,0.11910061882299529,2006-2012,17
80-84 years,-4.804143561439812,-0.07050280412619583,0.624797743137801,0.11740332606557827,0.1879061301917741,2006-2012,18
< 1 year,9509.61414249365,65.96741703423879,1.2274407783301542,356.0095876536172,290.0421706193784,2006-2012,1
1-4 years,51.250266878073916,0.08992693369944355,1.3311816172096027,0.36146052441359655,0.271533590714153,2013-2019,2
10-14 years,-3.2809431344626887,-0.004432207474758622,0.8951136760691841,0.037825041217474605,0.042257248692233226,2013-2019,4
15-19 years,8.003066066953181,0.010592941549620039,1.1778580309240922,0.07015135167359683,0.05955841012397679,2013-2019,5
