Year,ageadjrate_male,ageadjrate_female
2000,5.75011667735907,4.62410642347031
2001,5.39824910109592,4.31668448041986
2002,5.61331541220362,4.51684878573913
2003,5.67297359685716,4.48451253653648
2004,5.55921189287502,4.40293158736802
2005,5.62302357015557,4.56547388695276
2006,5.51606027719602,4.51940233519021
2007,5.45716302654,4.42894382162146
2008,5.29778157472112,4.19605436024516
2009,5.09929168475834,4.10069602635654
2010,4.74631311736343,3.8789802442747
2011,4.59518312283196,3.8596985113818
2012,4.6756855233531,3.82094044762409
2013,4.68882189259377,3.91992312972412
2014,4.67761668433353,3.78116533798158
2015,4.49869502765975,3.78424812158491
2016,4.43610859235337,3.69161044074726
2017,4.41234057077981,3.50891231678766
2018,4.36264272098812,3.45828109524086
2019,4.27244502803527,3.45863152069648
2020,3.97927841796523,3.29482615593067
2021,4.0746445507602,3.46079234021538
2022,4.26118538063568,3.53041125433674
