agegroup,Year,expected_deaths_male,hypothetical_excess,expected_rate_male
1-4 years,2000,28.27038660791318,23.729613392086826,0.35959562273571294
1-4 years,2001,29.306499158603508,14.6935008413965,0.37490613957005764
1-4 years,2002,26.15109817149657,13.848901828503434,0.33048189150914026
1-4 years,2003,37.61782122182992,5.382178778170078,0.471408239142257
1-4 years,2004,24.029585222687153,13.970414777312845,0.2981910821419195
1-4 years,2005,22.968609230708363,13.031390769291637,0.28259026864443887
1-4 years,2006,29.249491067115347,7.750508932884656,0.3601243560847897
1-4 years,2007,37.62092171494805,-3.620921714948048,0.46076532095888334
1-4 years,2008,25.08211606360123,1.9178839363987743,0.30413263021248477
1-4 years,2009,26.115445673438863,6.884554326561138,0.31473223840085807
1-4 years,2010,22.976859826726617,7.023140173273381,0.2766579418812086
1-4 years,2011,14.612514635453469,5.387485364546533,0.1769971696888301
1-4 years,2012,15.653937891297678,11.346062108702322,0.19091572089139822
1-4 years,2013,16.708703062428715,12.291296937571287,0.20537534012081718
1-4 years,2014,14.62394261232229,9.376057387677712,0.17970231541299056
1-4 years,2015,16.730861655709628,17.269138344290372,0.20547656693861488
1-4 years,2016,26.140494918477838,8.859505081522158,0.3204915776736337
1-4 years,2017,24.06508536470102,-5.0650853647010186,0.29416478113436845
1-4 years,2018,23.030624861349228,16.96937513865077,0.2821102358569803
1-4 years,2019,33.46972054426552,-8.46972054426552,0.41453241844301364
1-4 years,2020,24.026399182689794,6.973600817310207,0.3021042480323162
1-4 years,2021,30.332815236471333,8.667184763528663,0.38874020693043354
1-4 years,2022,26.13319377690688,10.866806223093123,0.3442098126782662
10-14 years,2000,5.255959431947342,4.744040568052658,0.049960655983413066
10-14 years,2001,3.1512216867392158,2.848778313260784,0.02932130273766162
10-14 years,2002,2.100001137741768,3.8999988622582333,0.019283758774833386
10-14 years,2003,8.40257293648799,-1.4025729364879898,0.07659258727366292
10-14 years,2004,9.451794793917026,-7.451794793917024,0.08617630561411821
10-14 years,2005,5.249224951301566,-4.249224951301567,0.04831673202632064
10-14 years,2006,2.099250200546797,6.900749799453204,0.01948948464345547
10-14 years,2007,3.147750431117468,5.852249568882532,0.02949828723111574
10-14 years,2008,1.0484451955854068,1.9515548044145934,0.009892690034123845
10-14 years,2009,2.0957702117570376,0.9042297882429623,0.019824096824060746
10-14 years,2010,1.0477878710930768,7.952212128906924,0.009903606219940079
10-14 years,2011,9.417369667108197,-0.4173696671081971,0.0889519503308123
10-14 years,2012,11.506563846143795,-4.506563846143794,0.10888928572984131
10-14 years,2013,4.180073323931407,-2.1800733239314067,0.03961207498843079
10-14 years,2014,11.468391064403608,-9.468391064403608,0.10869256968700591
10-14 years,2015,1.041422332458452,0.958577667541548,0.009899086730056458
10-14 years,2016,2.0830201412921294,-1.0830201412921292,0.01980295858181508
10-14 years,2017,3.1272998497451487,3.8727001502548513,0.029488718697479366
10-14 years,2018,7.300084622491619,-3.300084622491619,0.06848854680707862
10-14 years,2019,2.0861009231133143,7.913899076886686,0.019646351913117546
10-14 years,2020,4.171471009025582,0.8285289909744177,0.039372190732672174
10-14 years,2021,2.1010868429372898,-1.10108684293729,0.019121261399020477
10-14 years,2022,5.252192631595685,1.747807368404314,0.04907741333763121
15-19 years,2000,4.228761631786146,-1.2287616317861454,0.0406963718980971
15-19 years,2001,1.0644360315784895,1.9355639684215105,0.010091940606507465
15-19 years,2002,5.323892926371879,0.6761070736281216,0.050090769483380836
15-19 years,2003,4.247470521932784,-3.2474705219327835,0.0396567038121097
15-19 years,2004,8.481873254687466,-7.481873254687466,0.0781036969115748
15-19 years,2005,2.118188494276214,0.8818115057237864,0.019166654927090524
15-19 years,2006,4.2314262708410535,-3.2314262708410535,0.03774548839972623
15-19 years,2007,8.451138284308948,-2.4511382843089478,0.07454810337510948
15-19 years,2008,7.389081945013618,0.610918054986381,0.06478393447271616
15-19 years,2009,8.43216375735788,0.567836242642119,0.07404273617157034
15-19 years,2010,7.369660277570052,-4.369660277570052,0.06519708099628962
15-19 years,2011,7.394955314901136,-5.394955314901136,0.06650770059411329
15-19 years,2012,7.380380888686411,-5.38038088868641,0.06732166802704523
15-19 years,2013,9.465514322334611,2.5344856776653883,0.08727040852441835
15-19 years,2014,4.19463916611498,-3.1946391661149804,0.03889679358171788
15-19 years,2015,9.424931015661278,-0.42493101566127867,0.08728511858556211
15-19 years,2016,4.183457003396445,0.8165429966035552,0.03872909318829804
15-19 years,2017,7.31799441089387,2.68200558910613,0.06775612711397908
15-19 years,2018,9.394616497290869,-0.39461649729086906,0.0871897606670133
15-19 years,2019,1.0423557636204535,5.957644236379546,0.00970029672237644
15-19 years,2020,5.2085774159651175,-4.2085774159651175,0.04870288628889071
15-19 years,2021,3.136966463631543,-0.13696646363154297,0.028458435032712972
