age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
1-4 years,11.485454879251744,1.4082076389611662,39.6217604821569,28.136305602905157,5485.220899578427,2000-2005,2
10-14 years,-0.40856237797964834,0.8884296932531732,3.253365153570034,3.6619275315496824,-265.4023413592637,2000-2005,4
15-19 years,-1.000368942589014,0.617723197883768,1.6165017046778576,2.6168706472668717,-642.1234693225045,2000-2005,5
20-24 years,-0.4723233104196862,0.8611264281882924,2.928779608284589,3.401102918704275,-292.7729243965148,2000-2005,6
25-29 years,0.45353119935845454,1.1889124716848265,2.8542789917811096,2.400747792422655,261.56219135944553,2000-2005,7
30-34 years,-1.0501974078620568,0.6564246825095676,2.0064756253842915,3.0566730332463483,-535.5525054545504,2000-2005,8
35-39 years,-1.457233545334148,0.4144198173804059,1.031295931218851,2.488529476552999,-777.5011291788534,2000-2005,9
40-44 years,0.21025654938856642,1.093568966549509,2.4573322320863786,2.247075682697812,118.61373659231852,2000-2005,10
45-49 years,0.12709091004678608,1.0758587414010075,1.8024536658688646,1.6753627558220785,66.70986109082955,2000-2005,11
5-9 years,1.193877787211286,1.2081020234454265,6.930860866207502,5.736983078996216,727.4392867701343,2000-2005,3
50-54 years,-1.081697427645751,0.5890362280954679,1.5504018024952257,2.6320992301409767,-399.28473235320087,2000-2005,12
55-59 years,-0.1736553549075348,0.9007373327111403,1.575797482201793,1.7494528371093279,-53.23447276597077,2000-2005,13
60-64 years,0.9181425710633704,1.4200778131768577,3.103791377697254,2.1856488066338837,55.64246967692476,2000-2005,14
65-69 years,-0.6349783532566136,0.7763943596386037,2.204745869398718,2.8397242226553314,-57.977498616820206,2000-2005,15
70-74 years,1.7270281170729611,6.3044291365625424,2.0526103941871647,0.32558227711420357,201.82518600734352,2000-2005,16
80-84 years,-0.17922674943446137,0.6824591501035929,0.3851943305397574,0.5644210799742188,-3.582726590787434,2000-2005,18
< 1 year,4271.233049732364,1.1683942854219136,29635.7104667109,25364.477416978538,518966.8604196825,2000-2005,1
1-4 years,3.4091008030192,1.1426773610880547,27.302876080480637,23.893775277461437,1963.3705958421149,2006-2012,2
10-14 years,1.4699227463670228,1.5026251364270886,4.394413862780282,2.924491116413259,1092.8327779031245,2006-2012,4
15-19 years,-1.858635783346541,0.5651351372273322,2.4154179341601116,4.274053717506653,-1463.2361120226396,2006-2012,5
20-24 years,-0.006645118198087108,0.9975753963590741,2.7340577686249157,2.740702886823003,-5.133172662100211,2006-2012,6
25-29 years,-1.8818967669726514,0.5046911451312575,1.9175442251964796,3.799440992169131,-1388.3037180938093,2006-2012,7
30-34 years,-0.04050328385288582,0.9832400735436412,2.376171034996445,2.416674318849331,-16.13755408177879,2006-2012,8
35-39 years,-0.9674373607785571,0.6298305186671459,1.646061075924396,2.6134984367029532,-493.86831727492023,2006-2012,9
40-44 years,0.8142748468913279,1.804902133769225,1.8259193844430077,1.0116445375516798,429.6554207753391,2006-2012,10
45-49 years,1.0463225130807077,2.0672723448885155,2.0266931917475515,0.9803706786668438,697.8590928647067,2006-2012,11
5-9 years,0.32332745166478194,1.0581712575841886,5.8815268974451085,5.5581994457803265,232.10167815815424,2006-2012,3
50-54 years,0.19918715411736643,1.115228209166084,1.927819019169338,1.7286318650519716,107.04403711117851,2006-2012,12
55-59 years,0.06590045291016788,1.0529109656202627,1.311397527810098,1.2454970748999301,30.567410399844146,2006-2012,13
60-64 years,1.1920611491089192,4.946921884167364,1.4940841391991815,0.3020229900902623,369.74265563292477,2006-2012,14
65-69 years,-0.4262480158093953,0.7143568003628313,1.0659913105628989,1.4922393263722942,-77.33802226540121,2006-2012,15
75-79 years,0.14911423994035866,1.0970544361604742,1.6855122227569979,1.5363979828166392,14.365422819643053,2006-2012,17
80-84 years,-0.8225643112386464,0.5366860210547304,0.9528285079273265,1.775392819165973,-56.050494568045515,2006-2012,18
< 1 year,3628.6155033522627,1.1547815716229552,27072.074988254608,23443.459484902345,523087.5310828146,2006-2012,1
1-4 years,5.498104330371916,1.2515160752917391,27.357956922276987,21.85985259190507,3133.425133751649,2013-2019,2
10-14 years,-0.5024964953773425,0.8337156602675139,2.519414624970766,3.0219111203481086,-371.97320657685117,2013-2019,4
15-19 years,0.37438607506728694,1.0944460197123689,4.338407811583686,3.9640217365163988,282.85216899155495,2013-2019,5
20-24 years,-0.1642175280369491,0.9385862559464653,2.509736495899448,2.673954023936397,-131.69055499920108,2013-2019,6
25-29 years,0.20583215137400446,1.0967041547263883,2.3343048313367194,2.128472679962715,95.9481654241504,2013-2019,7
30-34 years,1.3804518356439295,1.9565336004410128,2.8236335858798522,1.4431817502359228,909.6476465406173,2013-2019,8
35-39 years,1.026026406085883,1.5450078394373663,2.9086165852383368,1.8825901791524537,532.4654016898504,2013-2019,9
40-44 years,2.2023382029500205,6.132780701309114,2.631411317721574,0.4290731147715535,873.8229841172555,2013-2019,10
45-49 years,0.4825149516007565,1.2942400856177143,2.1223831245173947,1.6398681729166382,248.82607022700128,2013-2019,11
5-9 years,1.709773987335443,1.473086748589487,5.323855321114399,3.614081333778956,1246.1405764963865,2013-2019,3
50-54 years,-0.05321933221900155,0.9609064705654808,1.3081141925051536,1.3613335247241551,-28.931497847818488,2013-2019,12
55-59 years,-0.2593798436547641,0.7998852224811241,1.036775527131374,1.2961553707861382,-109.18910183917022,2013-2019,13
60-64 years,0.16722462078270484,1.1220524775280256,1.5373288920729524,1.3701042712902476,94.4054138394512,2013-2019,14
65-69 years,0.45573487700638005,1.4410619448926643,1.4890021590369948,1.0332672820306148,213.95234422574234,2013-2019,15
70-74 years,0.5608671453777514,1.5008230211926876,1.6807580482401463,1.119890902862395,68.19327865229788,2013-2019,16
80-84 years,-0.22357741289930333,0.8609112614494511,1.3838669800056536,1.6074443929049569,-5.2991647673154185,2013-2019,18
< 1 year,3135.366972802738,1.1502374096042502,24004.782793148705,20869.415820345966,439546.0925997846,2013-2019,1
1-4 years,6.549054161081397,1.2395696164553502,33.88580185880948,27.336747697728082,1529.0793216401962,2020-2022,2
10-14 years,0.12269729688211495,1.0485345946390254,2.650735241665052,2.528037944782937,39.61287628520144,2020-2022,4
15-19 years,-1.161783561158889,0.6524957263377845,2.1814373693790103,3.3432209305378993,-381.0605468112407,2020-2022,5
20-24 years,-1.1380202775355306,0.6682309971653995,2.2921382599179427,3.4301585374534733,-382.466674248741,2020-2022,6
25-29 years,-0.9829719808937458,0.6765221380145044,2.0557892340478237,3.0387612149415695,-340.17638602863275,2020-2022,7
30-34 years,0.3082253731150093,1.1397817233721912,2.513273112398565,2.2050477392835557,108.12662289840192,2020-2022,8
40-44 years,0.8618199298416398,1.433390799283645,2.8503714433166576,1.9885515134750178,271.64520235792065,2020-2022,10
45-49 years,-1.1585853698928652,0.6203105691022907,1.892817370377235,3.0514027402701003,-342.8676993172999,2020-2022,11
5-9 years,3.058878294128482,2.194415115560261,5.61986254012378,2.560984245995298,946.871401751511,2020-2022,3
50-54 years,0.5305967637647295,1.3401202846428002,2.090623576990441,1.5600268132257116,108.70861190044141,2020-2022,12
55-59 years,1.3129966688802182,6.1640675804896725,1.5672529597623983,0.2542562908821801,413.8028484672876,2020-2022,13
60-64 years,0.05170442024395128,1.0578574557264981,0.945356233907633,0.8936518136636817,15.826074146199426,2020-2022,14
65-69 years,-0.6816896448764971,0.6408512046504665,1.2163806081868829,1.89807025306338,-177.3242802821231,2020-2022,15
70-74 years,0.6033101150191857,1.9931480256057972,1.2107826160606903,0.6074725010415045,42.453551213736716,2020-2022,16
< 1 year,2147.829161692094,1.1116412401058335,21386.50081793667,19238.671656244576,120547.12648288497,2020-2022,1
