age_cat,unadj_excess_deaths_number,unadj_excess_deaths_rate,ratio_unadj_excess_deaths_rate,male_death_rate,female_death_rate,Year,age
1-4 years,76.1016967698522,0.15934866078990817,1.047447956405084,3.5177369426682374,3.3583882818783293,2000-2005,2
10-14 years,48.668499339725145,0.07492065714681395,1.0823032415580474,0.9852208558816777,0.9103001987348638,2000-2005,4
15-19 years,314.9429723434589,0.490652005838506,1.5337500573364584,1.4099062505817812,0.9192542447432752,2000-2005,5
20-24 years,221.3376108467868,0.35707848767446715,1.3630494758815814,1.3406317259965577,0.9835532383220905,2000-2005,6
25-29 years,196.08955643761294,0.3400060660548767,1.3565845288685932,1.293513687750304,0.9535076216954272,2000-2005,7
30-34 years,143.89695141661298,0.2344222486978751,1.2269299157890583,1.2674383139564607,1.0330160652585856,2000-2005,8
35-39 years,137.95370869453814,0.21330860993158307,1.205580018073211,1.2509026909653715,1.0375940810337885,2000-2005,9
40-44 years,146.13109852986167,0.2156685539575136,1.1763018232083187,1.4389602365550271,1.2232916825975135,2000-2005,10
45-49 years,193.05092339617033,0.3054831025550535,1.2265991344996108,1.653604326537832,1.3481212239827784,2000-2005,11
5-9 years,4.811701233878921,0.007896993366046212,1.0081390332723457,0.9781588293605205,0.9702618359944742,2000-2005,3
50-54 years,127.40444258765558,0.22895553728465834,1.132907399374533,1.9516251430562797,1.7226696057716213,2000-2005,12
55-59 years,47.224884181044445,0.10532670087827078,1.047954993401485,2.3016923639170113,2.1963656630387405,2000-2005,13
60-64 years,66.00003740268289,0.19353513093944086,1.0836502414846976,2.507158229981478,2.313623099042037,2000-2005,14
65-69 years,34.419030066671326,0.12565417240074517,1.0580832524381334,2.2890001822438424,2.163346009843097,2000-2005,15
70-74 years,90.50444103535506,0.38814216969469895,1.1793959122674806,2.5517487133932883,2.1636065436985894,2000-2005,16
75-79 years,61.03831664449001,0.32711180310504284,1.1132516810183477,3.215473372343456,2.888361569238413,2000-2005,17
80-84 years,37.03522165278753,0.3065922244570105,1.0701471446044677,4.677293643392371,4.370701418935361,2000-2005,18
< 1 year,1207.3436975713885,9.936754534350655,1.0727330539605662,146.55626922897758,136.61951469462693,2000-2005,1
1-4 years,-14.41955028230791,-0.025037402796341368,0.9920746425528567,3.1341138359110303,3.1591512387073717,2006-2012,2
10-14 years,55.60141396905465,0.07478708982366156,1.1001108309734815,0.8218300330939252,0.7470429432702637,2006-2012,4
15-19 years,276.3482430543369,0.3510238224613955,1.443824722200941,1.1419302431777925,0.7909064207163969,2006-2012,5
20-24 years,296.68729200288294,0.38407477266172907,1.4576299189313473,1.2233441402734808,0.8392693676117517,2006-2012,6
25-29 years,264.59334976743014,0.35866602026642747,1.4306485772367117,1.1915168392981177,0.8328508190316902,2006-2012,7
30-34 years,190.84358914984261,0.2742745817345914,1.3239268649804792,1.1209921942151744,0.846717612480583,2006-2012,8
35-39 years,176.0795090911796,0.24790830179070533,1.2676303771113004,1.1742168339780168,0.9263085321873115,2006-2012,9
40-44 years,221.8788486123034,0.2987849465097073,1.3102674954890456,1.2617764001866727,0.9629914536769654,2006-2012,10
45-49 years,245.9738643076173,0.3157338301110886,1.2559491934424891,1.5493139241309315,1.233580094019843,2006-2012,11
5-9 years,38.68052245490799,0.05388360331408648,1.0622554480470165,0.9194079068801383,0.8655243035660518,2006-2012,3
50-54 years,206.54966577204095,0.27587136428305725,1.176923728330279,1.8351385518253878,1.5592671875423305,2006-2012,12
55-59 years,231.21829258655657,0.35180235692363415,1.1772084106274883,2.3370487438073915,1.9852463868837573,2006-2012,13
60-64 years,257.67648120155695,0.4792419831261612,1.2446318501418216,2.4382754566837854,1.9590334735576242,2006-2012,14
65-69 years,99.71122656669593,0.25083512545802034,1.1427936841608404,2.0074613161198136,1.7566261906617933,2006-2012,15
70-74 years,44.591596766486305,0.1519890777875228,1.0861825909432736,1.9155596101188583,1.7635705323313355,2006-2012,16
75-79 years,82.80845411808616,0.36990939761216657,1.1706716755906545,2.537283663623192,2.1673742660110253,2006-2012,17
80-84 years,96.63052850816484,0.6070135055410795,1.209442831567747,3.5052435428137234,2.898230037272644,2006-2012,18
< 1 year,976.80287448327,6.776001803621483,1.0521651584191971,136.67116572069068,129.8951639170692,2006-2012,1
1-4 years,23.37252728073213,0.04101090275613872,1.0155337634760129,2.6811246665241533,2.6401137637680145,2013-2019,2
10-14 years,108.79698566931336,0.14697323097424175,1.2006572866504919,0.8794322083062844,0.7324589773320427,2013-2019,4
15-19 years,182.4330685911217,0.24147030852130558,1.3295591883113629,0.9741772609767408,0.7327069524554353,2013-2019,5
20-24 years,222.74215152814327,0.2777584581810377,1.3865320916996093,0.9963493957658418,0.7185909375848041,2013-2019,6
25-29 years,208.85636821777416,0.25756824369030284,1.3272873970934633,1.0445470457391612,0.7869788020488584,2013-2019,7
30-34 years,238.89103188881165,0.31031236429177766,1.3602590876870104,1.1716712443247335,0.8613588800329558,2013-2019,8
35-39 years,115.6964739767642,0.1594360103456649,1.1713251442030577,1.0900408616493267,0.9306048513036618,2013-2019,9
40-44 years,107.8027825512894,0.15434900463324186,1.1486530559653088,1.192666068691867,1.0383170640586252,2013-2019,10
45-49 years,111.93671952154784,0.15483972639506538,1.1112621061652448,1.5465060513619837,1.3916663249669183,2013-2019,11
5-9 years,23.827906042242034,0.032693208689378195,1.0355549063547607,0.9522064922618609,0.9195132835724827,2013-2019,3
50-54 years,313.5380655319584,0.4195803874920625,1.2306339424315298,2.238828599912604,1.8192482124205414,2013-2019,12
55-59 years,271.9626598050063,0.3674193991100747,1.1443509924155,2.912738921767007,2.5453195226569325,2013-2019,13
60-64 years,388.0310642448676,0.5957918601400096,1.2413175128054574,3.064704510587878,2.4689126504478685,2013-2019,14
65-69 years,248.4280719490156,0.4612490202564692,1.24413809491074,2.350544586460949,1.8892955662044797,2013-2019,15
70-74 years,61.05075822790877,0.15497834716111947,1.0842138383077333,1.9952738410536934,1.840295493892574,2013-2019,16
75-79 years,85.26751956853639,0.3205735420689968,1.1565309994017594,2.368561118294702,2.0479875762257054,2013-2019,17
80-84 years,73.35696168562652,0.4216631984675252,1.1462333892485013,3.3051578684226426,2.8834946699551174,2013-2019,18
< 1 year,957.0767135505012,6.827012612843546,1.0593244445880665,121.90626300024367,115.07925038740012,2013-2019,1
1-4 years,-59.67455519548855,-0.2555864097321541,0.9098128306024131,2.5783689238187923,2.8339553335509464,2020-2022,2
10-14 years,60.91720453681276,0.1886855242842871,1.2516378928137264,0.9385150597905334,0.7498295355062463,2020-2022,4
15-19 years,70.0797643730005,0.21366031959947496,1.2577217698102132,1.0426951339918127,0.8290348143923377,2020-2022,5
20-24 years,85.85550538002951,0.25546096598468804,1.318994098323492,1.056293857023396,0.8008328910387079,2020-2022,6
25-29 years,149.02110481440536,0.4306106379237653,1.547914222214615,1.2165194909250248,0.7859088530012595,2020-2022,7
30-34 years,62.38270330907238,0.17782791590031188,1.1881165546295795,1.1231350221806338,0.9453071062803219,2020-2022,8
35-39 years,62.656543763880734,0.18701368652120975,1.1803878629033036,1.2237446700323227,1.036730983511113,2020-2022,9
40-44 years,85.7324126064168,0.2719941349093453,1.2399669481126758,1.4054591268532828,1.1334649919439375,2020-2022,10
45-49 years,79.66410507839419,0.2691932393550447,1.1908872590347366,1.6794143338182346,1.4102210944631899,2020-2022,11
5-9 years,16.16048558936228,0.05220662330749015,1.0557566680382526,0.988536306273358,0.9363296829658678,2020-2022,3
50-54 years,119.33934754162817,0.38592882844162935,1.1913530171756246,2.4027709673216355,2.016842138880006,2020-2022,12
55-59 years,142.53665183627118,0.45226887574012986,1.1637480224031913,3.2142495647436484,2.7619806890035186,2020-2022,13
60-64 years,159.4523461342692,0.5209372227912943,1.1888020710310556,3.280108348120774,2.7591711253294795,2020-2022,14
65-69 years,148.19243458221126,0.5696977759785979,1.2633092440258928,2.7333049751340366,2.1636071991554386,2020-2022,15
70-74 years,61.32396777688501,0.2927041983337131,1.1504232844949867,2.2385744757738273,1.9458702774401142,2020-2022,16
75-79 years,72.79063471225538,0.5253449081340449,1.2165038878377392,2.9518367064142184,2.4264917982801735,2020-2022,17
80-84 years,30.779090915040342,0.3721392121664864,1.1169325454502772,3.5546510674713883,3.182511855304902,2020-2022,18
< 1 year,52.8366062047935,0.9414077873320963,1.0086714573022277,109.50537281893483,108.56396503160273,2020-2022,1
