Year,ageadjrate_male,ageadjrate_female
2000,3.94640421735342,3.56067831225125
2001,3.78825997257304,3.36833837214815
2002,3.84200622324593,3.50688686237681
2003,3.76201544380236,3.38805555230063
2004,3.69807966739492,3.38547608136442
2005,3.67859400991055,3.28593101349669
2006,3.73523364864413,3.24406239163372
2007,3.59120891837402,3.22976019225129
2008,3.52066414555004,3.15177924985498
2009,3.4274599676465898,3.06744728607404
2010,3.28718344468002,3.08621022476525
2011,3.31109239146135,2.97094872003181
2012,3.3092394814042,2.94761465937972
2013,3.27919329259775,2.89401005335172
2014,3.20557502763484,2.9464219670803
2015,3.37023290661922,2.95035890193998
2016,3.30106646125048,3.03633369279363
2017,3.26224159435555,2.91502043329728
2018,3.23514759571739,2.90384490538315
2019,3.21552388538499,2.91067445013489
2020,3.17560892039034,2.8480270083782
2021,3.20239867395428,2.98147654746633
2022,3.29906607665562,3.05523394926245
