age_cat,male_years_lost,female_years_lost
1-4 years,227.33361374674843,241.1103334480203
10-14 years,59.44184857274453,55.885193903570375
15-19 years,70.35938334541913,53.7405708159165
20-24 years,65.79161611933696,51.23905020368831
25-29 years,61.10273909395913,47.69530549530615
30-34 years,55.53642088293965,47.07013889800399
35-39 years,50.11769112728077,45.38460553983802
40-44 years,49.68627270048964,45.224210212885424
45-49 years,53.48857126613864,49.93507531439186
5-9 years,67.97256526490877,69.99526091116533
50-54 years,60.360379885533796,57.21969367456319
55-59 years,65.66242958206188,65.77090893999674
60-64 years,58.35642064635419,55.840129744880755
65-69 years,39.64876472957693,39.25806632468548
70-74 years,29.900847789262922,30.930563210258647
75-79 years,29.28749264814335,29.70562647211361
80-84 years,30.19328707580074,31.434025349220285
< 1 year,9933.607379069952,10034.248034687727
