age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
1-4 years,-5.0250379717903115,0.9812422612367161,262.86641926644756,267.8914572382379,-2399.856478808884,2000-2005,2
10-14 years,0.3077753298056223,1.0047690210051552,64.84415071437996,64.53637538457434,199.93102044041035,2000-2005,4
15-19 years,25.180224278881624,1.4151199342341239,85.83793353906908,60.65770926018746,16162.849808619994,2000-2005,5
20-24 years,15.255921111831405,1.2540810270986555,75.29944850952165,60.04352739769025,9456.489950294113,2000-2005,6
25-29 years,13.103654233938002,1.2447092198445724,66.65151091976624,53.547856685828236,7557.18795331739,2000-2005,7
30-34 years,6.270345785769749,1.1184281675994425,59.21675129782523,52.946405512055485,3848.9676125543156,2000-2005,8
35-39 years,4.56267916864082,1.0949232948604921,52.62969133195172,48.0670121633109,2950.8350042654165,2000-2005,9
40-44 years,2.9573792766757023,1.0580068186842828,53.94068337359583,50.98330409692013,2003.8391065356898,2000-2005,10
45-49 years,4.710115788938616,1.094498101330519,54.553612352582704,49.84349656364409,2976.5711908520725,2000-2005,11
5-9 years,-4.431825792448947,0.9398493798394608,69.24697885861892,73.67880465106786,-2700.3469099454833,2000-2005,3
50-54 years,0.16765878956743308,1.0030062656824708,55.937443391454174,55.76978460188674,93.29529603471691,2000-2005,12
55-59 years,-5.587382350463237,0.9091331413448954,55.90238887262679,61.489771223090024,-2505.1908222283887,2000-2005,13
60-64 years,-3.5258116569409097,0.9356364818821514,51.25384862336269,54.7796602803036,-1202.3848078813712,2000-2005,14
65-69 years,-4.026825958182108,0.9050250790939878,38.37200859485825,42.39883455304036,-1103.0230121280167,2000-2005,15
70-74 years,-0.13792887750585692,0.9959586808760792,33.991738509919536,34.12966738742539,-32.161349464090506,2000-2005,16
75-79 years,-2.3890755835526107,0.9329863146738393,33.261487013099085,35.650562596651696,-445.79605679858673,2000-2005,17
80-84 years,-4.441120868128138,0.8911912848272655,36.374735298152594,40.81585616628073,-536.4711907787105,2000-2005,18
< 1 year,44.12984256247546,1.0040176831290455,11028.033038770785,10983.90319620831,5361.900317496795,2000-2005,1
1-4 years,-16.74239096614272,0.9340084204813441,236.96256788257864,253.70495884872136,-9642.283999905576,2006-2012,2
10-14 years,1.5062981020558794,1.028245798091935,54.834516945550476,53.3282188434946,1119.8764991482828,2006-2012,4
15-19 years,17.97685588167046,1.34215316466198,70.51723176692687,52.54037588525641,14152.522480399473,2006-2012,5
20-24 years,18.010421034151975,1.3481966109208556,69.73528126906595,51.724860234913976,13912.559284805011,2006-2012,6
25-29 years,15.194982834095036,1.3216895999051839,62.42990382182255,47.23492098772751,11209.568736802188,2006-2012,7
30-34 years,9.594535349729917,1.2187276048328195,53.45975920688013,43.86522385715021,6675.994365891929,2006-2012,8
35-39 years,6.915690839655035,1.1589278488713814,50.430347891685145,43.51465705203011,4911.943001815523,2006-2012,9
40-44 years,7.829519281197115,1.1928676147924815,48.424822383905116,40.595303102708,5814.231083571017,2006-2012,10
45-49 years,6.035654496685609,1.1303804691548265,52.32828203370029,46.29262753701468,4702.103856444704,2006-2012,11
5-9 years,-0.2587110209253609,0.9960904180231815,65.91486519754685,66.1735762184722,-185.7165601176394,2006-2012,3
50-54 years,2.5959587771840305,1.0504572044019589,54.04468266017524,51.44872388299121,1943.639272524117,2006-2012,12
55-59 years,2.4389157878645236,1.0430523837812116,59.088875062103135,56.64995927423861,1602.9510125051336,2006-2012,13
60-64 years,4.5953211749508895,1.0967015991124254,52.11595389590899,47.5206327209581,2470.789772273837,2006-2012,14
65-69 years,-0.4145734325815198,0.9882901313621145,34.989191152806875,35.403764585388394,-164.79998719950802,2006-2012,15
70-74 years,-1.712105307708498,0.9401441199178845,26.891689429912624,28.603794737621122,-502.309183096877,2006-2012,16
75-79 years,0.02564865727399379,1.0009355180700017,27.442176564584546,27.416527907310552,5.741745607909298,2006-2012,17
80-84 years,0.7758657410503815,1.0282301137675811,28.259486509924958,27.483620768874577,123.51012938706953,2006-2012,18
< 1 year,-108.9183384549251,0.9896311226203832,10395.433720817922,10504.352059272847,-15701.25704952603,2006-2012,1
1-4 years,-9.46167389144091,0.9554588320882131,202.9636920122914,212.4253659037323,-5392.3034190217395,2013-2019,2
10-14 years,6.364272936199946,1.1215030728962503,58.74379540008286,52.379522463882914,4711.155268517538,2013-2019,4
15-19 years,11.494098086573459,1.2355762582057574,60.28550930142627,48.791411214852815,8683.898229400416,2013-2019,5
20-24 years,12.528092668097173,1.282487983759278,56.877209757527,44.349117089429825,10046.62228365735,2013-2019,6
25-29 years,10.01332996602865,1.2237208403408333,54.77147565676349,44.75814569073484,8119.586873394087,2013-2019,7
30-34 years,11.257682478045645,1.2513971833515007,56.038146316040525,44.78046383799488,8666.62013289355,2013-2019,8
35-39 years,3.369646166700207,1.076820603295549,47.23347985382052,43.86383368712031,2445.2203689198373,2013-2019,9
40-44 years,2.006650865217253,1.045480851872244,46.12743538468818,44.120784519470924,1401.515658577711,2013-2019,10
45-49 years,0.2067608494809079,1.003923748000797,52.90149288602009,52.69473203653918,149.471532630653,2013-2019,11
5-9 years,-2.0131221623079654,0.9713945374186435,68.36232296753252,70.37544512984049,-1467.230891613704,2013-2019,3
50-54 years,6.098226537500558,1.1005306356684161,66.758606300885,60.66037976338445,4556.9960101620545,2013-2019,12
55-59 years,1.2429515367437034,1.0169278393637298,74.66942434501613,73.42647280827242,920.0287376232563,2013-2019,13
60-64 years,5.717865911597464,1.0942660535242577,66.37454663416614,60.65668072256867,3723.9676191031213,2013-2019,14
65-69 years,3.404165517589604,1.0879144081065002,42.125526337829356,38.72136082023975,1833.478747900381,2013-2019,15
70-74 years,-1.5425560447473892,0.9491246509215968,28.777747848797986,30.320303893545375,-607.6604755822189,2013-2019,16
75-79 years,0.0753998003309313,1.002841875969381,26.607099685656305,26.531699885325374,20.05516084916852,2013-2019,17
80-84 years,-0.5063651237936355,0.9819207085305556,27.501653036068333,28.00801815986197,-88.0925988325919,2013-2019,18
< 1 year,-33.46381833139458,0.9964138473745927,9297.934431232494,9331.398249563888,-4691.281983456341,2013-2019,1
1-4 years,-34.42862376514199,0.8470465832092013,190.6635937708127,225.0922175359547,-8038.427439591692,2020-2022,2
10-14 years,8.287469381460362,1.157170976531147,61.016475489137036,52.729006107676675,2675.613136291006,2020-2022,4
15-19 years,8.284888242521113,1.152703357125981,62.53967607725113,54.25478783473002,2717.411529576074,2020-2022,5
20-24 years,9.80129782439559,1.2017846910942342,58.3743475004899,48.57304967609431,3294.0272297573038,2020-2022,6
25-29 years,17.763619254841586,1.4044741909204566,61.68142576412009,43.917806509278506,6147.442570444779,2020-2022,7
30-34 years,3.712295381490911,1.0771172674340737,51.85061128673865,48.13831590524774,1302.2872151806,2020-2022,8
35-39 years,3.1625114849505422,1.0659798516765897,51.09398457240258,47.93147308745204,1059.5590245107867,2020-2022,9
40-44 years,5.343323509980699,1.1134910189359801,52.4247891631779,47.0814656531972,1684.2128452509264,2020-2022,10
45-49 years,3.257601577792954,1.0624323789699635,55.43568018921666,52.17807861142371,964.0432093265247,2020-2022,11
5-9 years,-1.342737608858016,0.9809967572691801,69.31560359521086,70.65834120406888,-415.6425067072183,2020-2022,3
