Age Group,Female Death Rate,Male Death Rate
1-4 years,1.407185703736244,1.7992438404454258
10-14 years,0.30307569656961536,0.36927500681693065
15-19 years,0.6951848417924611,1.2671851892413923
20-24 years,1.2718950019509703,2.662490139015064
25-29 years,1.6609967586306589,3.4486722890882584
30-34 years,2.0597504477529944,3.9353279139347244
35-39 years,2.6198847092022204,4.6283817297993926
40-44 years,3.280634997711801,5.596161417849373
45-49 years,3.8730399860401485,6.682267596087217
5-9 years,0.26648842907020004,0.2887285880168471
50-54 years,4.339706429184911,7.781362324178981
55-59 years,5.019091013515564,9.113538713365191
60-64 years,6.322354035260021,11.234851209950667
65-69 years,8.64124440880338,14.031815988116005
70-74 years,14.475170574368112,19.708858278255875
75-79 years,26.4617223576159,32.01712920093226
80-84 years,56.33539668032571,60.51814623888236
< 1 year,66.07918992971801,88.8968104535272
