agegroup,Year,expected_deaths_male,hypothetical_excess,expected_rate_male
1-4 years,2000,116.22270049919864,20.77729950080134,1.478337560135709
1-4 years,2001,115.13267526594235,46.867324734057675,1.4728455483109406
1-4 years,2002,107.74252446656587,37.25747553343411,1.361585393017658
1-4 years,2003,118.07816105741058,24.921838942589428,1.4796980839743066
1-4 years,2004,92.98404716605029,7.015952833949708,1.153869839592645
1-4 years,2005,105.44679692279749,26.553203077202504,1.2973462333221966
1-4 years,2006,109.68559150168255,24.31440849831744,1.3504663353179616
1-4 years,2007,108.68266273207215,24.317337267927854,1.3310998161034409
1-4 years,2008,109.73425777825537,58.26574222174461,1.3305802571796208
1-4 years,2009,120.13105009781879,46.86894990218123,1.4477682966439473
1-4 years,2010,116.97310457242641,14.026895427573583,1.4084404313952439
1-4 years,2011,128.38137858291262,26.6186214170874,1.5550465622661502
1-4 years,2012,129.40588656806082,13.59411343193918,1.5782366260355587
1-4 years,2013,116.96092143700099,29.03907856299902,1.4376273808457203
1-4 years,2014,109.67956959241718,13.320430407582826,1.3477673655974294
1-4 years,2015,118.16171044344925,20.838289556550745,1.4511782540039677
1-4 years,2016,104.56197967391135,60.438020326088655,1.2819663106945347
1-4 years,2017,127.64958323884889,24.350416761151102,1.5603523173214329
1-4 years,2018,106.77835162989189,61.22164837010811,1.3079656389732726
1-4 years,2019,100.40916163279657,32.590838367203446,1.2435972553290409
1-4 years,2020,95.06097067933787,35.93902932066213,1.1952820248235119
1-4 years,2021,117.14742436154448,43.8525756384555,1.5013414888347782
1-4 years,2022,137.98326314206832,35.016736857931676,1.8174278109412458
10-14 years,2000,43.0988673419682,7.9011326580318,0.4096773790639871
10-14 years,2001,49.369139758914386,5.630860241085619,0.4593670762233654
10-14 years,2002,34.650018772739166,10.349981227260836,0.3181820197847508
10-14 years,2003,43.063186299500956,18.93681370049904,0.3925370097775225
10-14 years,2004,40.95777744030711,-14.957777440307108,0.3734306576611789
10-14 years,2005,30.44550471754908,34.554495282450915,0.2802370457526597
10-14 years,2006,26.24062750683496,10.759372493165035,0.24361855804319338
10-14 years,2007,28.32975388005721,11.670246119942789,0.26548458508004164
10-14 years,2008,32.50180106314761,23.49819893685239,0.30667339105783914
10-14 years,2009,42.96328934101927,3.0367106589807227,0.4063939848932453
10-14 years,2010,22.003545292954612,9.996454707045388,0.20797573061874164
10-14 years,2011,25.112985778955196,6.887014221044805,0.23720520088216615
10-14 years,2012,29.28943524472966,-2.289435244729662,0.2771727273123234
10-14 years,2013,20.90036661965704,11.099633380342961,0.198060374942154
10-14 years,2014,28.149687158081584,-2.1496871580815866,0.26679085286810544
10-14 years,2015,31.24266997375356,3.7573300262464406,0.2969726019016937
10-14 years,2016,26.037751766151615,4.962248233848382,0.24753698227268853
10-14 years,2017,30.230565214203104,3.769434785796896,0.28505761407563385
10-14 years,2018,33.37181541710454,-4.371815417104541,0.31309049968950226
10-14 years,2019,26.076261538916427,8.923738461083573,0.2455793989139693
10-14 years,2020,21.90022279738431,26.09977720261569,0.20670400134652891
10-14 years,2021,38.87010659433986,-5.870106594339861,0.3537433358818788
10-14 years,2022,39.916664000127206,-9.9166640001272075,0.3729883413659972
15-19 years,2000,127.9200393615309,68.0799606384691,1.2310652499174373
15-19 years,2001,119.21683553679084,129.7831644632092,1.130297347928836
15-19 years,2002,89.44140116304754,82.55859883695244,0.841524927320798
15-19 years,2003,109.37236593976921,87.62763406023082,1.021160123161825
15-19 years,2004,79.517561762695,53.482438237305,0.7322221585460138
15-19 years,2005,88.96391675960098,85.03608324039901,0.804999506937802
15-19 years,2006,74.04995973971843,50.95004026028156,0.660546046995209
15-19 years,2007,68.6654985600102,71.33450143998978,0.6057033399227646
15-19 years,2008,82.33548453015175,66.66451546984824,0.7218781269816944
15-19 years,2009,75.88947381622093,93.11052618377907,0.666384625544133
15-19 years,2010,69.48536833137479,48.51463166862521,0.6147153351078738
15-19 years,2011,61.272486894895124,46.727513105104876,0.55106380492265294
15-19 years,2012,63.26040761731209,51.73959238268792,0.5770428688032447
15-19 years,2013,63.10342881556407,56.896571184435906,0.5818027234961224
15-19 years,2014,51.384329784908516,48.615670215091484,0.4764857213760441
15-19 years,2015,56.54958609396767,37.450413906032324,0.5237107115133727
15-19 years,2016,76.34809031198512,42.65190968801488,0.7068059506864394
15-19 years,2017,55.40767196819643,43.59232803180357,0.5130106767201272
15-19 years,2018,61.58693037112903,46.41306962887098,0.5715773199281983
15-19 years,2019,56.28721123550448,43.712788764495514,0.5238160230083277
15-19 years,2020,65.62807544116048,73.37192455883952,0.6136563672400229
15-19 years,2021,78.42416159078857,50.57583840921142,0.7114608758178242
15-19 years,2022,74.55408054521668,56.44591945478333,0.67274671777773
20-24 years,2000,173.36618203147478,211.63381796852516,1.789528391353042
