age_cat,male_years_lost,female_years_lost
1-4 years,135.32477416366706,112.74683154511577
10-14 years,24.43319370429351,21.536176630817295
15-19 years,77.81767410684893,46.172506668405745
20-24 years,151.80185992281503,78.48169767952972
25-29 years,180.35694987903975,94.22709944506921
30-34 years,185.55515611636173,106.19425193624227
35-39 years,194.99565659700812,121.99441807221281
40-44 years,209.6975467764619,136.43187393713737
45-49 years,223.7826083863974,144.44243659097543
5-9 years,20.550987906624172,20.319345229291617
50-54 years,228.98525434080472,143.11799388989897
55-59 years,229.60413019019305,143.07874940886225
60-64 years,236.37143266866906,152.24147913053397
65-69 years,242.66224961950246,173.44459262276885
70-74 years,276.8428841532748,235.42692925957664
75-79 years,349.22547843450286,338.0330823405069
80-84 years,491.059902647716,536.2931104078092
< 1 year,6717.552309656966,5323.910467148434
