age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
1-4 years,18.714133452722677,1.170831129537513,128.2616936859601,109.54756023323742,8937.491550100603,2000-2005,2
10-14 years,4.4292480881595395,1.1678834278203145,30.81212664660878,26.382878558449242,2877.241949862405,2000-2005,4
15-19 years,43.29151185605005,1.684173999837722,106.56709944972985,63.2755875936798,27788.24351871525,2000-2005,5
20-24 years,99.54678565495068,2.0153839656835077,197.58534940944187,98.0385637544912,61704.77490212434,2000-2005,6
25-29 years,115.31398539448935,2.068017387661459,223.28412401459357,107.97013862010422,66504.30831845586,2000-2005,7
30-34 years,101.35362321693354,1.8236519219767322,224.4075741792391,123.05395096230556,62214.56144609109,2000-2005,8
35-39 years,109.19308702563265,1.6927607345322542,266.8132891858472,157.62020216021457,70618.768383625,2000-2005,9
40-44 years,115.33558054779374,1.6212161629395658,300.9965266539465,185.66094610615275,78148.22687756643,2000-2005,10
45-49 years,129.98480329858907,1.70178897198518,315.2040194553999,185.2192161568108,82144.26950092884,2000-2005,11
5-9 years,0.16785684275766855,1.00660657197104,25.575412151845327,25.40755530908766,102.2765171469895,2000-2005,3
50-54 years,116.37639723629067,1.7340299603982419,274.92087568394373,158.54447844765306,64758.730870156185,2000-2005,12
55-59 years,90.69899771154104,1.6306971740093197,234.50651968753263,143.8075219759916,40666.32322619341,2000-2005,13
60-64 years,82.6972555377468,1.5600470579344248,230.3585178658666,147.6612623281198,28201.711658739572,2000-2005,14
65-69 years,65.7263132572655,1.3822379745206959,237.67760443832216,171.95129118105666,18003.667597749198,2000-2005,15
70-74 years,40.92989820228286,1.1819693768225046,265.8572948719239,224.92739666964104,9543.764753377129,2000-2005,16
75-79 years,18.125407175728924,1.0576449483883081,332.55724695520905,314.43183977948013,3382.1596530626566,2000-2005,17
80-84 years,-29.530659308949453,0.9396751920216602,459.9969545966384,489.5276139055878,-3567.1958576146167,2000-2005,18
< 1 year,1779.3742772133492,1.3027134854715394,7657.454913236559,5878.08063602321,216198.99251688368,2000-2005,1
1-4 years,20.52793135535518,1.1788927659734234,135.27785566702272,114.74992431166754,11822.453821510757,2006-2012,2
10-14 years,4.393682798249426,1.2215562624308687,24.22468531671973,19.831002518470303,3266.5394079405573,2006-2012,4
15-19 years,30.65531341602704,1.7345580029788765,72.3883192395421,41.73300582351506,24133.809333498408,2006-2012,5
20-24 years,68.916186138535,1.9181963677057192,143.972229227373,75.056043088838,53235.875136784154,2006-2012,6
25-29 years,74.49713241393908,1.8337308323170236,163.85106959160578,89.3539371776667,54957.66172337629,2006-2012,7
30-34 years,67.56483670239828,1.7037345617809785,163.5738156154253,96.00897891302702,47012.43496594302,2006-2012,8
35-39 years,51.80037639873093,1.463328415552125,163.60093656295714,111.80056016422621,36791.768493203526,2006-2012,9
40-44 years,60.26179721695593,1.4730369688585154,187.65521714853875,127.39341993158283,44750.64201861279,2006-2012,10
45-49 years,69.56975295090899,1.49404327143879,210.38687762969013,140.81712467878114,54198.62979599147,2006-2012,11
5-9 years,-1.88225128734722,0.9048706537924905,17.903980431741743,19.786231719088963,-1351.18029805145,2006-2012,3
50-54 years,79.45217759736181,1.544428227391815,225.38909563335764,145.93691803599583,59487.220684339,2006-2012,12
55-59 years,82.86306571306883,1.592089007721987,222.81341883966644,139.9503531265976,54460.85336154348,2006-2012,13
60-64 years,72.59559816913077,1.4848879364384682,222.31183714663538,149.71623897750462,39032.845505147205,2006-2012,14
65-69 years,56.66085475601707,1.3271678278637036,229.84675486726425,173.18590011124718,22523.65300004764,2006-2012,15
