Gender,Year,yrs_lost
Female,2000,173.43157983823616
Female,2001,179.89597807835304
Female,2002,152.28631821797495
Female,2003,160.37846278264286
Female,2004,148.01242724654992
Female,2005,150.59335280403008
Female,2006,141.087168689812
Female,2007,144.70500636345005
Female,2008,171.9895565859379
Female,2009,182.43571194377566
Female,2010,161.63618210002377
Female,2011,164.22840701573915
Female,2012,170.07291280232283
Female,2013,155.97592806025915
Female,2014,139.48251316432038
Female,2015,138.84895735298463
Female,2016,144.3558848701374
Female,2017,139.43388560231944
Female,2018,137.235073228685
Female,2019,137.07137277401782
Female,2020,138.24702588322234
Female,2021,145.9504406624226
Female,2022,145.95169041980307
Male,2000,259.4402474792541
Male,2001,258.40942820487425
Male,2002,218.41702772041876
Male,2003,223.16049641200803
Male,2004,195.99749625742263
Male,2005,205.29844354909824
Male,2006,188.0316888013013
Male,2007,183.10167194294064
Male,2008,220.73410045416668
Male,2009,237.22997581951202
Male,2010,192.8422946726741
Male,2011,191.9576666234822
Male,2012,204.78278891721172
Male,2013,193.10524128501208
Male,2014,179.45561226758826
Male,2015,182.22168881192383
Male,2016,195.3729621933177
Male,2017,185.8614095406017
Male,2018,180.60720425945206
Male,2019,185.50715111583642
Male,2020,194.52526592280847
Male,2021,201.84201475662482
Male,2022,202.0133001175377
