agegroup,Year,expected_deaths_male,hypothetical_excess,expected_rate_male
1-4 years,2001,2.093321368471679,-1.093321368471679,0.02677900996928983
1-4 years,2020,8.357008411370362,2.642991588629636,0.10507973844602303
1-4 years,2021,27.194937798215683,0.8050622017843178,0.3485257027652163
1-4 years,2022,42.85843779412728,17.14156220587271,0.5645040927923567
10-14 years,2001,1.050407228913072,0.9495927710869281,0.009773767579220539
10-14 years,2020,14.60014853158954,3.3998514684104624,0.1378026675643526
10-14 years,2021,39.920650015808505,2.079349984191495,0.3633039665813891
10-14 years,2022,34.66447136853152,2.335528631468477,0.32391092802836596
15-19 years,2020,61.46121350838839,-1.461213508388394,0.5746940582089104
15-19 years,2021,143.2548018391738,74.74519816082619,1.2996018664938924
15-19 years,2022,72.45396560028101,20.54603439971899,0.6537961060093433
20-24 years,2001,40.625724427634744,34.37427557236525,0.40301954644800275
20-24 years,2019,8.375893388724728,-4.375893388724728,0.07569888045140757
20-24 years,2020,139.9748250055932,112.02517499440681,1.2687100409594514
20-24 years,2021,443.05811439726756,180.9418856027325,4.037624212627736
20-24 years,2022,114.93540179205462,61.064598207945394,0.9906526518735808
25-29 years,2001,95.13049685626736,139.86950314373266,0.9996653808246767
25-29 years,2013,2.063945348534258,5.936054651465742,0.018831826049669508
25-29 years,2020,292.7968494864926,222.20315051350735,2.465631518238144
25-29 years,2021,784.1983513021706,556.8016486978295,6.891592883190951
25-29 years,2022,232.49175391880502,154.50824608119498,2.0478907555443877
30-34 years,2001,111.33230156480022,272.6676984351997,1.0717142459077567
30-34 years,2020,523.5815505162324,431.4184494837676,4.525629705878438
30-34 years,2021,1533.307097698665,999.6929023013354,13.134034351843717
30-34 years,2022,426.15918347990765,191.84081652009226,3.6002843963151223
35-39 years,2001,102.5645557918092,348.43544420819075,0.9244707405010633
35-39 years,2020,724.1030753166275,823.8969246833725,6.620317709138683
35-39 years,2021,2388.419649883988,1571.5803501160121,21.204324051004555
35-39 years,2022,625.6352086410936,243.3647913589063,5.5354680785423644
40-44 years,2001,104.28566534552586,283.71433465447416,0.9216654773414193
40-44 years,2020,1281.4223879976564,1240.5776120023436,12.676957781122569
40-44 years,2021,3754.42361139389,2233.5763886061104,35.43988653147309
40-44 years,2022,1014.5409456048322,358.45905439516775,9.378363427511895
45-49 years,2001,89.25982107851466,184.74017892148535,0.875694332801349
45-49 years,2020,2117.7798734801245,2317.220126519876,21.450425057107054
45-49 years,2021,5433.496640790458,3819.5033592095424,55.01853316956318
45-49 years,2022,1564.4690028508733,582.5309971491268,15.891018292157291
5-9 years,2020,4.184327948819518,5.815672051180482,0.040440976495906666
5-9 years,2021,25.115279580530874,13.88472041946913,0.2420479678560299
5-9 years,2022,30.348662900985747,2.651337099014255,0.2966069494599145
50-54 years,2001,61.35056008029236,137.64943991970762,0.6707799451888937
50-54 years,2020,3317.640191037303,3640.3598089626967,33.005473165941254
50-54 years,2021,7984.587715424454,6186.4122845755455,76.50855852947704
50-54 years,2022,2408.248041002203,1177.7519589977967,23.079356932377483
55-59 years,2001,42.19230778833622,81.80769221166379,0.6241854380034055
55-59 years,2020,5532.159204469934,5266.840795530066,52.62744574040018
55-59 years,2021,11520.083359764401,7836.916640235598,108.3727132630628
55-59 years,2022,3908.427360153896,1816.5726398461045,37.67550000278483
60-64 years,2001,26.355479871172765,24.64452012882724,0.4970715628786957
60-64 years,2019,1.839900560142522,3.1600994398574778,0.018666439682760123
60-64 years,2020,8540.238444685576,7663.761555314424,85.59492166364596
60-64 years,2021,16164.538200031533,9302.461799968469,156.43214014118425
60-64 years,2022,5775.9595073880055,2693.0404926119945,56.08827660752891
65-69 years,2001,5.173839611827015,14.826160388172983,0.11685387306319575
65-69 years,2020,11119.520995398656,9826.479004601344,132.52748300278088
65-69 years,2021,18109.307431899728,10074.69256810027,207.00579000419546
65-69 years,2022,7049.08620242785,3983.9137975721483,79.43616006565603
70-74 years,2001,3.98638242007551,6.01361757992449,0.10186394725240337
70-74 years,2020,14395.537512645033,11681.462487354967,211.91133520125868
70-74 years,2021,19937.0455481823,11811.9544518177,279.98035561345216
70-74 years,2022,8510.595367554137,4950.404632445861,120.9446117765398
75-79 years,2001,5.622918674264685,-4.622918674264685,0.18272520481782412
75-79 years,2019,0.8095921649232513,6.1904078350767495,0.018747073113210198
75-79 years,2020,15958.115687422924,11585.884312577076,356.7108380346695
75-79 years,2021,18031.710315905115,11652.289684094887,403.1765941831164
75-79 years,2022,9049.977100855374,5691.022899144626,184.3290406118716
80-84 years,2019,2.2100919784367377,5.789908021563263,0.08247461225248337
80-84 years,2020,16764.918774425503,10422.081225574499,609.7240925805148
80-84 years,2021,15677.658077411474,10582.341922588525,581.4930758387463
80-84 years,2022,8241.79635905201,6052.203640947989,291.7285844461147
< 1 year,2020,12.533844517587195,10.466155482412805,0.6568615483649894
< 1 year,2021,49.11706027168241,-5.11706027168241,2.6965142103430253
< 1 year,2022,62.75365700020997,19.246342999790038,3.3328778400285293
