Age Group,Female Death Rate,Male Death Rate
1-4 years,9.710144230061578,13.949659742310045
10-14 years,5.665512071880109,10.235879764481204
15-19 years,21.612328752433978,63.07828184159085
20-24 years,29.885186663153203,111.66136653814088
25-29 years,32.69949782863613,114.54908854622089
30-34 years,35.58288695822854,111.1948216384425
35-39 years,38.53449923203777,108.73677656035943
40-44 years,41.16045430210703,107.53545979742701
45-49 years,43.90411464063098,109.53288912352114
5-9 years,4.391534858491838,6.181243651511477
50-54 years,44.42913995634197,110.0950348362153
55-59 years,41.89796613776093,108.15651950670961
60-64 years,37.92308693265395,100.1540037326851
65-69 years,38.298580124689515,95.8889506751025
70-74 years,48.30604902256773,108.49473827200808
75-79 years,75.30661957741297,152.7040621435128
80-84 years,129.04537011141286,237.43282314338532
< 1 year,34.82821142632948,45.06748791376342
