age_cat,unadj_excess_deaths_number,unadj_excess_deaths_rate,ratio_unadj_excess_deaths_rate,male_death_rate,female_death_rate,Year,age
1-4 years,2283.7832029881683,4.781993179878974,1.4195649903641354,16.17949604523659,11.397502865357616,2000-2005,2
10-14 years,3834.369854841396,5.902658047115224,1.8847939778905758,12.57388117318991,6.671223126074686,2000-2005,4
15-19 years,30434.08981390078,47.41349553523317,2.812965547352628,73.56594813118484,26.15245259595167,2000-2005,5
20-24 years,53454.583693744964,86.23695643775302,4.149497557047593,113.61813545939779,27.381179021644773,2000-2005,6
25-29 years,42063.16373470431,72.93468906289841,3.9630634609061643,97.54931174148037,24.614622678581956,2000-2005,7
30-34 years,36536.229420810756,59.52110156226068,3.301818024681421,85.37940179452974,25.858300232269055,2000-2005,8
35-39 years,37069.216026117814,57.31765399140599,2.828882091490255,88.65792150132567,31.34026750991968,2000-2005,9
40-44 years,40416.83593664701,59.64945620533673,2.66907132369231,95.38756718874309,35.73811098340636,2000-2005,10
45-49 years,37906.463851451364,59.98305514689944,2.679987728957531,95.68751543133273,35.70446028443329,2000-2005,11
5-9 years,1376.9195284960997,2.2598087149620554,1.3980594090941916,7.936872648972277,5.677063934010222,2000-2005,3
50-54 years,30033.910299784784,53.97323617436182,2.694811707849999,85.81939107426577,31.846154899903944,2000-2005,12
55-59 years,21397.845979889345,47.72408788389887,2.6633698528825054,76.41529435322155,28.691206469322687,2000-2005,13
60-64 years,15129.15290590794,44.363953474497414,2.491167052450226,74.11511609682088,29.75116262232347,2000-2005,14
65-69 years,12381.726409496849,45.20219140005052,2.3253440171227098,79.30819770185842,34.106006301807895,2000-2005,15
70-74 years,12860.08349281736,55.15243950744027,2.1959623683702176,101.26797036866506,46.11553086122479,2000-2005,16
75-79 years,14018.5428017452,75.12708516344787,2.041848121189329,147.23652571960687,72.109440556159,2000-2005,17
80-84 years,13220.929686151878,109.44808916951447,1.9049189635740802,230.3960343172621,120.94794514774762,2000-2005,18
< 1 year,949.0303870145767,7.810768400392494,1.2464393340873057,39.50525592739329,31.6944875270008,2000-2005,1
1-4 years,2417.0527946401353,4.196852413190621,1.4250923737669772,14.069653414064865,9.872801000874244,2006-2012,2
10-14 years,3112.2671294057386,4.186177738063263,1.8434938892756436,9.149080008354957,4.9629022702916945,2006-2012,4
15-19 years,31555.41864491912,40.08241033011071,2.9639183986419138,60.49181754266519,20.409407212554477,2006-2012,5
20-24 years,62283.24931891731,80.62841067882513,3.965057058161136,107.82128052829411,27.192869849468973,2006-2012,6
25-29 years,55033.10678302478,74.5994009679926,3.6421522358266096,102.8337320396289,28.23433107163631,2006-2012,7
30-34 years,44722.26541666873,64.27347492269857,3.2035302655858917,93.4418852352336,29.168410312535027,2006-2012,8
35-39 years,40530.73968138821,57.064600512550165,2.7606551411853175,89.47560433589562,32.41100382334546,2006-2012,9
40-44 years,41573.54741249184,55.98348025306716,2.459978459858779,94.32889547137273,38.345415218305575,2006-2012,10
45-49 years,46275.53627686667,59.39961284206759,2.3477475257073284,103.47286225196233,44.073249409894736,2006-2012,11
5-9 years,1241.7723681846123,1.7298414149306165,1.4200530279943475,5.84799150467094,4.118150089740324,2006-2012,3
50-54 years,44929.53958172805,60.00868282546861,2.40061396326041,102.85323842719758,42.84455560172897,2006-2012,12
55-59 years,37567.30081357199,57.159253368875525,2.5596051961134973,93.80907571578432,36.64982234690879,2006-2012,13
60-64 years,27036.735802106286,50.284522757528265,2.570418267943056,82.30435071291194,32.019827955383676,2006-2012,14
65-69 years,19090.77292607259,48.02504779939623,2.388699904599641,82.60778784303565,34.58274004363942,2006-2012,15
70-74 years,15965.776163340588,54.41885402614529,2.2019503969569336,99.6943114526094,45.27545742646411,2006-2012,16
75-79 years,15919.40475789508,71.11275638523327,1.9883166617126113,143.06616882897882,71.95341244374555,2006-2012,17
80-84 years,16161.285948884648,101.521941247122,1.8161971284047862,225.90603635603426,124.38409510891226,2006-2012,18
< 1 year,1476.2846275039774,10.240865951502599,1.2909671747663916,45.43681532182133,35.19594937031873,2006-2012,1
1-4 years,2196.393422781269,3.8539297010538416,1.4570481140077933,12.286148504582538,8.432218803528697,2013-2019,2
10-14 years,2788.5114470731414,3.766984300747904,1.7296924767542308,8.929411515982396,5.1624272152344926,2013-2019,4
15-19 years,26767.188814509514,35.42932973283442,2.9073356810004705,54.00462829498913,18.575298562154714,2013-2019,5
20-24 years,61173.33793574656,76.28287645714735,3.483927941521434,106.99345995757821,30.71058350043086,2013-2019,6
25-29 years,67548.8765372069,83.30339956309189,3.3204599809940363,119.20291959161935,35.89952002852747,2013-2019,7
30-34 years,61283.727268808405,79.6057438868097,2.9993860550672786,119.420837967843,39.815094081033294,2013-2019,8
35-39 years,54421.02606114834,74.99512280598559,2.809030788371109,116.45109098965196,41.45596818366637,2013-2019,9
40-44 years,46166.01907795297,66.099213062252,2.5757944206193413,108.04580977394282,41.94659671169082,2013-2019,10
45-49 years,46974.02222884477,64.97818392998279,2.4039707525103915,111.25990583465747,46.28172190467468,2013-2019,11
5-9 years,1121.9074076477095,1.5393191891625695,1.4133637189862258,5.263204761262966,3.723885572100397,2013-2019,3
50-54 years,50836.97627766274,68.03064938643752,2.3549653278263882,118.23905545360314,50.20840606716563,2013-2019,12
55-59 years,53002.296225524864,71.6056823558028,2.4958158639827364,119.47633547559698,47.87065311979418,2013-2019,13
60-64 years,43132.85614985367,66.2271837660294,2.6305996366194373,106.84241651766409,40.61523275163469,2013-2019,14
65-69 years,32039.247078792738,59.4863181479787,2.5246799179054995,98.50192886691367,39.01561071893497,2013-2019,15
70-74 years,23845.255647047023,60.531571025179126,2.2406645587553498,109.3212060623121,48.789635037132975,2013-2019,16
75-79 years,20918.519923661643,78.645703084854,2.034623762255133,154.65952178299867,76.01381869814466,2013-2019,17
80-84 years,18573.63382794493,106.76311650718807,1.8069400160342763,239.06925374881064,132.30613724162257,2013-2019,18
< 1 year,1603.8423901203769,11.440516806375314,1.3224998111731268,46.91500829447646,35.474491488101144,2013-2019,1
1-4 years,975.1745921533106,4.176677514461396,1.465293811451228,13.153107915361312,8.976430400899917,2020-2022,2
10-14 years,1487.0525877850755,4.6060107205834235,1.7170155708996209,11.029875009617456,6.423864289034032,2020-2022,4
15-19 years,15400.47723794042,46.953224202199266,3.0675881285327593,69.66240092566937,22.70917672347011,2020-2022,5
20-24 years,30014.306230985843,89.30683744960393,3.3070724618032474,128.01686451992845,38.710027070324514,2020-2022,6
25-29 years,37457.51882215569,108.2370587383453,3.2220116058255424,156.9483518992701,48.71129316092481,2020-2022,7
30-34 years,41058.06983457711,117.03999029023294,3.07197287696441,173.52721152341093,56.487221233178,2020-2022,8
35-39 years,37532.3535802334,112.02443328677849,2.879752502807736,171.6197433711915,59.595310084413015,2020-2022,9
40-44 years,33272.82287460707,105.5611570774022,2.817772120902857,163.63287897451863,58.07172189711643,2020-2022,10
45-49 years,28219.800819298165,95.35762171715271,2.718916881539094,150.83303343791658,55.475411720763866,2020-2022,11
5-9 years,490.09944267426295,1.5832715449929644,1.3883819844829122,5.659854930035697,4.076583385042732,2020-2022,3
50-54 years,29108.226581023875,94.13243841063806,2.6370618923673352,151.63328113962876,57.500842728990705,2020-2022,12
55-59 years,31055.455907001506,98.53897890621437,2.695764388875139,156.6478645230298,58.10888561681543,2020-2022,13
60-64 years,28850.975533895005,94.25729651410079,2.8115616734922066,146.2882584699242,52.0309619558234,2020-2022,14
65-69 years,21096.79999493889,81.10265595720702,2.7207549620911533,128.23467518360908,47.13201922640207,2020-2022,15
70-74 years,15273.551618204354,72.9018823175401,2.3399676084507783,127.30758724486039,54.40570492732029,2020-2022,16
75-79 years,12083.933197142042,87.21221899555307,2.0299918505576846,171.88494621017367,84.6727272146206,2020-2022,17
80-84 years,9923.164975946036,119.97751351850769,1.81909204345281,266.4537422616818,146.4762287431741,2020-2022,18
< 1 year,701.3424293673161,12.496056654995996,1.3200054783945347,51.54556517493955,39.04950851994355,2020-2022,1
