Year,ageadjrate_male,ageadjrate_female
2000,73.9255461333311,26.9314873517268
2001,75.4890145326204,27.6536798681383
2002,77.6395040429506,28.9189316885438
2003,77.7916584034804,29.2466836448062
2004,77.8293110093909,29.9945114435051
2005,80.2278158757554,30.2401214468249
2006,81.5712039682268,30.8950466881155
2007,81.7086653409505,31.1977213507716
2008,79.9698119311879,30.3837483218696
2009,76.6373056562398,29.862142420935
2010,76.5664586819492,30.4054704197898
2011,78.1825764297237,31.2087481105947
2012,78.323539105823,31.3170518248195
2013,78.1884276107749,31.511239330846
2014,79.8893999704182,32.1836950435461
2015,85.3171037335862,33.871740335558
2016,93.4076034899991,36.404077533079104
2017,97.5005146617393,37.8406071954435
2018,95.7768706007898,36.8764709822682
2019,98.007207498232,36.9887904937629
2020,113.082923813601,41.3695783678427
2021,123.039347396839,45.93903841744
2022,121.484960346163,44.9938335933081
