Age Group,Excess Deaths Number,Excess Death Rate
1-4 years,7872.318919772206,4.239515512248467
10-14 years,11225.57286755194,4.570367692601096
15-19 years,104189.66048278588,41.46595308915687
20-24 years,206921.37625027838,81.77617987498768
25-29 years,202281.922783218,81.84959071758476
30-34 years,183759.15783813928,75.61193468021396
35-39 years,169727.4618137359,70.20227732832166
40-44 years,161544.227792071,66.37500549531998
45-49 years,159468.98204176308,65.62877448289017
5-9 years,4233.633787455396,1.7897087930196394
50-54 years,155081.089908605,65.66589487987333
55-59 years,143182.13715759155,66.25855336894868
60-64 years,114260.46751861516,62.230916800031146
65-69 years,84666.9992744098,57.59037055041299
70-74 years,68013.18875752298,60.18868924944035
75-79 years,63079.011664200145,77.39744256609983
80-84 years,58167.80450738095,108.38745303197246
< 1 year,4730.277775328808,10.23927648743394
