Year,excess_deaths_male
2000,63584.352931451525
2001,65774.7339393908
2002,67786.22644707466
2003,68238.77483630873
2004,68016.81160151675
2005,71952.64862557643
2006,73899.22325079772
2007,74234.86312651142
2008,73743.12322431487
2009,70112.57785689077
2010,69918.8075600549
2011,72127.8570805233
2012,72833.34123255374
2013,73116.93219709753
2014,75431.52395980184
2015,82085.71512438593
2016,91273.30605174867
2017,96425.5021862172
2018,96032.44291524804
2019,99968.13685701563
2020,117268.9151162248
2021,128019.28169019155
2022,128637.68729147721
