agegroup,Year,expected_deaths_male,hypothetical_excess,expected_rate_male
1-4 years,2000,952.8167338222592,380.1832661777411,12.119704321833288
1-4 years,2001,920.0147414433029,394.9852585566972,11.76937488150288
1-4 years,2002,881.8150303428644,415.18496965713575,11.14384938168821
1-4 years,2003,903.8726488023023,379.12735119769775,11.326892412723675
1-4 years,2004,919.3928259115086,284.60717408849155,11.409050099343007
1-4 years,2005,865.4989569207835,429.50104307921663,10.648515123010903
1-4 years,2006,914.0465958473545,260.95340415264565,11.253886127649677
1-4 years,2007,860.05607142784,374.94392857216,10.533607198587806
1-4 years,2008,831.8901827761074,354.1098172238925,10.08706556871408
1-4 years,2009,793.9095484725416,375.0904515274585,9.567860047386086
1-4 years,2010,754.0587634043916,404.94123659560853,9.079410638101482
1-4 years,2011,777.5945288152025,346.4054711847976,9.418777958441318
1-4 years,2012,754.5198063605482,300.4801936394517,9.202137746965395
1-4 years,2013,697.5883528563987,367.4116471436011,8.574420450044117
1-4 years,2014,700.9046780620183,289.09532193798157,8.612875260151192
1-4 years,2015,668.1887873749033,375.8112126250968,8.206220392110932
1-4 years,2016,707.8846023923799,286.1153976076202,8.678911923402
1-4 years,2017,696.8411675169947,309.15883248300526,8.517988879803886
1-4 years,2018,669.9818141483413,348.0181858516588,8.206843224930338
1-4 years,2019,664.164767050269,220.83523294973108,8.225877678478552
1-4 years,2020,625.731004801356,346.2689951986441,7.8678454161459745
1-4 years,2021,741.58503457442,281.4149654255801,9.504027817713014
1-4 years,2022,728.5934425001639,347.40655749983614,9.596569577470063
10-14 years,2000,744.2438555637435,724.7561444362562,7.0744288872512895
10-14 years,2001,714.276915660889,659.7230843391109,6.646161953869968
10-14 years,2002,750.750406742682,619.2495932573181,6.893943762002935
10-14 years,2003,666.9542268337343,713.0457731662657,6.079536614846996
10-14 years,2004,781.3483696304742,554.651630369526,7.123907930767105
10-14 years,2005,676.1001737276417,562.8998262723584,6.223195084990098
10-14 years,2006,628.7254350637658,493.2745649362342,5.8371006507149135
10-14 years,2007,620.1068349301412,455.893165069859,5.8111625845298
10-14 years,2008,518.9803718147764,481.01962818522355,4.896881566891303
10-14 years,2009,496.6975401864179,432.3024598135822,4.698310947302396
10-14 years,2010,487.22136005828077,396.7786399417192,4.605176892272137
10-14 years,2011,469.8221089479534,443.1778910520466,4.437713966503858
10-14 years,2012,468.63096391567456,409.36903608432533,4.434763636997174
10-14 years,2013,512.0589821815973,357.94101781840277,4.852479186082772
10-14 years,2014,479.58726269324177,429.4127373067582,4.5453256414566106
10-14 years,2015,511.33836523709994,371.66163476289995,4.860451584457721
10-14 years,2016,592.6192301976107,318.3807698023893,5.63394171652639
10-14 years,2017,564.9988395206235,500.00116047937655,5.327628511344605
10-14 years,2018,592.3497236536057,365.6502763463942,5.557356369488666
10-14 years,2019,568.4625015483781,445.5374984516219,5.353630896324531
10-14 years,2020,639.2779321331706,561.7220678668292,6.033788229782012
10-14 years,2021,712.2684397557412,476.73156024425896,6.482107614267941
10-14 years,2022,722.7017061075663,448.29829389243366,6.753052075258054
15-19 years,2000,2749.7522510689414,5096.247748931058,26.46281582673764
15-19 years,2001,2661.090078946224,5168.909921053775,25.229851516268663
15-19 years,2002,2895.1329733610273,5110.867026638973,27.2393604450625
15-19 years,2003,2786.340662387907,4979.659337612093,26.01479770074397
15-19 years,2004,2951.6918926312383,4923.308107368761,27.18008652522803
15-19 years,2005,2743.054100087697,5154.9458999123035,24.82081813058223
15-19 years,2006,2764.179211426918,5366.820788573082,24.65724029712116
15-19 years,2007,2683.2364052680905,5191.7635947319095,23.669022821597252
15-19 years,2008,2378.228803159383,4804.771196840617,20.851172052432783
15-19 years,2009,2242.955559457196,4195.044440542804,19.69536782163771
15-19 years,2010,2060.3464518863707,4179.653548113629,18.227241072819833
15-19 years,2011,2011.4278456531088,4029.5721543468903,18.090094561598814
15-19 years,2012,1929.4424323280189,3785.5575676719814,17.59980749849897
15-19 years,2013,1793.1891021756126,3449.8108978243868,16.532894059348145
15-19 years,2014,1792.1595837226255,3622.840416277374,16.618655057788967
15-19 years,2015,2058.8238196433413,3692.1761803566587,19.066949237690565
15-19 years,2016,2176.4435060170003,3999.556493983,20.14881073121206
15-19 years,2017,2133.7180846620554,4294.281915337945,19.75575077709018
15-19 years,2018,2094.999478895864,3768.0005211041366,19.443316628743965
15-19 years,2019,1982.5606624061022,3942.439337593898,18.44996436595999
15-19 years,2020,2306.358079789354,5132.641920210645,21.56563804872081
15-19 years,2021,2634.006173962619,5241.993826037381,23.89559928246799
15-19 years,2022,2508.587301725671,5025.412698274329,22.636505757337982
20-24 years,2000,2570.205867346141,8042.7941326538585,26.530297416384553
20-24 years,2001,2585.462769984344,8709.537230015656,25.648577289331865
20-24 years,2002,2840.1019781177247,8961.898021882276,27.500329005586284
20-24 years,2003,2996.380737315656,9061.619262684344,28.542491209635926
20-24 years,2004,2941.1581810211937,9069.841818978806,27.603759174717272
20-24 years,2005,3039.60666044137,9608.393339558632,28.309252860711627
20-24 years,2006,3104.607084591295,10087.392915408704,28.75341446796807
20-24 years,2007,3137.0640481558085,9763.935951844192,29.025829482940047
20-24 years,2008,2916.9299728828073,9151.070027117194,26.90635177530662
20-24 years,2009,2779.376877937605,8245.623122062394,25.441198277570642
20-24 years,2010,3005.716020784684,8101.2839792153145,27.28952234633516
20-24 years,2011,2979.186905943033,8511.813094056968,26.33488827550481
20-24 years,2012,3085.7872931108536,8419.212706889146,26.718031508244664
20-24 years,2013,3194.8741804167566,8173.1258195832415,27.35579891211898
20-24 years,2014,3142.7030574486294,8310.29694255137,26.7704978909842
20-24 years,2015,3445.0937971228545,8878.906202877144,29.526370463007634
20-24 years,2016,3774.44253070465,9790.55746929535,32.846759901755405
20-24 years,2017,3926.5453900197526,9136.454609980246,34.597728973870915
20-24 years,2018,3649.518565817644,8446.481434182357,32.58048701503144
20-24 years,2019,3495.888503118983,8436.111496881018,31.59482022840623
20-24 years,2020,4178.352985241589,10442.647014758411,37.87194152117766
20-24 years,2021,4560.5864592300895,10316.41354076991,41.56099101495921
20-24 years,2022,4269.32774293032,9256.67225706968,36.7982430505041
25-29 years,2000,2217.9328856875227,6566.067114312477,22.63483222048017
25-29 years,2001,2264.719570320171,6716.280429679829,23.798485517697138
25-29 years,2002,2321.741139240096,6893.258860759905,24.58754235512326
25-29 years,2003,2363.29730966797,6878.70269033203,24.970173321368282
25-29 years,2004,2476.2954896466745,7313.7045103533255,25.719795591977277
25-29 years,2005,2549.4536226554033,7697.546377344597,25.95612436865151
25-29 years,2006,2834.7912908004073,8266.208709199593,28.079503739706595
25-29 years,2007,2965.2024744900878,8163.797525509911,28.75086064396258
25-29 years,2008,2855.4104672021026,8154.589532797897,27.170744266722807
25-29 years,2009,2858.9276336739035,7389.072366326096,26.94214918670537
25-29 years,2010,3018.051463092158,7539.948536907842,28.376904142817807
25-29 years,2011,3101.092104991701,7752.9078950082985,28.816501254625404
25-29 years,2012,3197.941641019421,7764.058358980579,29.488015282220772
25-29 years,2013,3241.4261698730515,7753.573830126949,29.57538281100596
25-29 years,2014,3470.102557518559,7956.8974424814405,31.0902393735991
25-29 years,2015,3751.46348979,9211.53651021,32.880465393400655
25-29 years,2016,4484.447109928496,10569.552890071503,38.55441803789009
25-29 years,2017,4772.005230100896,11208.994769899102,40.0933709909899
25-29 years,2018,4799.031262458938,10437.968737541061,39.9292449274958
25-29 years,2019,4602.756036231558,10399.243963768442,38.3416985050823
25-29 years,2020,5593.465528225889,12481.534471774108,47.10236782519941
25-29 years,2021,5748.72151073159,13280.27848926841,50.52018814502563
25-29 years,2022,5512.777444272926,11698.222555727074,48.558995212548
30-34 years,2000,2459.7303257683893,5758.269674231611,23.830511279300953
30-34 years,2001,2531.2916928505942,5977.708307149405,24.36688480922999
30-34 years,2002,2699.6448457200363,6256.355154279962,25.987827103151808
30-34 years,2003,2681.0606514654273,6254.939348534574,26.084436665437817
30-34 years,2004,2695.5693100737017,5986.430689926297,26.640388123067638
30-34 years,2005,2803.202370191662,6304.797629808338,28.347293799365016
30-34 years,2006,2653.8262446683375,6484.1737553316625,27.434690974267568
30-34 years,2007,2748.8999080898316,6536.100091910169,28.600318808820784
30-34 years,2008,2601.2566293426294,6462.74337065737,26.875467684561585
30-34 years,2009,2781.4304056533915,5957.569594346609,28.25349043865763
30-34 years,2010,2897.9581157138673,6222.041884286132,28.989727561785298
30-34 years,2011,3290.4695578514625,6337.530442148536,32.00021587680005
30-34 years,2012,3322.319890710351,6721.680109289649,31.659516396567216
30-34 years,2013,3382.2957633898927,6945.704236610108,31.66465663974588
30-34 years,2014,3488.753552907668,7348.2464470923305,32.27689922732275
30-34 years,2015,4081.9197322172845,8004.080267782716,37.484091512361175
30-34 years,2016,4680.0759860215685,9437.924013978432,42.66924999272053
30-34 years,2017,5042.699702317754,9986.300297682244,45.47425494673797
30-34 years,2018,4951.600100217952,9621.399899782049,44.24282678220605
30-34 years,2019,5046.518391090483,9917.481608909515,44.44466512800073
30-34 years,2020,6152.596533811335,12855.403466188667,53.18058593594016
30-34 years,2021,6830.929088814773,14364.070911185228,58.51251679598864
30-34 years,2022,6831.961147265057,13839.038852734942,57.71787648426737
35-39 years,2000,3283.9020608417586,6451.0979391582405,29.013077662318686
35-39 years,2001,3505.118799875421,6302.88120012458,31.59356317052177
35-39 years,2002,3467.205268866375,6428.794731133625,31.96237226286075
35-39 years,2003,3386.1042622391665,6125.895737760833,31.93215523942972
35-39 years,2004,3288.9038478684283,5929.096152131573,31.55935147876464
35-39 years,2005,3338.0984340573323,5830.901565942668,32.137169816032475
35-39 years,2006,3494.407903542684,6160.592096457317,33.43359917509482
35-39 years,2007,3402.408970755431,6227.59102924457,32.52453931741694
35-39 years,2008,3253.769817784556,6078.230182215445,31.347574955625262
35-39 years,2009,3106.7224517980612,5770.277548201939,30.411471090301763
35-39 years,2010,3326.3339793758296,5221.666020624171,33.124145509498284
35-39 years,2011,3250.1310601303894,5355.8689398696115,33.296050706000344
35-39 years,2012,3186.6552643011482,5716.344735698852,32.802699029813624
35-39 years,2013,3317.73256437006,5545.26743562994,33.905379242717395
35-39 years,2014,3493.247288318536,5961.7527116814645,35.143912719671995
35-39 years,2015,3831.5535857144105,7056.44641428559,37.66237980167159
35-39 years,2016,4562.756590141268,8242.243409858731,43.97226515737541
35-39 years,2017,4909.987512259783,9005.01248774022,46.250889693794626
35-39 years,2018,4926.667476377228,9052.332523622772,45.65876482598757
35-39 years,2019,5049.010741593243,9549.989258406757,46.385283499407514
