age_cat,male_years_lost,female_years_lost
1-4 years,1049.009384947447,777.9664734651251
10-14 years,676.7397189350183,402.46634622361216
15-19 years,3868.0616394953927,1432.3257380905002
20-24 years,6319.053613383553,1828.131361032337
25-29 years,5881.0589066147,1820.55050205984
30-34 years,5176.337509640922,1810.0223630167654
35-39 years,4602.16040511279,1797.1614732906858
40-44 years,4102.80986131108,1739.5518964741877
45-49 years,3694.8961176707617,1648.1296043428408
5-9 years,440.66386459266926,334.8622102855734
50-54 years,3204.542049580763,1451.4494050102394
55-59 years,2642.9291912289514,1159.8280999178783
60-64 years,2027.9006153867592,885.4349503099942
65-69 years,1612.8417861480127,750.8112021365804
70-74 years,1489.406266687445,773.5424632975678
75-79 years,1636.675193351186,948.2936299823635
80-84 years,1906.0970610663176,1223.5507423076456
< 1 year,3418.0916096618494,2813.139775317392
