Age,Excess YPLL Rate,Excess YPLL Number
1-4 years,271.04291148232187,503297.18902261514
10-14 years,274.2733727114062,673660.4006687406
15-19 years,2435.7359014048925,6120165.525858129
20-24 years,4490.922252351216,11363551.275079096
25-29 years,4060.50840455486,10035083.13663821
30-34 years,3366.315146624156,8181132.237624115
35-39 years,2804.998931822104,6781622.579875189
40-44 years,2363.257964836892,5751723.561513756
45-49 years,2046.7665133279208,4973363.816852403
5-9 years,105.80165430709587,250278.40293919915
50-54 years,1753.0926445705236,4140224.061944284
55-59 years,1483.101091311073,3204923.335591461
60-64 years,1142.4656650767652,2097649.652745779
65-69 years,862.0305840114323,1267321.98687844
70-74 years,715.8638033898771,808925.7398986596
75-79 years,688.3815633688224,561031.827738729
80-84 years,682.546318758672,366299.0477788558
< 1 year,604.9518343444574,279471.91587763454
