age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
1-4 years,299.8996066852353,1.329804346535223,1209.2254231453471,909.3258164601118,143225.98518382516,2000-2005,2
10-14 years,354.915257162391,1.7502983595791328,827.9474218088321,473.0321646464411,230553.14270692808,2000-2005,4
15-19 years,2757.9273352779364,2.5990170478682346,4482.691520221886,1724.7641849439497,1770276.7381849815,2000-2005,5
20-24 years,4706.13220892177,3.8185075595595133,6375.857093270586,1669.7248843488155,2917129.1338095884,2000-2005,6
25-29 years,3643.392382275253,3.6344838008426676,5026.354912206117,1382.9625299308636,2101230.7352575986,2000-2005,7
30-34 years,2672.722655257315,3.013081838068002,4000.3997544766817,1327.6770992193665,1640614.9339916694,2000-2005,8
35-39 years,2277.298703938733,2.562310210864608,3734.9469277690305,1457.6482238302974,1472804.1316024608,2000-2005,9
40-44 years,2087.574745795388,2.4014245451267944,3577.183838953175,1489.609093157787,1414483.4064514253,2000-2005,10
45-49 years,1837.12474729707,2.3963625161204747,3152.775035877695,1315.6502885806249,1160976.2566024081,2000-2005,11
5-9 years,131.02652253001588,1.30477503572116,560.9387763994325,429.91225386941665,79835.50838971892,2000-2005,3
50-54 years,1420.9792607324034,2.3809703334589747,2449.95086591759,1028.9716051851865,790717.153161256,2000-2005,12
55-59 years,1061.8775437844124,2.331139912755513,1859.598003977273,797.7204601928607,476109.51070828055,2000-2005,13
60-64 years,808.1295294862507,2.151708223235818,1509.8085773407022,701.6790478544515,275591.20100523095,2000-2005,14
65-69 years,658.4755024448762,1.9869920702579207,1325.6292945445466,667.1537920996705,180368.76678105738,2000-2005,15
70-74 years,621.542833539036,1.8529530674641317,1350.2380657244494,728.6952321854134,144927.27438821606,2000-2005,16
75-79 years,630.5423428257013,1.7079099860895892,1521.2521155592976,890.7097727335963,117657.76353473424,2000-2005,17
80-84 years,662.4044117562892,1.5882611973632774,1788.4423260796182,1126.037914323329,80016.03516405683,2000-2005,18
< 1 year,424.9304685072966,1.1669173120882537,2970.6847895607325,2545.754321053436,51630.25022755773,2000-2005,1
