Year,Excess YPLL Rate,Excess YPLL Number
2000,1507.290735898127,2032996.7858105495
2001,1545.185005052057,2110424.109898884
2002,1574.5743953461285,2171663.634438549
2003,1574.9750369816054,2190120.266310931
2004,1565.0845735863359,2197326.639649761
2005,1632.4075200922448,2313211.613838046
2006,1669.3322188349048,2388197.6870578225
2007,1666.4047326936754,2405468.596209277
2008,1632.2797782165528,2378513.874357969
2009,1527.4690281997096,2245802.4123527915
2010,1518.9013351209885,2247630.263795939
2011,1547.730961029448,2311583.922320319
2012,1544.482971023695,2324621.336187068
2013,1525.9418980520525,2313222.5206400133
2014,1560.604017894853,2384755.2699015224
2015,1686.325307867117,2597275.9626377686
2016,1870.0610398745166,2895295.861532383
2017,1947.0654953783446,3039628.197996482
2018,1904.6620103131736,2987166.7786788326
2019,1967.6291343336115,3095980.208670697
2020,2284.8019480290504,3608464.6686518895
2021,2347.4936561166505,3765081.622291971
2022,2374.7918265316707,3826189.998696557
