Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2013	1745	7790614	22.3987480319266
1-4 years	F	2014	1658	7790662	21.281888496767
1-4 years	F	2015	1684	7786776	21.6264086702892
1-4 years	F	2016	1789	7800517	22.9343772983252
1-4 years	F	2017	1648	7818747	21.0775460569321
1-4 years	F	2018	1587	7798370	20.3504065593194
1-4 years	F	2019	1635	7719541	21.1800157548227
1-4 years	M	2013	2323	8135691	28.5531984929123
1-4 years	M	2014	2172	8137871	26.6900274039733
1-4 years	M	2015	2281	8142467	28.0136228983182
1-4 years	M	2016	2256	8156375	27.6593462169162
1-4 years	M	2017	2232	8180818	27.2833352361585
1-4 years	M	2018	2243	8163697	27.4752970376044
1-4 years	M	2019	2041	8074090	25.278390505927
10-14 years	F	2013	1219	10097931	12.0717798527243
10-14 years	F	2014	1122	10120287	11.0866421080746
10-14 years	F	2015	1233	10101942	12.2055739381596
10-14 years	F	2016	1249	10099501	12.3669476343435
10-14 years	F	2017	1247	10173382	12.2574774052523
10-14 years	F	2018	1325	10220687	12.9639035027685
10-14 years	F	2019	1268	10180007	12.4557871129165
10-14 years	M	2013	1694	10552523	16.0530330045241
10-14 years	M	2014	1771	10551219	16.7847904588086
10-14 years	M	2015	1776	10520388	16.8815066516558
10-14 years	M	2016	1764	10518732	16.7700821734027
10-14 years	M	2017	1970	10605072	18.5760172113872
10-14 years	M	2018	1795	10658840	16.8404817034499
10-14 years	M	2019	1896	10618261	17.8560312277123
15-19 years	F	2013	2721	10312774	26.3847535105491
15-19 years	F	2014	2758	10283624	26.8193391745945
15-19 years	F	2015	2999	10311036	29.0853411820112
15-19 years	F	2016	3099	10328153	30.0053649476339
15-19 years	F	2017	3037	10331169	29.3964797207363
15-19 years	F	2018	3000	10322313	29.0632535556711
15-19 years	F	2019	2897	10308963	28.1017596047245
15-19 years	M	2013	6759	10846190	62.3168135538839
15-19 years	M	2014	6828	10784023	63.3158886994214
15-19 years	M	2015	7187	10797867	66.559441786049
15-19 years	M	2016	7713	10801846	71.4044617929195
15-19 years	M	2017	7849	10800491	72.6726220132029
15-19 years	M	2018	7380	10774908	68.4924641583947
15-19 years	M	2019	7361	10745607	68.5024121950486
20-24 years	F	2013	4901	11116473	44.0877245867462
20-24 years	F	2014	4916	11172747	43.999922310959
20-24 years	F	2015	5149	11071459	46.5069689550402
20-24 years	F	2016	5463	10889963	50.1654596989907
20-24 years	F	2017	5485	10769493	50.9309026896624
20-24 years	F	2018	5146	10672032	48.2194955937164
20-24 years	F	2019	5126	10568188	48.5040576492394
20-24 years	M	2013	14105	11678965	120.772688333256
20-24 years	M	2014	14289	11739427	121.718036152872
20-24 years	M	2015	15159	11667854	129.921063462056
20-24 years	M	2016	16300	11491065	141.849341205537
20-24 years	M	2017	15654	11349142	137.931131710221
20-24 years	M	2018	14628	11201547	130.589105236982
20-24 years	M	2019	14387	11064752	130.025508027654
25-29 years	F	2013	6033	10620319	56.8062032788281
25-29 years	F	2014	6306	10826549	58.245706919167
25-29 years	F	2015	6725	11052155	60.8478617970884
25-29 years	F	2016	7542	11259410	66.983971629064
25-29 years	F	2017	7891	11468230	68.8074794453896
25-29 years	F	2018	7832	11542918	67.8511274185609
25-29 years	F	2019	7527	11504446	65.4268793125718
25-29 years	M	2013	15023	10959879	137.072681185623
25-29 years	M	2014	15619	11161389	139.937780145464
25-29 years	M	2015	17173	11409399	150.51625418657
25-29 years	M	2016	19511	11631474	167.743142442652
25-29 years	M	2017	20385	11902230	171.270425794158
25-29 years	M	2018	19629	12018838	163.318616991093
25-29 years	M	2019	19442	12004570	161.954988808429
30-34 years	F	2013	7968	10582777	75.2921468533259
30-34 years	F	2014	8174	10719741	76.2518422786521
30-34 years	F	2015	9011	10785909	83.5441871426877
30-34 years	F	2016	9817	10818095	90.7461064078287
30-34 years	F	2017	10175	10883081	93.4937450157726
30-34 years	F	2018	10148	10944147	92.725362698436
30-34 years	F	2019	10300	11076695	92.9880257603915
30-34 years	M	2013	16439	10681612	153.899991873886
30-34 years	M	2014	17078	10808825	158.000522721017
30-34 years	M	2015	18608	10889739	170.876455349389
30-34 years	M	2016	20746	10968264	189.145702546912
30-34 years	M	2017	21764	11089131	196.264251905763
30-34 years	M	2018	21235	11191871	189.735925297924
30-34 years	M	2019	21909	11354610	192.952466002795
35-39 years	F	2013	10277	9818501	104.669745412258
35-39 years	F	2014	10825	9981814	108.447222118144
35-39 years	F	2015	11227	10201161	110.056100477191
35-39 years	F	2016	12468	10397463	119.913867450165
35-39 years	F	2017	12796	10616012	120.534905197922
35-39 years	F	2018	13094	10773397	121.540123324147
35-39 years	F	2019	13397	10852580	123.445300564474
35-39 years	M	2013	17544	9785269	179.289910170073
35-39 years	M	2014	18500	9939836	186.119770990185
35-39 years	M	2015	20190	10173424	198.458257514874
35-39 years	M	2016	22809	10376442	219.815231463733
35-39 years	M	2017	24105	10615985	227.063244720108
35-39 years	M	2018	24523	10790190	227.271252869505
35-39 years	M	2019	25241	10884941	231.889176064436
40-44 years	F	2013	16224	10488928	154.677389338548
40-44 years	F	2014	16478	10372090	158.868656172478
40-44 years	F	2015	16191	10185045	158.968369801017
40-44 years	F	2016	16109	9919930	162.390258802229
40-44 years	F	2017	16208	9890258	163.878434718285
40-44 years	F	2018	15910	9916891	160.433345491042
40-44 years	F	2019	16153	10014484	161.296378325633
40-44 years	M	2013	25528	10359992	246.409456686839
40-44 years	M	2014	25193	10219393	246.521491051377
40-44 years	M	2015	25480	10030153	254.03401124589
40-44 years	M	2016	26406	9776321	270.101605706277
40-44 years	M	2017	26687	9753115	273.625400705313
40-44 years	M	2018	26853	9797410	274.082640207973
40-44 years	M	2019	28195	9907139	284.59275679891
45-49 years	F	2013	26302	10710188	245.579255938364
45-49 years	F	2014	25735	10540579	244.151673261972
45-49 years	F	2015	25570	10518915	243.085907624503
45-49 years	F	2016	25816	10571668	244.199874608245
45-49 years	F	2017	25475	10587683	240.60977269531
45-49 years	F	2018	24904	10483140	237.562409736014
45-49 years	F	2019	24381	10312396	236.424202484078
45-49 years	M	2013	40531	10498118	386.078723824594
45-49 years	M	2014	39281	10347463	379.619622703652
45-49 years	M	2015	38807	10334929	375.493629419225
45-49 years	M	2016	39769	10375955	383.280382384079
45-49 years	M	2017	40223	10386175	387.274429710649
45-49 years	M	2018	39969	10263995	389.40977660258
45-49 years	M	2019	39358	10085355	390.249029409475
5-9 years	F	2013	1044	10061607	10.3760761079219
5-9 years	F	2014	1000	10041137	9.95903153198687
5-9 years	F	2015	1025	10028044	10.2213352873202
5-9 years	F	2016	1113	9999876	11.1301380137114
5-9 years	F	2017	1055	9936097	10.617851254874
5-9 years	F	2018	1044	9879652	10.5671738235314
5-9 years	F	2019	1043	9873133	10.5640225853333
5-9 years	M	2013	1383	10508974	13.1601810033977
5-9 years	M	2014	1357	10478429	12.9504146089075
