Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	102	7508434	1.35847235255714
1-4 years	F	2001	98	7468536	1.3121714884952
1-4 years	F	2002	71	7564711	0.938568571885958
1-4 years	F	2003	82	7636693	1.07376321137959
1-4 years	F	2004	93	7713175	1.20572915822602
1-4 years	F	2005	78	7785123	1.00191095246665
1-4 years	F	2006	83	7775092	1.06751148410848
1-4 years	F	2007	77	7813088	0.985525825384278
1-4 years	F	2008	88	7891294	1.11515297744578
1-4 years	F	2009	73	7943260	0.919018136130506
1-4 years	F	2010	75	7952058	0.94315207459503
1-4 years	F	2011	79	7909731	0.998769743244113
1-4 years	F	2012	85	7856870	1.08185575171792
1-4 years	F	2013	76	7790614	0.975532865573882
1-4 years	F	2014	83	7790662	1.06537801280559
1-4 years	F	2015	87	7786776	1.11727883272872
1-4 years	F	2016	96	7800517	1.23068765826675
1-4 years	F	2017	59	7818747	0.754596612475119
1-4 years	F	2018	85	7798370	1.08997136581106
1-4 years	F	2019	107	7719541	1.38609277416883
1-4 years	F	2020	60	7613266	0.788098038345173
1-4 years	F	2021	72	7459995	0.965148099965214
1-4 years	F	2022	110	7263012	1.51452317578437
1-4 years	M	2000	120	7861716	1.52638431609588
1-4 years	M	2001	127	7817023	1.6246594131807
1-4 years	M	2002	99	7913020	1.2511026131616
1-4 years	M	2003	115	7979882	1.44112406674685
1-4 years	M	2004	94	8058452	1.16647713481448
1-4 years	M	2005	102	8127884	1.25493916989957
1-4 years	M	2006	103	8122053	1.26815227627793
1-4 years	M	2007	90	8164877	1.10228237363527
1-4 years	M	2008	94	8247098	1.13979487087458
1-4 years	M	2009	98	8297671	1.18105429824827
1-4 years	M	2010	88	8305151	1.05958338385419
1-4 years	M	2011	71	8255790	0.860002495218507
1-4 years	M	2012	102	8199397	1.24399391808934
1-4 years	M	2013	81	8135691	0.995613033975848
1-4 years	M	2014	73	8137871	0.897040515879399
1-4 years	M	2015	84	8142467	1.03162837503671
1-4 years	M	2016	101	8156375	1.23829519854102
1-4 years	M	2017	92	8180818	1.12458191833628
1-4 years	M	2018	89	8163697	1.09019234790316
1-4 years	M	2019	107	8074090	1.32522674381881
1-4 years	M	2020	75	7953016	0.943038464904383
1-4 years	M	2021	89	7802850	1.14060888008869
1-4 years	M	2022	119	7592228	1.56739233858625
10-14 years	F	2000	50	10007875	0.499606559834131
10-14 years	F	2001	49	10231469	0.478914611381806
10-14 years	F	2002	66	10371422	0.636364039569502
10-14 years	F	2003	48	10444875	0.459555523641978
10-14 years	F	2004	41	10443706	0.39258094779765
10-14 years	F	2005	44	10348382	0.425187241831622
10-14 years	F	2006	45	10261944	0.438513404477748
10-14 years	F	2007	34	10170082	0.334313921952645
10-14 years	F	2008	31	10108474	0.306673391057839
10-14 years	F	2009	44	10088732	0.436130130129336
10-14 years	F	2010	28	10097332	0.277300974158322
10-14 years	F	2011	31	10117822	0.306390051139465
10-14 years	F	2012	24	10102004	0.237576623410563
10-14 years	F	2013	20	10097931	0.198060374942154
10-14 years	F	2014	30	10120287	0.296434280964562
10-14 years	F	2015	33	10101942	0.326669862091863
10-14 years	F	2016	33	10099501	0.326748816599949
10-14 years	F	2017	25	10173382	0.245739322478995
10-14 years	F	2018	27	10220687	0.264170109113018
10-14 years	F	2019	31	10180007	0.304518454653322
10-14 years	F	2020	16	10159455	0.157488762930689
10-14 years	F	2021	34	10459561	0.325061443783348
10-14 years	F	2022	35	10187986	0.343541893363418
10-14 years	M	2000	48	10520197	0.456265220128482
10-14 years	M	2001	61	10747209	0.567589222466968
10-14 years	M	2002	69	10889999	0.63360887360963
10-14 years	M	2003	48	10970478	0.437537908557859
10-14 years	M	2004	40	10967974	0.36469816576881
10-14 years	M	2005	54	10864197	0.497045478832904
10-14 years	M	2006	53	10771194	0.492053155852545
10-14 years	M	2007	47	10670960	0.440447719792783
10-14 years	M	2008	35	10598181	0.330245350593654
10-14 years	M	2009	27	10571832	0.255395658954853
10-14 years	M	2010	37	10579862	0.349721007703125
10-14 years	M	2011	38	10587030	0.358929747058429
10-14 years	M	2012	35	10567214	0.331213127698559
10-14 years	M	2013	28	10552523	0.265339388504531
10-14 years	M	2014	41	10551219	0.388580693851583
10-14 years	M	2015	41	10520388	0.389719466620433
10-14 years	M	2016	34	10518732	0.323232876358101
10-14 years	M	2017	28	10605072	0.264024610111086
10-14 years	M	2018	32	10658840	0.300220286635319
10-14 years	M	2019	37	10618261	0.348456305604091
10-14 years	M	2020	30	10594968	0.283153285597465
10-14 years	M	2021	40	10988223	0.364026103219784
10-14 years	M	2022	37	10701853	0.345734519059456
15-19 years	F	2000	64	9828886	0.651141950369554
15-19 years	F	2001	91	9908897	0.918366595192179
15-19 years	F	2002	89	9981879	0.891615696804179
15-19 years	F	2003	75	10086567	0.743563196477057
15-19 years	F	2004	69	10242793	0.673644385862333
15-19 years	F	2005	82	10434789	0.785832852010711
15-19 years	F	2006	71	10597293	0.669982419095141
