Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	469	22336273	2.09972361996113
1-4 years	M	495	23348094	2.12008740413671
10-14 years	F	621	30807002	2.01577550454277
10-14 years	M	772	32285044	2.391200086331
15-19 years	F	761	31361771	2.42652112981757
15-19 years	M	1124	32799616	3.42686938773917
20-24 years	F	926	32216459	2.87430719806916
20-24 years	M	1461	33608072	4.34716992989065
25-29 years	F	1853	33209958	5.57965174180588
25-29 years	M	2116	34606926	6.11438299951865
30-34 years	F	3845	34168790	11.2529592063401
30-34 years	M	3378	35080377	9.62931498712229
35-39 years	F	7217	32891850	21.941605595307
35-39 years	M	5378	33503721	16.0519483791069
40-44 years	F	11941	31319891	38.1259308980354
40-44 years	M	9312	31519949	29.5431950096112
45-49 years	F	19529	29782564	65.5719232232658
45-49 years	M	16532	29593650	55.863335546646
5-9 years	F	547	29583597	1.84899760499036
5-9 years	M	643	30954857	2.07721844749598
50-54 years	F	34349	31187369	110.137536770094
50-54 years	M	32650	30922631	105.58609970801
55-59 years	F	59504	32621517	182.407213006066
55-59 years	M	65090	31515910	206.530606287428
60-64 years	F	92557	32546006	284.388198048019
60-64 years	M	110664	30608745	361.543735295256
65-69 years	F	113263	28886944	392.090627516708
65-69 years	M	140740	26012465	541.048301266335
70-74 years	F	130163	24153717	538.894282813697
70-74 years	M	159396	20950833	760.809844649136
75-79 years	F	127551	16896822	754.881598444962
75-79 years	M	149826	13855780	1081.32490556288
80-84 years	F	112084	11154711	1004.8131233521
80-84 years	M	125214	8270854	1513.91863524613
< 1 year	F	126	5370106	2.34632240033996
< 1 year	M	117	5612510	2.08462880244311
