Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2006	206	7775092	2.64948633405238
1-4 years	F	2007	204	7813088	2.61100348543367
1-4 years	F	2008	201	7891294	2.54711077802956
1-4 years	F	2009	193	7943260	2.42973288045462
1-4 years	F	2010	176	7952058	2.21326353504967
1-4 years	F	2011	189	7909731	2.38946179079921
1-4 years	F	2012	209	7856870	2.66009237775348
1-4 years	M	2006	231	8122053	2.84410850310876
1-4 years	M	2007	219	8164877	2.68222044251248
1-4 years	M	2008	239	8247098	2.89798908658537
1-4 years	M	2009	210	8297671	2.53083063910343
1-4 years	M	2010	229	8305151	2.7573249420751
1-4 years	M	2011	209	8255790	2.53155664085448
1-4 years	M	2012	238	8199397	2.9026524755418
10-14 years	F	2006	220	10261944	2.1438433107801
10-14 years	F	2007	252	10170082	2.47785612741372
10-14 years	F	2008	220	10108474	2.17639180750725
10-14 years	F	2009	213	10088732	2.11126631176247
10-14 years	F	2010	261	10097332	2.58484122340436
10-14 years	F	2011	192	10117822	1.89764160705733
10-14 years	F	2012	228	10102004	2.25697792240035
10-14 years	M	2006	266	10771194	2.46954980107126
10-14 years	M	2007	270	10670960	2.53023158178833
10-14 years	M	2008	242	10598181	2.28341070981898
10-14 years	M	2009	251	10571832	2.37423371843215
10-14 years	M	2010	261	10579862	2.4669508921761
10-14 years	M	2011	257	10587030	2.42749855247411
10-14 years	M	2012	284	10567214	2.68755795046831
15-19 years	F	2006	288	10597293	2.71767516478029
15-19 years	F	2007	294	10731326	2.73964279903527
15-19 years	F	2008	289	10805148	2.674651008945
15-19 years	F	2009	285	10804571	2.63777247611219
15-19 years	F	2010	257	10736677	2.3936642594352
15-19 years	F	2011	276	10525097	2.62230362342504
15-19 years	F	2012	263	10397841	2.52937124158756
15-19 years	M	2006	442	11210416	3.94276180295183
15-19 years	M	2007	411	11336490	3.62546079077386
15-19 years	M	2008	448	11405732	3.92784961105521
15-19 years	M	2009	395	11388239	3.46849060684448
15-19 years	M	2010	390	11303666	3.45020810062859
15-19 years	M	2011	407	11118946	3.66041889222234
15-19 years	M	2012	395	10962861	3.60307405156373
20-24 years	F	2006	398	10238784	3.88718035266688
20-24 years	F	2007	410	10270163	3.99214696008233
20-24 years	F	2008	389	10339566	3.76224688734517
20-24 years	F	2009	383	10459413	3.66177337102952
20-24 years	F	2010	385	10571823	3.6417560150222
20-24 years	F	2011	423	10841132	3.90180656411157
20-24 years	F	2012	420	11033747	3.80650381053689
20-24 years	M	2006	616	10797351	5.70510303869903
20-24 years	M	2007	619	10807836	5.7273259882922
20-24 years	M	2008	632	10841046	5.82969576920899
20-24 years	M	2009	645	10924709	5.90404742130889
20-24 years	M	2010	665	11014176	6.03767363078273
20-24 years	M	2011	604	11312700	5.33913212584087
20-24 years	M	2012	578	11549456	5.0045647171607
25-29 years	F	2006	687	10014422	6.86010635461537
25-29 years	F	2007	626	10229259	6.11970036148268
25-29 years	F	2008	678	10393532	6.52328775242141
25-29 years	F	2009	684	10466871	6.5349042708179
25-29 years	F	2010	675	10466258	6.44929639609496
25-29 years	F	2011	639	10518279	6.07513833774518
25-29 years	F	2012	660	10553440	6.25388498915993
25-29 years	M	2006	773	10095589	7.65680932534001
25-29 years	M	2007	762	10313439	7.38841816003372
25-29 years	M	2008	813	10509136	7.7361259764837
25-29 years	M	2009	804	10611357	7.57678777558799
25-29 years	M	2010	815	10635591	7.66294980692657
25-29 years	M	2011	748	10761515	6.95069420987658
25-29 years	M	2012	785	10844886	7.2384347793052
30-34 years	F	2006	1275	9611918	13.2647823254422
30-34 years	F	2007	1194	9559334	12.4904098967564
30-34 years	F	2008	1143	9625879	11.8742402641878
30-34 years	F	2009	1226	9800559	12.509490530081
30-34 years	F	2010	1219	9965599	12.2320795769527
