Gender	Year	AA_rate	Deaths	Population	Crude Rate
F	2000	150.018399991518	227855	140355754	162.341046595069
F	2001	147.590872498779	227591	142026033	160.245974060263
F	2002	146.004927753057	228495	143317188	159.433075117271
F	2003	143.777578169925	228291	144551061	157.931044172689
F	2004	140.845856424461	226672	145810702	155.456353265483
F	2005	139.225527286321	227095	147070066	154.412795327093
F	2006	137.657353779751	227270	148385108	153.162270165278
F	2007	135.249623618786	226761	149720044	151.456674698813
F	2008	132.442644603231	225712	151070989	149.407905180259
F	2009	130.621377449785	225924	152332121	148.310151868758
F	2010	129.545616869694	227148	153260458	148.210440556037
F	2011	126.979251212809	227089	154457950	147.023186569549
F	2012	125.462217561755	228936	155498676	147.226977032267
F	2013	123.154351915713	229286	156478230	146.529009179104
F	2014	121.801197549619	231796	157867207	146.829733929479
F	2015	119.660904347173	232704	159076660	146.284187762051
F	2016	118.015660032863	233987	159893102	146.33964634697
F	2017	115.212704773254	234478	161122046	145.528191716235
F	2018	112.737950001509	234814	161819945	145.108194172233
F	2019	109.966085629735	234275	162353729	144.299118623878
F	2020	108.899028228709	236984	162984194	145.403056691497
F	2021	109.664777715105	238850	163709190	145.898956558273
F	2022	108.203557393963	241472	163801963	147.417036754315
M	2000	215.444598622872	258034	136826565	188.584724026361
M	2001	210.939450406952	258451	138630428	186.431654095449
M	2002	207.3981943865	259273	139939197	185.275466458479
M	2003	202.666516379931	258321	141090696	183.088614149299
M	2004	197.589342010037	256667	142448713	180.182042079945
M	2005	195.238214548402	258554	143753234	179.859605801981
M	2006	190.841187146339	257526	145128875	177.446424772465
M	2007	187.454374625609	258445	146471618	176.44715305869
M	2008	184.387221700932	260220	147827137	176.029926088604
M	2009	180.511864404703	260435	149072107	174.704044399131
M	2010	178.807932648614	262783	149991647	175.198422882842
M	2011	174.336154725906	263485	151396794	174.03604993115
M	2012	171.431271372233	266092	152528034	174.45448749441
M	2013	167.387688477467	266920	153609820	173.764932476322
M	2014	164.885794190459	269925	154827618	174.339051059999
M	2015	161.71241758869	271753	156054999	174.139246894616
M	2016	157.758773001797	271212	156854080	172.907201393805
M	2017	153.632284096792	271612	158128450	171.766687145798
M	2018	149.572825870501	271673	158802986	171.075498542578
M	2019	146.121675718243	272015	159280836	170.776979096217
M	2020	143.811212441199	273915	159841509	171.366625423938
M	2021	142.001050950085	275068	162208799	169.576497511704
M	2022	139.135820870321	275925	162999726	169.279425659893
