Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	202	45676672	0.442238874145647
1-4 years	M	247	47757977	0.517191086213723
10-14 years	F	115	61847729	0.185940537929857
10-14 years	M	155	64960054	0.238608176033844
15-19 years	F	191	60483811	0.315786979758931
15-19 years	M	223	64188665	0.347413363403025
20-24 years	F	295	59376552	0.496829118672974
20-24 years	M	333	61985703	0.537220655543747
25-29 years	F	357	56633003	0.630374483231977
25-29 years	M	406	57672370	0.703976618266251
30-34 years	F	523	60792859	0.860298411035415
30-34 years	M	590	61383658	0.961167873051815
35-39 years	F	751	64957965	1.15613227723498
35-39 years	M	812	64673296	1.25554139068465
40-44 years	F	1165	68912428	1.69055137630617
40-44 years	M	1104	67757258	1.62934574477615
45-49 years	F	1324	65053497	2.03524800519179
45-49 years	M	1345	63195287	2.12832327195539
5-9 years	F	107	58128639	0.184074497254271
5-9 years	M	121	60930800	0.19858593683326
50-54 years	F	1479	58107486	2.54528306387236
50-54 years	M	1372	55645932	2.46558903892561
55-59 years	F	1464	47669658	3.07113594144099
55-59 years	M	1360	44836574	3.0332379989604
60-64 years	F	1569	37430470	4.19177210438448
60-64 years	M	1427	34102355	4.18446174758312
65-69 years	F	1875	31525239	5.94761549626951
65-69 years	M	1626	27391872	5.93606745825915
70-74 years	F	2465	28979391	8.50604486477994
70-74 years	M	2171	23317343	9.31066631391064
75-79 years	F	3530	26104765	13.5224354634106
75-79 years	M	2681	18659772	14.367806852088
80-84 years	F	4500	19836633	22.6853014823635
80-84 years	M	3141	12079635	26.00244129893
< 1 year	F	224	11614007	1.9287055707819
< 1 year	M	327	12150282	2.69129556005367
