Age_groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	42	7508434	0.559370968699998
1-4 years	F	2001	26	7468536	0.348127129600768
1-4 years	F	2002	37	7564711	0.489113199433528
1-4 years	F	2003	34	7636693	0.445218892523243
1-4 years	F	2004	30	7713175	0.38894488975033
1-4 years	F	2005	33	7785123	0.423885402966658
1-4 years	F	2006	24	7775092	0.308678019501248
1-4 years	F	2007	38	7813088	0.486363394345488
1-4 years	F	2008	40	7891294	0.506887717020808
1-4 years	F	2009	30	7943260	0.37767868608103
1-4 years	F	2010	28	7952058	0.352110107848811
1-4 years	F	2011	24	7909731	0.303423719466566
1-4 years	F	2012	27	7856870	0.343648297604517
1-4 years	F	2013	24	7790614	0.308063010181226
1-4 years	F	2014	24	7790662	0.308061112136555
1-4 years	F	2015	32	7786776	0.41095313387723
1-4 years	F	2016	37	7800517	0.474327534956978
1-4 years	F	2017	28	7818747	0.358113646598362
1-4 years	F	2018	28	7798370	0.359049391090702
1-4 years	F	2019	28	7719541	0.362715866137637
1-4 years	F	2020	14	7613266	0.18388954228054
1-4 years	F	2021	19	7459995	0.254691859713043
1-4 years	F	2022	19	7263012	0.261599457635482
1-4 years	M	2000	40	7861716	0.508794772031958
1-4 years	M	2001	47	7817023	0.601251908814903
1-4 years	M	2002	40	7913020	0.505496005317818
1-4 years	M	2003	39	7979882	0.488729031331541
1-4 years	M	2004	38	8058452	0.471554586414363
1-4 years	M	2005	43	8127884	0.529042983389035
1-4 years	M	2006	49	8122053	0.603295743083676
1-4 years	M	2007	34	8164877	0.416417785595545
1-4 years	M	2008	51	8247098	0.618399344836208
1-4 years	M	2009	42	8297671	0.506166127820686
1-4 years	M	2010	43	8305151	0.517750971656024
1-4 years	M	2011	30	8255790	0.36338133600782
1-4 years	M	2012	27	8199397	0.329292507729532
1-4 years	M	2013	29	8135691	0.35645404920123
1-4 years	M	2014	28	8137871	0.344070334857852
1-4 years	M	2015	32	8142467	0.393001285728269
1-4 years	M	2016	37	8156375	0.453632894515027
1-4 years	M	2017	31	8180818	0.378935211613313
1-4 years	M	2018	30	8163697	0.367480566708931
1-4 years	M	2019	37	8074090	0.458255976834541
1-4 years	M	2020	21	7953016	0.264050770173227
1-4 years	M	2021	21	7802850	0.269132432380476
1-4 years	M	2022	33	7592228	0.434655018263414
10-14 years	F	2000	23	10007875	0.2298190175237
10-14 years	F	2001	18	10231469	0.17592781642597
10-14 years	F	2002	16	10371422	0.154270070198667
10-14 years	F	2003	26	10444875	0.248925908639404
10-14 years	F	2004	20	10443706	0.191502901364707
10-14 years	F	2005	12	10348382	0.11596015686317
10-14 years	F	2006	18	10261944	0.175405361791099
10-14 years	F	2007	11	10170082	0.108160386514091
10-14 years	F	2008	15	10108474	0.148390350511858
10-14 years	F	2009	24	10088732	0.237889161888729
10-14 years	F	2010	20	10097332	0.198072124398802
10-14 years	F	2011	17	10117822	0.168020350624868
10-14 years	F	2012	18	10102004	0.178182467557922
10-14 years	F	2013	14	10097931	0.138642262459508
10-14 years	F	2014	22	10120287	0.217385139374012
10-14 years	F	2015	15	10101942	0.148486300950847
10-14 years	F	2016	15	10099501	0.148522189363613
10-14 years	F	2017	20	10173382	0.196591457983196
10-14 years	F	2018	16	10220687	0.156545249844751
