Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	458	45676672	1.00270002157775
1-4 years	M	517	47757977	1.0825416662854
10-14 years	F	337	61847729	0.544886619846624
10-14 years	M	436	64960054	0.671181708069393
15-19 years	F	551	60483811	0.910987569880476
15-19 years	M	629	64188665	0.979923791840818
20-24 years	F	924	59376552	1.55616984967399
20-24 years	M	1067	61985703	1.72136468307861
25-29 years	F	1234	56633003	2.17894149105955
25-29 years	M	1524	57672370	2.6425132173344
30-34 years	F	1801	60792859	2.96251900243744
30-34 years	M	2560	61383658	4.17049111019092
35-39 years	F	3025	64957965	4.65685770790387
35-39 years	M	4036	64673296	6.24059735566902
40-44 years	F	4721	68912428	6.85072364595832
40-44 years	M	7151	67757258	10.5538509247231
45-49 years	F	7401	65053497	11.3767903976015
45-49 years	M	10830	63195287	17.1373539295739
5-9 years	F	236	58128639	0.405996087401943
5-9 years	M	306	60930800	0.502209063396509
50-54 years	F	11332	58107486	19.5017901824216
50-54 years	M	15675	55645932	28.1691750620692
55-59 years	F	15192	47669658	31.8693287038057
55-59 years	M	20135	44836574	44.9075346390204
60-64 years	F	18888	37430470	50.4615624650185
60-64 years	M	23574	34102355	69.1271907761209
65-69 years	F	24801	31525239	78.6702996922561
65-69 years	M	27810	27391872	101.526467413399
70-74 years	F	34200	28979391	118.014902383559
70-74 years	M	34354	23317343	147.332395462039
75-79 years	F	46199	26104765	176.975352967169
75-79 years	M	40041	18659772	214.584615503341
80-84 years	F	53001	19836633	267.187480859277
80-84 years	M	38037	12079635	314.885342148169
< 1 year	F	649	11614007	5.58807997963149
< 1 year	M	876	12150282	7.20970920674928
