Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	73	7508434	0.972240017026187
1-4 years	F	2001	91	7468536	1.21844495360269
1-4 years	F	2002	79	7564711	1.04432277716888
1-4 years	F	2003	81	7636693	1.06066853807008
1-4 years	F	2004	66	7713175	0.855678757450726
1-4 years	F	2005	68	7785123	0.873460830355538
1-4 years	M	2000	87	7861716	1.10662862916951
1-4 years	M	2001	92	7817023	1.17691863002066
1-4 years	M	2002	66	7913020	0.8340684087744
1-4 years	M	2003	109	7979882	1.36593498500354
1-4 years	M	2004	78	8058452	0.967927835271588
1-4 years	M	2005	85	8127884	1.04578264158298
10-14 years	F	2000	56	10007875	0.559559347014226
10-14 years	F	2001	52	10231469	0.508235914119468
10-14 years	F	2002	55	10371422	0.530303366307918
10-14 years	F	2003	51	10444875	0.488277743869601
10-14 years	F	2004	56	10443706	0.53620812382118
10-14 years	F	2005	67	10348382	0.647444209152697
10-14 years	M	2000	78	10520197	0.741430982708784
10-14 years	M	2001	72	10747209	0.669941377338061
10-14 years	M	2002	74	10889999	0.679522560103082
10-14 years	M	2003	68	10970478	0.619845370456966
10-14 years	M	2004	69	10967974	0.629104335951198
10-14 years	M	2005	75	10864197	0.690340942823478
15-19 years	F	2000	97	9828886	0.986887018528855
15-19 years	F	2001	94	9908897	0.948642417011702
15-19 years	F	2002	90	9981879	0.901633850700855
15-19 years	F	2003	94	10086567	0.931932539584578
15-19 years	F	2004	82	10242793	0.800562893343642
15-19 years	F	2005	94	10434789	0.900832781573255
15-19 years	M	2000	107	10391004	1.0297368762441
15-19 years	M	2001	101	10547387	0.957583143578594
15-19 years	M	2002	98	10628491	0.922049988093324
15-19 years	M	2003	113	10710599	1.05502969535131
15-19 years	M	2004	95	10859759	0.874789210331463
15-19 years	M	2005	115	11051425	1.04058978819474
20-24 years	F	2000	134	9276187	1.44455906289944
20-24 years	F	2001	150	9676950	1.55007517864616
20-24 years	F	2002	156	9916245	1.57317613673321
20-24 years	F	2003	153	10093723	1.51579352831458
20-24 years	F	2004	162	10190641	1.58969391621194
20-24 years	F	2005	169	10222806	1.65316645938503
20-24 years	M	2000	169	9687814	1.74445958603251
20-24 years	M	2001	153	10080336	1.5178065493055
20-24 years	M	2002	193	10327520	1.86879328241436
20-24 years	M	2003	179	10497965	1.70509236790178
20-24 years	M	2004	181	10654919	1.69874590318331
20-24 years	M	2005	192	10737149	1.78818418185312
25-29 years	F	2000	190	9582576	1.98276538584197
25-29 years	F	2001	201	9303113	2.16056711339527
25-29 years	F	2002	213	9248586	2.30305475885719
25-29 years	F	2003	229	9307104	2.46048609750144
25-29 years	F	2004	194	9479080	2.04661211847563
25-29 years	F	2005	207	9712544	2.1312644761249
25-29 years	M	2000	257	9798760	2.62278084165752
25-29 years	M	2001	229	9516234	2.4064141339946
25-29 years	M	2002	264	9442754	2.79579453197658
25-29 years	M	2003	274	9464481	2.89503460358788
25-29 years	M	2004	244	9627975	2.5342816116577
25-29 years	M	2005	256	9822166	2.60634976032781
30-34 years	F	2000	274	10188619	2.68927516084368
30-34 years	F	2001	284	10263930	2.76697132579821
30-34 years	F	2002	302	10270193	2.94054843954734
30-34 years	F	2003	295	10193818	2.89391079966309
30-34 years	F	2004	337	10041145	3.35619095232665
30-34 years	F	2005	309	9835154	3.14179117073307
30-34 years	M	2000	424	10321769	4.10782299041957
30-34 years	M	2001	377	10388245	3.62910193203953
30-34 years	M	2002	465	10388113	4.47627013683813
30-34 years	M	2003	450	10278392	4.37811673265624
30-34 years	M	2004	408	10118356	4.03227559892141
30-34 years	M	2005	436	9888783	4.40903597540769
35-39 years	F	2000	491	11387968	4.31156813928525
35-39 years	F	2001	505	11141510	4.53259926167997
35-39 years	F	2002	522	10903446	4.7874772801186
35-39 years	F	2003	523	10660101	4.90614488549405
35-39 years	F	2004	476	10453320	4.55357723670566
35-39 years	F	2005	508	10411620	4.87916385730559
35-39 years	M	2000	629	11318696	5.55717725787494
35-39 years	M	2001	679	11094408	6.12020037481946
35-39 years	M	2002	695	10847772	6.40684557160678
35-39 years	M	2003	646	10604058	6.09200741829213
35-39 years	M	2004	679	10421329	6.51548377371063
35-39 years	M	2005	708	10387033	6.81619091804175
40-44 years	F	2000	790	11312761	6.98326429772537
40-44 years	F	2001	743	11500919	6.46035329872335
40-44 years	F	2002	816	11536009	7.07350349674658
40-44 years	F	2003	798	11546602	6.9111241558339
40-44 years	F	2004	800	11562414	6.91897038109862
40-44 years	F	2005	774	11453723	6.75762806556436
40-44 years	M	2000	1091	11129102	9.80312697286807
40-44 years	M	2001	1076	11314915	9.50957210018811
40-44 years	M	2002	1303	11353422	11.4767160068568
40-44 years	M	2003	1231	11343445	10.8520824141167
40-44 years	M	2004	1175	11363212	10.3403861513804
40-44 years	M	2005	1275	11253162	11.3301488061755
45-49 years	F	2000	1095	10202898	10.7322448974791
45-49 years	F	2001	1187	10505949	11.2983605764696
45-49 years	F	2002	1267	10785791	11.7469363164927
45-49 years	F	2003	1332	11017265	12.0901149241668
45-49 years	F	2004	1307	11184506	11.6858089217351
45-49 years	F	2005	1213	11357088	10.6805547337487
45-49 years	M	2000	1580	9889506	15.9765310825435
45-49 years	M	2001	1716	10193034	16.8350267447357
45-49 years	M	2002	1709	10466497	16.3282901624106
45-49 years	M	2003	1887	10705411	17.6266002304816
45-49 years	M	2004	1921	10880756	17.6550232355178
45-49 years	M	2005	2017	11060083	18.236752834495
5-9 years	F	2000	35	10026228	0.349084421379606
5-9 years	F	2001	49	9844298	0.497750068110494
5-9 years	F	2002	33	9699735	0.340215480113632
5-9 years	F	2003	32	9581247	0.333985753628938
5-9 years	F	2004	48	9503231	0.505091373660179
5-9 years	F	2005	39	9473900	0.411657290028394
5-9 years	M	2000	42	10523277	0.399115218576875
5-9 years	M	2001	45	10329064	0.435663870414589
5-9 years	M	2002	58	10172682	0.570154458774982
5-9 years	M	2003	59	10039604	0.587672581508195
5-9 years	M	2004	47	9951006	0.472314055483436
5-9 years	M	2005	55	9915167	0.554705735163109
50-54 years	F	2000	1745	8977824	19.4367811175626
50-54 years	F	2001	1874	9541132	19.6412752700623
50-54 years	F	2002	1898	9571812	19.8290564001884
50-54 years	F	2003	1958	9759654	20.0621866307965
50-54 years	F	2004	1851	9999623	18.5106978533091
50-54 years	F	2005	2006	10257441	19.5565346171623
50-54 years	M	2000	2276	8607724	26.4413682408962
50-54 years	M	2001	2512	9146153	27.4650992608586
50-54 years	M	2002	2638	9168094	28.7737014912805
50-54 years	M	2003	2677	9337624	28.6689633251457
50-54 years	M	2004	2729	9565045	28.5309687513232
50-54 years	M	2005	2843	9821292	28.947311616435
55-59 years	F	2000	2253	6960508	32.368327139341
55-59 years	F	2001	2338	7209396	32.4299012011547
55-59 years	F	2002	2489	7801990	31.9021172803349
55-59 years	F	2003	2663	8141956	32.7071283608018
55-59 years	F	2004	2691	8547949	31.4812360251564
55-59 years	F	2005	2758	9007859	30.6177083810926
55-59 years	M	2000	2766	6508729	42.4967762523221
55-59 years	M	2001	2948	6759579	43.6121835398329
55-59 years	M	2002	3372	7341077	45.9333146893841
55-59 years	M	2003	3489	7672601	45.4734971882416
55-59 years	M	2004	3563	8059227	44.2101953450374
55-59 years	M	2005	3997	8495361	47.0492072084988
60-64 years	F	2000	2950	5668820	52.0390486909092
60-64 years	F	2001	3008	5834170	51.5583193496247
60-64 years	F	2002	3071	6051668	50.7463396868434
60-64 years	F	2003	3251	6377463	50.9763835556553
60-64 years	F	2004	3226	6637798	48.6004545483306
60-64 years	F	2005	3382	6860551	49.2963320293079
60-64 years	M	2000	3419	5136627	66.561188889129
60-64 years	M	2001	3567	5302150	67.2745961543902
60-64 years	M	2002	3806	5508597	69.0920029183474
60-64 years	M	2003	4094	5816925	70.3808283586259
60-64 years	M	2004	4209	6060330	69.4516635232735
60-64 years	M	2005	4479	6277726	71.3474911138205
65-69 years	F	2000	4191	5133183	81.6452481822682
65-69 years	F	2001	4100	5134618	79.8501465931838
65-69 years	F	2002	4210	5163814	81.5288854323568
65-69 years	F	2003	4103	5253706	78.0972517304927
65-69 years	F	2004	3989	5370418	74.2772722719163
65-69 years	F	2005	4208	5469500	76.9357345278362
65-69 years	M	2000	4333	4400362	98.4691713999894
65-69 years	M	2001	4532	4427615	102.357589808509
65-69 years	M	2002	4533	4474667	101.303627733639
65-69 years	M	2003	4836	4577090	105.656650841474
65-69 years	M	2004	4757	4703011	101.147966696229
65-69 years	M	2005	4819	4809127	100.20529713605
70-74 years	F	2000	5982	4954529	120.738015662034
70-74 years	F	2001	5886	4908508	119.914238705529
70-74 years	F	2002	5854	4852844	120.630294318136
70-74 years	F	2003	5628	4794496	117.384601009157
70-74 years	F	2004	5443	4739945	114.832556073963
70-74 years	F	2005	5407	4729069	114.335400900262
70-74 years	M	2000	5698	3902912	145.993555581064
70-74 years	M	2001	5764	3913438	147.287372382033
70-74 years	M	2002	5704	3897210	146.36111474619
70-74 years	M	2003	5790	3875623	149.395335924057
70-74 years	M	2004	5637	3854159	146.257588231311
70-74 years	M	2005	5761	3874001	148.709305960427
75-79 years	F	2000	7967	4371357	182.254617959595
75-79 years	F	2001	7889	4378159	180.189892600977
75-79 years	F	2002	7945	4368692	181.862214136405
75-79 years	F	2003	7628	4365982	174.714417054399
75-79 years	F	2004	7306	4321319	169.068749610941
75-79 years	F	2005	7464	4299256	173.611434164423
75-79 years	M	2000	6548	3044456	215.079475610749
75-79 years	M	2001	6578	3077254	213.762009895836
75-79 years	M	2002	6680	3101769	215.360976268703
75-79 years	M	2003	6828	3131860	218.017408185551
75-79 years	M	2004	6613	3140080	210.599729943186
75-79 years	M	2005	6794	3164353	214.704238117555
80-84 years	F	2000	8446	3110470	271.534526936444
80-84 years	F	2001	8786	3211574	273.573020581185
80-84 years	F	2002	9038	3295412	274.260092516505
80-84 years	F	2003	8857	3347175	264.611201983762
80-84 years	F	2004	8805	3417423	257.650282098529
80-84 years	F	2005	9069	3454579	262.521134992137
80-84 years	M	2000	5722	1834897	311.843117079596
80-84 years	M	2001	5984	1926631	310.59398504436
80-84 years	M	2002	6307	1998991	315.509174378474
80-84 years	M	2003	6554	2051421	319.485858826638
80-84 years	M	2004	6690	2111081	316.899256826242
80-84 years	M	2005	6780	2156614	314.381711330818
< 1 year	F	2000	116	1856631	6.24787585686116
< 1 year	F	2001	126	1962905	6.41905746839506
< 1 year	F	2002	114	1932939	5.89775466271827
< 1 year	F	2003	108	1942634	5.55946204997956
< 1 year	F	2004	84	1962216	4.28087427683802
< 1 year	F	2005	101	1956682	5.16179941349693
< 1 year	M	2000	144	1949017	7.38833986568614
< 1 year	M	2001	166	2049753	8.09853675052555
< 1 year	M	2002	152	2018522	7.53026224138256
< 1 year	M	2003	140	2033237	6.8855721197283
< 1 year	M	2004	149	2052042	7.26105995881176
< 1 year	M	2005	125	2047711	6.10437703367321
