Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	28	45676672	0.0613004380003867
1-4 years	M	21	47757977	0.043971711783353
10-14 years	F	63	61847729	0.101863077300704
10-14 years	M	50	64960054	0.0769703793657561
15-19 years	F	168	60483811	0.277760275390054
15-19 years	M	323	64188665	0.503204109323663
20-24 years	F	314	59376552	0.528828282248521
20-24 years	M	838	61985703	1.35192465268967
25-29 years	F	429	56633003	0.757508832791367
25-29 years	M	1264	57672370	2.19169075243483
30-34 years	F	757	60792859	1.24521204044705
30-34 years	M	1851	61383658	3.01546056443883
35-39 years	F	1405	64957965	2.16293721639833
35-39 years	M	3564	64673296	5.51077526650258
40-44 years	F	2329	68912428	3.37965163555114
40-44 years	M	6129	67757258	9.04552542548283
45-49 years	F	2768	65053497	4.25495957580882
45-49 years	M	7777	63195287	12.3062974617079
5-9 years	F	30	58128639	0.0516096721273657
5-9 years	M	25	60930800	0.0410301522382769
50-54 years	F	2234	58107486	3.84459929999381
50-54 years	M	7570	55645932	13.6038695515065
55-59 years	F	2011	47669658	4.21861637857775
55-59 years	M	5922	44836574	13.2079672278261
60-64 years	F	2071	37430470	5.53292544817097
60-64 years	M	5087	34102355	14.916858381188
65-69 years	F	2884	31525239	9.14822564866201
65-69 years	M	4975	27391872	18.1623220201964
70-74 years	F	6483	28979391	22.3710705307782
70-74 years	M	7269	23317343	31.1742208363963
75-79 years	F	16482	26104765	63.1378983875166
75-79 years	M	12918	18659772	69.2291417065546
80-84 years	F	35033	19836633	176.607592629253
80-84 years	M	20650	12079635	170.948873869119
< 1 year	F	19	9651791	0.196854656301613
< 1 year	M	36	10117045	0.355835127747282
