Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2013	7	7790614	0.0898517113028575
1-4 years	F	2014	9	7790662	0.115522917051208
1-4 years	F	2015	3	7786776	0.0385268563009903
1-4 years	F	2017	4	7818747	0.0511590923711945
1-4 years	F	2018	4	7798370	0.0512927701558146
1-4 years	F	2019	3	7719541	0.0388624142290325
1-4 years	M	2013	9	8135691	0.110623670441761
1-4 years	M	2014	1	8137871	0.0122882262449233
1-4 years	M	2015	2	8142467	0.0245625803580168
1-4 years	M	2016	4	8156375	0.0490413940016245
1-4 years	M	2017	3	8180818	0.0366711495109658
1-4 years	M	2018	8	8163697	0.0979948177890483
1-4 years	M	2019	2	8074090	0.0247705933424076
10-14 years	F	2013	7	10097931	0.0693211312297539
10-14 years	F	2014	18	10120287	0.177860568578737
10-14 years	F	2015	5	10101942	0.0494954336502823
10-14 years	F	2016	9	10099501	0.0891133136181679
10-14 years	F	2017	6	10173382	0.0589774373949587
10-14 years	F	2018	1	10220687	0.00978407811529695
10-14 years	F	2019	10	10180007	0.0982317595655877
10-14 years	M	2013	8	10552523	0.0758112538584375
10-14 years	M	2014	7	10551219	0.0663430452917336
10-14 years	M	2015	6	10520388	0.0570321170664048
10-14 years	M	2016	8	10518732	0.0760547944372002
10-14 years	M	2017	7	10605072	0.0660061525277716
10-14 years	M	2018	3	10658840	0.0281456518720611
10-14 years	M	2019	3	10618261	0.0282532139678993
15-19 years	F	2013	19	10312774	0.184237529107105
15-19 years	F	2014	18	10283624	0.17503557111773
15-19 years	F	2015	18	10311036	0.174570237171124
15-19 years	F	2016	12	10328153	0.116187279564894
15-19 years	F	2017	22	10331169	0.212947828072506
15-19 years	F	2018	22	10322313	0.213130526074921
15-19 years	F	2019	10	10308963	0.0970029672237644
15-19 years	M	2013	21	10846190	0.193616375888676
15-19 years	M	2014	23	10784023	0.213278476872685
15-19 years	M	2015	25	10797867	0.231527208105082
15-19 years	M	2016	28	10801846	0.259214952703455
15-19 years	M	2017	20	10800491	0.185176766500708
15-19 years	M	2018	12	10774908	0.111369860420154
15-19 years	M	2019	19	10745607	0.176816442291254
20-24 years	F	2013	59	11116473	0.530743878926346
20-24 years	F	2014	57	11172747	0.510169969838214
20-24 years	F	2015	68	11071459	0.614191860350113
20-24 years	F	2016	88	10889963	0.808083553635582
20-24 years	F	2017	81	10769493	0.752124542910237
20-24 years	F	2018	66	10672032	0.618438925220614
20-24 years	F	2019	63	10568188	0.596128683554835
20-24 years	M	2013	105	11678965	0.899052270470885
