Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2021	5	7459995	0.0670241736086954
1-4 years	F	2022	4	7263012	0.0550735700285226
1-4 years	M	2020	6	7953016	0.0754430771923507
1-4 years	M	2021	5	7802850	0.0640791505667801
1-4 years	M	2022	5	7592228	0.065856820949002
10-14 years	F	2020	8	10159455	0.0787443814653443
10-14 years	F	2021	1	10459561	0.00956063069951024
10-14 years	F	2022	4	10187986	0.039261930670105
10-14 years	M	2020	3	10594968	0.0283153285597465
10-14 years	M	2021	8	10988223	0.0728052206439567
10-14 years	M	2022	6	10701853	0.0560650571447767
15-19 years	F	2020	10	10266332	0.0974057725777814
15-19 years	F	2021	18	10541690	0.170750610196278
15-19 years	F	2022	19	10553749	0.180030811799674
15-19 years	M	2020	25	10694597	0.233762899153657
15-19 years	M	2021	15	11022976	0.136079403602076
15-19 years	M	2022	17	11082043	0.153401317789509
20-24 years	F	2020	56	10561909	0.530207181296487
20-24 years	F	2021	74	10550759	0.701371342099654
20-24 years	F	2022	72	11103791	0.648427190317253
20-24 years	M	2020	114	11032846	1.03327826745701
20-24 years	M	2021	102	10973238	0.929534199476946
20-24 years	M	2022	101	11601988	0.870540462548315
25-29 years	F	2020	207	11356117	1.82280615812606
25-29 years	F	2021	188	11013419	1.70700851388656
25-29 years	F	2022	189	10840422	1.74347456215265
25-29 years	M	2020	353	11875126	2.97260003809644
25-29 years	M	2021	368	11379058	3.23401111058578
25-29 years	M	2022	341	11352742	3.00367963968528
30-34 years	F	2020	386	11269150	3.42528052248839
30-34 years	F	2021	388	11428324	3.39507350334135
30-34 years	F	2022	372	11471316	3.24287117537343
30-34 years	M	2020	711	11569253	6.14559989309595
30-34 years	M	2021	754	11674304	6.45862913969004
30-34 years	M	2022	723	11836820	6.10805942812343
35-39 years	F	2020	423	10890716	3.88404215113129
35-39 years	F	2021	487	11035485	4.41303667215351
35-39 years	F	2022	463	10965649	4.22227631032144
35-39 years	M	2020	939	10937588	8.58507378409207
35-39 years	M	2021	1042	11263833	9.25084738028343
35-39 years	M	2022	1051	11302300	9.29899224051742
40-44 years	F	2020	447	10199608	4.38252136748785
40-44 years	F	2021	535	10510756	5.09002397163439
40-44 years	F	2022	528	10609527	4.97665918565455
40-44 years	M	2020	1093	10108280	10.8129177268536
40-44 years	M	2021	1300	10593780	12.271351679948
40-44 years	M	2022	1268	10817889	11.7213256671426
45-49 years	F	2020	519	10097702	5.13978328930681
45-49 years	F	2021	602	9905753	6.07727650790404
45-49 years	F	2022	545	9779109	5.57310487080162
45-49 years	M	2020	1370	9872904	13.8763630234833
45-49 years	M	2021	1530	9875757	15.4924832597643
45-49 years	M	2022	1452	9844989	14.7486198308601
5-9 years	F	2020	6	9890958	0.06066146474386
5-9 years	F	2021	1	9915390	0.0100853319940012
5-9 years	F	2022	6	9777249	0.061366955060672
5-9 years	M	2020	5	10346753	0.0483243390462689
5-9 years	M	2021	7	10376158	0.0674623497444815
5-9 years	M	2022	8	10231946	0.0781864955112156
50-54 years	F	2020	727	10343739	7.02840626585802
50-54 years	F	2021	747	10470724	7.13417715909616
50-54 years	F	2022	664	10372906	6.40129198124422
50-54 years	M	2020	1908	10051788	18.9816975845491
50-54 years	M	2021	2071	10436202	19.8443840009996
50-54 years	M	2022	1837	10434641	17.6048222454419
55-59 years	F	2020	1065	11091171	9.60223226203978
55-59 years	F	2021	1016	10937255	9.28935093860388
55-59 years	F	2022	1026	10593091	9.68555825679209
55-59 years	M	2020	2703	10511928	25.7136464405007
55-59 years	M	2021	2756	10630059	25.9264788652631
55-59 years	M	2022	2567	10373923	24.7447373573141
60-64 years	F	2020	1313	10823072	12.1314909482262
60-64 years	F	2021	1339	10902491	12.281596930463
60-64 years	F	2022	1387	10820443	12.8183291571334
60-64 years	M	2020	3085	9977506	30.9195504367524
60-64 years	M	2021	3257	10333259	31.5195815763449
60-64 years	M	2022	3281	10297980	31.8606173249511
65-69 years	F	2020	1914	9483316	20.1828136909073
65-69 years	F	2021	1978	9646107	20.5056817221704
65-69 years	F	2022	1934	9757521	19.8206081237232
65-69 years	M	2020	3127	8390351	37.2690010227224
65-69 years	M	2021	3267	8748213	37.3447697261144
65-69 years	M	2022	3258	8873901	36.7144055359644
70-74 years	F	2020	3555	7882542	45.0996645498368
70-74 years	F	2021	3610	8150929	44.2894300760073
70-74 years	F	2022	3704	8120246	45.6143816332658
70-74 years	M	2020	3892	6793189	57.292679476458
70-74 years	M	2021	3954	7120873	55.5268995809924
70-74 years	M	2022	4010	7036771	56.9863649108377
75-79 years	F	2020	7003	5513149	127.02359395692
75-79 years	F	2021	6694	5432359	123.224551249282
75-79 years	F	2022	7186	5951314	120.746443558515
75-79 years	M	2020	5704	4473684	127.501182470644
75-79 years	M	2021	5358	4472410	119.801181018735
75-79 years	M	2022	5845	4909686	119.050383262799
80-84 years	F	2020	12432	3715123	334.632258474349
80-84 years	F	2021	11195	3605202	310.523515741975
80-84 years	F	2022	11711	3834386	305.420476707353
80-84 years	M	2020	8016	2749591	291.534268187523
80-84 years	M	2021	7523	2696104	279.032262850394
80-84 years	M	2022	8127	2825159	287.665225213873
< 1 year	F	2022	7	1800246	0.388835748003328
< 1 year	M	2020	4	1908141	0.209628114484202
< 1 year	M	2021	3	1821502	0.164699242712882
