Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	838	45676672	1.83463453729729
1-4 years	M	1011	47757977	2.11692383871285
10-14 years	F	706	61847729	1.14151321546503
10-14 years	M	999	64960054	1.53786817972781
15-19 years	F	747	60483811	1.23504122450221
15-19 years	M	1619	64188665	2.52225217645514
20-24 years	F	921	59376552	1.55111735016206
20-24 years	M	1743	61985703	2.81193874658484
25-29 years	F	958	56633003	1.69159315108189
25-29 years	M	1515	57672370	2.62690782431865
30-34 years	F	1257	60792859	2.06767706055739
30-34 years	M	1635	61383658	2.66357537701647
35-39 years	F	1812	64957965	2.78949625346176
35-39 years	M	2466	64673296	3.81301116924673
40-44 years	F	3002	68912428	4.35625341774346
40-44 years	M	3894	67757258	5.74698580630285
45-49 years	F	4498	65053497	6.91430931068932
45-49 years	M	5289	63195287	8.36929500771157
5-9 years	F	635	58128639	1.09240472669591
5-9 years	M	735	60930800	1.20628647580534
50-54 years	F	5884	58107486	10.1260618984618
50-54 years	M	6535	55645932	11.7438953129584
55-59 years	F	7215	47669658	15.1354138097655
55-59 years	M	7677	44836574	17.1221824397199
60-64 years	F	8642	37430470	23.0881418266989
60-64 years	M	9157	34102355	26.8515180256613
65-69 years	F	11736	31525239	37.2273149142501
65-69 years	M	12854	27391872	46.9263290949958
70-74 years	F	21386	28979391	73.7972719992632
70-74 years	M	22238	23317343	95.3710720814117
75-79 years	F	43930	26104765	168.283453231623
75-79 years	M	39085	18659772	209.46129459674
80-84 years	F	73790	19836633	371.988532529689
80-84 years	M	52528	12079635	434.847576106397
< 1 year	F	944	11614007	8.12811633400944
< 1 year	M	1318	12150282	10.8474848567301
