Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2013	111	7790614	1.42479142208817
1-4 years	F	2014	102	7790662	1.30925972658036
1-4 years	F	2015	124	7786776	1.59244339377427
1-4 years	F	2016	106	7800517	1.35888428933621
1-4 years	F	2017	88	7818747	1.12550003216628
1-4 years	F	2018	89	7798370	1.14126413596688
1-4 years	F	2019	87	7719541	1.12701001264194
1-4 years	M	2013	114	8135691	1.40123315892897
1-4 years	M	2014	110	8137871	1.35170488694156
1-4 years	M	2015	127	8142467	1.55972385273407
1-4 years	M	2016	111	8156375	1.36089868354508
1-4 years	M	2017	122	8180818	1.49129341344594
1-4 years	M	2018	128	8163697	1.56791708462477
1-4 years	M	2019	116	8074090	1.43669441385964
10-14 years	F	2013	105	10097931	1.03981696844631
10-14 years	F	2014	88	10120287	0.869540557496047
10-14 years	F	2015	115	10101942	1.13839497395649
10-14 years	F	2016	108	10099501	1.06935976341801
10-14 years	F	2017	100	10173382	0.982957289915979
10-14 years	F	2018	123	10220687	1.20344160818152
10-14 years	F	2019	121	10180007	1.18860429074361
10-14 years	M	2013	133	10552523	1.26036209539652
10-14 years	M	2014	122	10551219	1.15626450365593
10-14 years	M	2015	175	10520388	1.66343674777014
10-14 years	M	2016	139	10518732	1.32145205334635
10-14 years	M	2017	159	10605072	1.49928260741653
10-14 years	M	2018	143	10658840	1.34160940590158
10-14 years	M	2019	136	10618261	1.28081236654477
15-19 years	F	2013	114	10312774	1.10542517464263
15-19 years	F	2014	137	10283624	1.33221518017384
15-19 years	F	2015	132	10311036	1.28018173925491
15-19 years	F	2016	136	10328153	1.31678916840213
15-19 years	F	2017	125	10331169	1.20993084132105
15-19 years	F	2018	130	10322313	1.25940765407908
15-19 years	F	2019	117	10308963	1.13493471651804
15-19 years	M	2013	264	10846190	2.43403443974336
15-19 years	M	2014	250	10784023	2.31824431383353
15-19 years	M	2015	240	10797867	2.22266119780879
15-19 years	M	2016	239	10801846	2.21258477486163
15-19 years	M	2017	233	10800491	2.15730932973325
15-19 years	M	2018	270	10774908	2.50582185945346
15-19 years	M	2019	251	10745607	2.33583826395289
20-24 years	F	2013	181	11116473	1.62821427263845
20-24 years	F	2014	203	11172747	1.81692112065189
20-24 years	F	2015	200	11071459	1.80644664808857
20-24 years	F	2016	176	10889963	1.61616710727116
20-24 years	F	2017	176	10769493	1.63424592039755
20-24 years	F	2018	167	10672032	1.56483788654307
20-24 years	F	2019	181	10568188	1.7126871702131
20-24 years	M	2013	338	11678965	2.89409207065866
20-24 years	M	2014	373	11739427	3.17732713870958
20-24 years	M	2015	356	11667854	3.0511180547854
20-24 years	M	2016	381	11491065	3.31561957050978
20-24 years	M	2017	352	11349142	3.10155604714436
20-24 years	M	2018	335	11201547	2.99065834388768
20-24 years	M	2019	325	11064752	2.93725516848457
25-29 years	F	2013	197	10620319	1.85493486589245
25-29 years	F	2014	224	10826549	2.06898800347184
25-29 years	F	2015	244	11052155	2.20771424215458
25-29 years	F	2016	233	11259410	2.06938018954812
25-29 years	F	2017	243	11468230	2.11889716198576
25-29 years	F	2018	247	11542918	2.13984020331774
25-29 years	F	2019	224	11504446	1.9470733314755
25-29 years	M	2013	358	10959879	3.26645941985308
25-29 years	M	2014	349	11161389	3.12685096810083
25-29 years	M	2015	366	11409399	3.20788150190908
25-29 years	M	2016	389	11631474	3.34437406643388
25-29 years	M	2017	380	11902230	3.19267901897376
25-29 years	M	2018	419	12018838	3.4861939232395
25-29 years	M	2019	418	12004570	3.48200726889843
30-34 years	F	2013	255	10582777	2.40957548288129
30-34 years	F	2014	267	10719741	2.49073181898704
30-34 years	F	2015	271	10785909	2.51253742266878
30-34 years	F	2016	282	10818095	2.60674360874073
30-34 years	F	2017	305	10883081	2.802515206861
30-34 years	F	2018	295	10944147	2.6955047296057
