Gender	Year	AA_rate	Deaths	Population	Crude Rate
F	2000	17.9293242174733	28243	140355754	20.1224383006058
F	2001	18.3937925879823	29499	142026033	20.7701358524884
F	2002	19.0958238219469	31107	143317188	21.7050030314577
F	2003	19.799053063167	32572	144551061	22.5332140592175
F	2004	19.7255903898615	32860	145810702	22.5360687173703
F	2005	20.569083208592	34620	147070066	23.5398004105064
F	2006	20.4464016174769	34599	148385108	23.317029900332
F	2007	20.9372965627637	35598	149720044	23.7763755933708
F	2008	21.8215795124786	37428	151070989	24.7751075489418
F	2009	20.9180315697714	36068	152332121	23.6772125033301
F	2010	21.4814603968451	37268	153260458	24.316774519883
F	2011	21.6454163603035	38024	154457950	24.6177033943543
F	2012	21.414740375791	38049	155498676	24.4690186301007
F	2013	21.7477911594122	39166	156478230	25.0296798474778
F	2014	23.0873221357099	42242	157867207	26.7579320637503
F	2015	25.3723422172928	47088	159076660	29.6008226473953
F	2016	26.2845542515905	49725	159893102	31.0989025655403
F	2017	27.5093352242735	53451	161122046	33.1742311663545
F	2018	27.7315776868214	55467	161819945	34.2769860662108
F	2019	28.2736254724146	58213	162353729	35.8556593424473
F	2020	31.4041643688955	66310	162984194	40.6849267849863
F	2021	31.6420820957444	66081	163709190	40.3648689484078
F	2022	32.0672197603392	70197	163801963	42.8547977779729
M	2000	22.5420180151122	26098	136826565	19.0737814692637
M	2001	22.897177089341	27117	138630428	19.5606407562992
M	2002	23.3837192531017	28276	139939197	20.2059184318458
M	2003	24.0826272069027	29617	141090696	20.9914621159711
M	2004	23.6641855216492	29580	142448713	20.7653683750726
M	2005	24.8914479787242	31610	143753234	21.9890705206674
M	2006	24.9599603411707	32111	145128875	22.12585193677
M	2007	25.0909341168386	32802	146471618	22.3947823120244
M	2008	26.1541422662849	34655	147827137	23.4429217147052
M	2009	25.5499900547941	34487	149072107	23.1344419113899
M	2010	26.1341035802949	35631	149991647	23.7553228547454
M	2011	26.2155587635614	36547	151396794	24.1398770967369
M	2012	26.0680104509158	37173	152528034	24.3712575486287
M	2013	26.7209096545858	38930	153609820	25.3434318196584
M	2014	27.7399029132216	41296	154827618	26.6722439661895
M	2015	30.1819169992928	45683	156054999	29.2736537071779
M	2016	31.0808921483961	48088	156854080	30.657793536515
M	2017	32.2289038562572	51491	158128450	32.5627678004812
M	2018	32.8924619088129	54312	158802986	34.2008682380821
M	2019	33.476554067751	56868	159280836	35.7029768477609
M	2020	36.2227777650631	63064	159841509	39.45408198067
M	2021	35.5063814354548	62421	162208799	38.4818828477979
M	2022	36.2226592815507	65959	162999726	40.4657121938966
