Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	13	15277886	0.0850903063421209
1-4 years	M	7	15920168	0.0439693852476934
10-14 years	F	9	10231469	0.0879639082129849
10-14 years	M	8	21754196	0.0367745146729394
15-19 years	F	10	29719662	0.0336477581743695
15-19 years	M	13	32153028	0.0404316507919565
20-24 years	F	4	18953137	0.0211046857309162
20-24 years	M	6	9687814	0.0619334764271899
25-29 years	F	7	9582576	0.0730492510573357
25-29 years	M	2	9464481	0.0211316394422473
30-34 years	F	1	10193818	0.009809867117502
35-39 years	F	8	11141510	0.0718035526602767
40-44 years	M	2	11363212	0.0176006572789454
45-49 years	F	24	32345777	0.0741982485070617
45-49 years	M	24	63195287	0.0379775156334047
5-9 years	F	4	10026228	0.0398953624433835
5-9 years	M	15	30163292	0.0497293199959739
50-54 years	F	17	18977447	0.0895800156891493
50-54 years	M	14	18172769	0.0770383423681884
55-59 years	F	12	16809849	0.0713867209634066
55-59 years	M	24	30017768	0.0799526467124404
60-64 years	F	23	25384187	0.0906075896777785
60-64 years	M	19	17603248	0.107934626609817
65-69 years	F	5	5133183	0.0974054499907757
65-69 years	M	15	13578040	0.110472498239805
70-74 years	F	20	19230366	0.104002180717725
70-74 years	M	16	15528282	0.103037799030182
75-79 years	F	29	21736073	0.133418764281846
75-79 years	M	21	12450658	0.168665784571386
80-84 years	F	21	16625059	0.126315341196684
80-84 years	M	16	8041923	0.198957388674326
< 1 year	F	13	3889621	0.334222794457352
< 1 year	M	25	10201265	0.245067646022332
