Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2022	6	7263012	0.0826103550427839
10-14 years	F	2022	8	10187986	0.0785238613402099
10-14 years	M	2021	9	10988223	0.0819058732244513
15-19 years	F	2021	2	10541690	0.0189722900218086
15-19 years	M	2022	1	11082043	0.00902360692879463
20-24 years	F	2021	3	10550759	0.0284339733283643
20-24 years	F	2022	5	11103791	0.0450296659942537
25-29 years	F	2022	3	10840422	0.0276741993992485
30-34 years	F	2021	8	11428324	0.0700015155328113
30-34 years	M	2020	8	11569253	0.0691488032978447
45-49 years	F	2021	9	9905753	0.0908562933075355
45-49 years	M	2021	5	9875757	0.0506290302606676
45-49 years	M	2022	4	9844989	0.0406298066965844
5-9 years	M	2022	9	10231946	0.0879598074501175
50-54 years	M	2021	6	10436202	0.0574921796262663
55-59 years	F	2020	1	11091171	0.00901618052773688
55-59 years	F	2022	1	10593091	0.00944011526003128
55-59 years	M	2020	3	10511928	0.0285390082580474
55-59 years	M	2022	9	10373923	0.0867559938511207
60-64 years	F	2020	9	10823072	0.0831556881447338
60-64 years	F	2021	7	10902491	0.0642055104654524
60-64 years	F	2022	7	10820443	0.0646923605623171
60-64 years	M	2020	3	9977506	0.030067634136226
60-64 years	M	2021	1	10333259	0.00967748897032388
65-69 years	F	2020	2	9483316	0.021089669478482
65-69 years	F	2021	1	9646107	0.010366876502614
65-69 years	F	2022	3	9757521	0.0307455141526213
65-69 years	M	2020	7	8390351	0.0834291676236191
65-69 years	M	2021	8	8748213	0.0914472475693036
65-69 years	M	2022	9	8873901	0.101421009767857
70-74 years	F	2021	5	8150929	0.0613427009362982
70-74 years	F	2022	2	8120246	0.0246297956983077
70-74 years	M	2020	9	6793189	0.132485641132611
70-74 years	M	2021	1	7120873	0.014043221947646
70-74 years	M	2022	5	7036771	0.0710553178439372
75-79 years	F	2020	9	5513149	0.16324608676457
75-79 years	F	2021	8	5432359	0.147265672242943
75-79 years	F	2022	2	5951314	0.0336060238125564
75-79 years	M	2020	5	4473684	0.111764711141869
75-79 years	M	2021	1	4472410	0.0223593096339557
75-79 years	M	2022	8	4909686	0.162943210624875
80-84 years	F	2020	2	3715123	0.0538340184160794
80-84 years	F	2021	4	3605202	0.110950787223573
80-84 years	F	2022	6	3834386	0.156478768699865
80-84 years	M	2020	4	2749591	0.145476181730301
80-84 years	M	2021	6	2696104	0.222543344025305
80-84 years	M	2022	6	2825159	0.212377427252767
