Gender	Year	AA_rate	Deaths	Population	Crude Rate
F	2000	0.0298974923329114	43	70509609	0.0609845957307748
F	2001	0.0283967331153781	41	56079663	0.0731102824209197
F	2002	0.0319944267609921	47	52267234	0.0899224933157932
F	2003	0.00467148698538036	8	17906975	0.0446753290268178
F	2004	0.0229495799985214	36	36829283	0.0977483053362728
F	2005	0.0274208907719045	45	41665084	0.108004102427827
F	2006	0.0273979829271539	46	69338974	0.0663407566428658
F	2007	0.0177565856655582	29	38789715	0.074762085774541
F	2008	0.0410110055537855	65	80376451	0.0808694576474893
F	2009	0.0152428403643715	26	33725416	0.0770931928608383
F	2010	0.0190706073594744	33	65422460	0.0504413927571663
F	2011	0.020562601869075	32	59283050	0.0539783293875737
F	2012	0.0305226869884553	49	106229249	0.0461266557574929
F	2013	0.0232083804361423	36	58960464	0.0610578641307843
F	2014	0.00901228463368798	19	32210413	0.0589871356197761
F	2015	0.0139917766302531	28	55924526	0.050067478444073
F	2016	0.0185126913208248	37	65008070	0.0569160105814555
F	2017	0.0196421790872463	37	66721390	0.0554544801899361
F	2018	0.0293884930554832	59	67607382	0.0872685766770262
F	2019	0.0279458636697912	51	71560513	0.0712683543786222
F	2020	0.00990697571210569	23	40625831	0.0566142265496058
F	2021	0.0259377791712285	47	80163614	0.0586300912032234
F	2022	0.0239576331371159	43	88472212	0.0486028313613319
M	2000	0.0378127043005528	49	66129120	0.0740974626609276
M	2001	0.00835265255039344	12	12242787	0.0980168976230657
M	2002	0.044253835894113	59	59870011	0.098546833405459
M	2003	0.0256928484072802	36	58494279	0.0615444802730195
M	2004	0.0265499301464926	35	63567763	0.055059354534782
M	2005	0.0246750414813105	36	58991471	0.0610257709966242
M	2006	0.0363845639271286	54	73500691	0.0734686970493924
M	2007	0.0185610422183457	26	53772284	0.0483520469392745
M	2008	0.0251416887808246	35	72558919	0.0482366612986613
M	2009	0.0206381523229672	28	52319699	0.0535171274590093
M	2010	0.0367705739677941	54	76344824	0.0707317106396106
M	2011	0.0190798172616508	28	53139320	0.0526916791558492
M	2012	0.0314159443501231	47	84401708	0.0556860768741789
M	2013	0.0332831878673059	46	70455583	0.0652893611000281
M	2014	0.0216607716606368	34	42054626	0.0808472295057386
M	2015	0.0314851101352032	52	73251456	0.0709883500472673
M	2016	0.0198244715053188	32	60745309	0.0526789648892888
M	2017	0.0273384640019096	44	69468151	0.0633383778992477
M	2018	0.0248947396030349	43	86179666	0.0498957607935032
M	2019	0.0453563688575478	74	105963709	0.0698352300975044
M	2020	0.0204602972469108	39	54465502	0.0716049583092064
M	2021	0.0221109479052999	37	64671041	0.0572126247356989
M	2022	0.0285285511636424	51	65178418	0.078246759533194
