Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2002	8	7564711	0.105754205282925
1-4 years	F	2004	5	7713175	0.0648241482917216
1-4 years	F	2013	9	7790614	0.11552362881796
1-4 years	F	2019	4	7719541	0.0518165523053767
1-4 years	F	2022	6	7263012	0.0826103550427839
1-4 years	M	2000	6	7861716	0.0763192158047938
1-4 years	M	2004	1	8058452	0.0124093312214306
1-4 years	M	2015	7	8142467	0.0859690312530588
10-14 years	F	2001	9	10231469	0.0879639082129849
10-14 years	F	2008	4	10108474	0.0395707601364954
10-14 years	F	2012	1	10102004	0.00989902597544012
10-14 years	F	2018	8	10220687	0.0782726249223756
10-14 years	F	2022	8	10187986	0.0785238613402099
10-14 years	M	2002	7	10889999	0.064279161090832
10-14 years	M	2005	1	10864197	0.00920454590431304
10-14 years	M	2007	9	10670960	0.0843410527262777
10-14 years	M	2019	9	10618261	0.0847596419036978
10-14 years	M	2021	9	10988223	0.0819058732244513
15-19 years	F	2000	3	9828886	0.0305222789235728
15-19 years	F	2001	4	9908897	0.0403677624260299
15-19 years	F	2002	3	9981879	0.0300544616900285
15-19 years	F	2006	2	10597293	0.0188727441998631
15-19 years	F	2008	5	10805148	0.046274238909083
15-19 years	F	2010	5	10736677	0.0465693435687783
15-19 years	F	2012	3	10397841	0.0288521434401622
15-19 years	F	2016	2	10328153	0.019364546594149
15-19 years	F	2017	2	10331169	0.0193588934611369
15-19 years	F	2021	2	10541690	0.0189722900218086
15-19 years	M	2000	9	10391004	0.0866133821139901
15-19 years	M	2003	3	10710599	0.0280096379296807
15-19 years	M	2005	1	11051425	0.00904860685386726
15-19 years	M	2008	1	11405732	0.00876752145324824
15-19 years	M	2012	1	10962861	0.00912170645965501
15-19 years	M	2016	2	10801846	0.0185153537645325
15-19 years	M	2022	1	11082043	0.00902360692879463
20-24 years	F	2000	2	9276187	0.0215605830283499
20-24 years	F	2001	2	9676950	0.0206676690486155
20-24 years	F	2007	4	10270163	0.0389477752203154
20-24 years	F	2008	9	10339566	0.0870442724578575
20-24 years	F	2012	4	11033747	0.0362524172432085
20-24 years	F	2021	3	10550759	0.0284339733283643
20-24 years	F	2022	5	11103791	0.0450296659942537
20-24 years	M	2000	6	9687814	0.0619334764271899
20-24 years	M	2008	3	10841046	0.0276726064994097
20-24 years	M	2010	5	11014176	0.0453960423367123
20-24 years	M	2012	5	11549456	0.0432920823283798
20-24 years	M	2014	6	11739427	0.0511098199256233
20-24 years	M	2017	3	11349142	0.0264337163108894
20-24 years	M	2019	8	11064752	0.0723016656857741
25-29 years	F	2000	7	9582576	0.0730492510573357
25-29 years	F	2007	2	10229259	0.0195517583433952
25-29 years	F	2011	6	10518279	0.0570435524670909
25-29 years	F	2012	7	10553440	0.0663290832183629
25-29 years	F	2017	4	11468230	0.0348789656293953
25-29 years	F	2019	8	11504446	0.0695383332669822
25-29 years	F	2022	3	10840422	0.0276741993992485
25-29 years	M	2003	2	9464481	0.0211316394422473
25-29 years	M	2006	9	10095589	0.0891478446676068
25-29 years	M	2007	3	10313439	0.0290882604725737
25-29 years	M	2008	4	10509136	0.0380621204255041
25-29 years	M	2012	3	10844886	0.0276628080737778
25-29 years	M	2015	7	11409399	0.0613529248999005
25-29 years	M	2017	9	11902230	0.0756160820283258
25-29 years	M	2018	7	12018838	0.0582419032522112
25-29 years	M	2019	8	12004570	0.0666412874430321
30-34 years	F	2003	1	10193818	0.009809867117502
30-34 years	F	2015	1	10785909	0.00927135580320583
30-34 years	F	2021	8	11428324	0.0700015155328113
30-34 years	M	2009	3	9844555	0.0304736984048543
30-34 years	M	2010	6	9996500	0.0600210073525734
30-34 years	M	2013	8	10681612	0.074895062655337
30-34 years	M	2018	7	11191871	0.0625453956715548
30-34 years	M	2020	8	11569253	0.0691488032978447
35-39 years	F	2001	8	11141510	0.0718035526602767
35-39 years	F	2006	3	10489448	0.0286001703807483
35-39 years	F	2010	2	10137620	0.0197284964321014
35-39 years	F	2011	3	9832998	0.0305095150024438
35-39 years	M	2006	2	10451785	0.0191354873832556
35-39 years	M	2011	6	9761311	0.061467153336268
35-39 years	M	2013	5	9785269	0.0510972156207458
35-39 years	M	2016	4	10376442	0.0385488590405073
40-44 years	F	2008	9	10757924	0.0836592636274434
40-44 years	F	2011	5	10571486	0.0472970403593213
40-44 years	F	2012	7	10569227	0.0662300090631037
40-44 years	F	2013	2	10488928	0.0190677255101761
40-44 years	F	2016	1	9919930	0.0100807162953771
40-44 years	M	2004	2	11363212	0.0176006572789454
40-44 years	M	2008	9	10617099	0.084768918515312
40-44 years	M	2009	3	10430574	0.0287616002724299
40-44 years	M	2010	6	10393977	0.0577257386657677
40-44 years	M	2012	8	10458994	0.0764891919815615
40-44 years	M	2013	7	10359992	0.0675676197433357
40-44 years	M	2015	1	10030153	0.00996993764701296
40-44 years	M	2017	8	9753115	0.0820250760910745
40-44 years	M	2018	3	9797410	0.0306203374157048
40-44 years	M	2019	7	9907139	0.0706561197940192
45-49 years	F	2000	7	10202898	0.068607958248725
45-49 years	F	2002	9	10785791	0.0834431151132077
45-49 years	F	2005	8	11357088	0.0704405918136762
45-49 years	F	2006	5	11505455	0.0434576468292649
45-49 years	F	2010	6	11499506	0.0521761543495868
45-49 years	F	2012	5	10962854	0.0456085614202287
45-49 years	F	2013	3	10710188	0.0280107127904758
45-49 years	F	2019	9	10312396	0.0872736074138348
45-49 years	F	2021	9	9905753	0.0908562933075355
45-49 years	M	2000	1	9889506	0.0101117285332554
45-49 years	M	2001	4	10193034	0.0392424865844654
45-49 years	M	2002	9	10466497	0.085988655039026
45-49 years	M	2003	5	10705411	0.0467053530219438
45-49 years	M	2004	1	10880756	0.0091905378633617
45-49 years	M	2005	4	11060083	0.0361660938710858
45-49 years	M	2006	7	11209831	0.0624451876214726
45-49 years	M	2007	3	11257548	0.0266487871071036
45-49 years	M	2009	2	11285671	0.0177215869574791
45-49 years	M	2010	5	11209085	0.0446066739613447
45-49 years	M	2011	8	10952701	0.0730413438657734
45-49 years	M	2012	2	10726625	0.0186451936186825
45-49 years	M	2013	4	10498118	0.0381020674372302
45-49 years	M	2015	8	10334929	0.077407401637689
45-49 years	M	2019	4	10085355	0.0396614695268535
45-49 years	M	2021	5	9875757	0.0506290302606676
45-49 years	M	2022	4	9844989	0.0406298066965844
5-9 years	F	2000	4	10026228	0.0398953624433835
5-9 years	F	2017	1	9936097	0.0100643139856626
5-9 years	M	2002	5	10172682	0.0491512464461191
5-9 years	M	2003	5	10039604	0.0498027611447623
5-9 years	M	2004	5	9951006	0.0502461761152591
5-9 years	M	2018	2	10315990	0.0193873782351476
5-9 years	M	2022	9	10231946	0.0879598074501175
50-54 years	F	2000	9	8977824	0.100247008629262
50-54 years	F	2004	8	9999623	0.0800030161137075
50-54 years	F	2006	6	10506120	0.0571095704218113
50-54 years	F	2009	8	11221280	0.0712931145110005
50-54 years	F	2011	3	11493652	0.0261013644749293
50-54 years	F	2012	7	11499014	0.0608747845684856
50-54 years	F	2015	6	11370470	0.0527682672747916
50-54 years	F	2017	9	10880912	0.0827136548848111
50-54 years	F	2018	8	10607357	0.0754193528133351
50-54 years	M	2000	9	8607724	0.104557255785618
50-54 years	M	2004	5	9565045	0.0522736693868142
50-54 years	M	2006	4	10064753	0.0397426543900282
50-54 years	M	2008	3	10598921	0.0283047680042148
50-54 years	M	2010	2	10933274	0.0182927821986351
50-54 years	M	2011	2	11066546	0.0180724862120485
50-54 years	M	2012	5	11080245	0.045125355982652
50-54 years	M	2013	4	11070966	0.0361305418154116
50-54 years	M	2017	4	10520182	0.0380221558904589
50-54 years	M	2018	9	10277207	0.0875724309143525
50-54 years	M	2019	6	10086611	0.0594847962313606
50-54 years	M	2021	6	10436202	0.0574921796262663
55-59 years	F	2002	5	7801990	0.0640862139018379
55-59 years	F	2005	7	9007859	0.0777099197489659
55-59 years	F	2006	9	9473065	0.0950062097114292
55-59 years	F	2008	7	9702238	0.0721483022782991
55-59 years	F	2009	2	9946217	0.0201081476505087
55-59 years	F	2010	2	10141157	0.0197216155908049
55-59 years	F	2012	3	10704108	0.0280266230497674
55-59 years	F	2013	4	10912048	0.0366567302489872
55-59 years	F	2014	8	11067461	0.0722839682922759
55-59 years	F	2015	6	11210375	0.0535218491798892
55-59 years	F	2016	6	11296702	0.0531128465635369
55-59 years	F	2018	8	11271658	0.0709744742077874
55-59 years	F	2019	3	11234902	0.0267025026119498
55-59 years	F	2020	1	11091171	0.00901618052773688
55-59 years	F	2022	1	10593091	0.00944011526003128
55-59 years	M	2000	3	6508729	0.0460919482129307
55-59 years	M	2002	9	7341077	0.122597815007253
55-59 years	M	2003	4	7672601	0.0521335594018248
55-59 years	M	2005	8	8495361	0.0941690411978961
55-59 years	M	2006	4	8923795	0.044823979035825
55-59 years	M	2008	3	9112330	0.0329224248902311
55-59 years	M	2010	9	9523648	0.0945016027471826
55-59 years	M	2013	2	10282382	0.0194507459458324
55-59 years	M	2014	4	10443988	0.038299546112079
55-59 years	M	2015	5	10597567	0.0471806406130766
55-59 years	M	2016	8	10683406	0.0748824859787225
55-59 years	M	2018	5	10669327	0.0468633119970922
55-59 years	M	2019	8	10642489	0.0751703854239361
55-59 years	M	2020	3	10511928	0.0285390082580474
55-59 years	M	2022	9	10373923	0.0867559938511207
60-64 years	F	2001	4	5834170	0.0685615948798201
60-64 years	F	2002	5	6051668	0.0826218490505428
60-64 years	F	2004	6	6637798	0.0903914219745765
60-64 years	F	2005	8	6860551	0.116608709708593
60-64 years	F	2006	9	7058989	0.127497011257561
60-64 years	F	2008	5	7979525	0.0626603713880212
60-64 years	F	2010	5	8740424	0.0572054628013469
60-64 years	F	2011	1	9264438	0.0107939628933779
60-64 years	F	2013	3	9447628	0.0317540021685867
60-64 years	F	2014	1	9688238	0.0103217943242105
60-64 years	F	2016	7	10167404	0.0688474658821465
60-64 years	F	2018	8	10602115	0.0754566423774879
