Age_groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	4	7508434	0.053273425590476
1-4 years	F	2001	6	7468536	0.0803370299078695
1-4 years	F	2002	5	7564711	0.0660963783018281
1-4 years	F	2004	8	7713175	0.103718637266755
1-4 years	F	2005	5	7785123	0.0642250610555543
1-4 years	F	2006	5	7775092	0.0643079207294267
1-4 years	F	2008	6	7891294	0.0760331575531212
1-4 years	F	2009	7	7943260	0.0881250267522403
1-4 years	F	2014	1	7790662	0.0128358796723565
1-4 years	F	2015	3	7786776	0.0385268563009903
1-4 years	F	2017	3	7818747	0.0383693192783959
1-4 years	F	2019	4	7719541	0.0518165523053767
1-4 years	F	2021	9	7459995	0.120643512495652
1-4 years	M	2000	7	7861716	0.0890390851055927
1-4 years	M	2001	1	7817023	0.0127925938045724
1-4 years	M	2002	2	7913020	0.0252748002658909
1-4 years	M	2003	4	7979882	0.0501260544955427
1-4 years	M	2004	3	8058452	0.0372279936642919
1-4 years	M	2005	7	8127884	0.0861232763656568
1-4 years	M	2006	3	8122053	0.0369364740663475
1-4 years	M	2007	5	8164877	0.0612379096464037
1-4 years	M	2008	6	8247098	0.0727528640983774
1-4 years	M	2011	8	8255790	0.0969016896020853
1-4 years	M	2012	6	8199397	0.0731761128287848
1-4 years	M	2013	9	8135691	0.110623670441761
1-4 years	M	2014	8	8137871	0.0983058099593862
1-4 years	M	2015	1	8142467	0.0122812901790084
1-4 years	M	2016	9	8156375	0.110343136503655
1-4 years	M	2019	8	8074090	0.0990823733696305
1-4 years	M	2021	6	7802850	0.0768949806801361
1-4 years	M	2022	4	7592228	0.0526854567592016
10-14 years	F	2001	6	10231469	0.0586426054753232
10-14 years	F	2002	2	10371422	0.0192837587748334
10-14 years	F	2007	9	10170082	0.0884948616933472
10-14 years	F	2009	7	10088732	0.0693843388842126
10-14 years	F	2010	8	10097332	0.0792288497595206
10-14 years	F	2013	1	10097931	0.0099030187471077
10-14 years	F	2015	8	10101942	0.0791926938404517
10-14 years	F	2017	7	10173382	0.0688070102941185
10-14 years	M	2002	8	10889999	0.0734618983895223
10-14 years	M	2003	3	10970478	0.0273461192848662
10-14 years	M	2005	2	10864197	0.0184090918086261
10-14 years	M	2012	8	10567214	0.0757058577596706
10-14 years	M	2016	1	10518732	0.00950684930465003
10-14 years	M	2018	3	10658840	0.0281456518720611
10-14 years	M	2019	1	10618261	0.00941773798929975
15-19 years	F	2007	9	10731326	0.0838666162969982
15-19 years	F	2008	1	10805148	0.00925484778181659
15-19 years	F	2012	3	10397841	0.0288521434401622
15-19 years	F	2013	3	10312774	0.0290901361748061
15-19 years	F	2019	1	10308963	0.00970029672237644
15-19 years	M	2000	5	10391004	0.0481185456188834
15-19 years	M	2006	7	11210416	0.0624419290060244
15-19 years	M	2009	9	11388239	0.0790288999027857
15-19 years	M	2012	5	10962861	0.0456085322982751
15-19 years	M	2015	8	10797867	0.0740887065936263
15-19 years	M	2020	5	10694597	0.0467525798307314
15-19 years	M	2021	3	11022976	0.0272158807204152
20-24 years	F	2005	8	10222806	0.0782564004442616
20-24 years	F	2006	1	10238784	0.00976678480569568
20-24 years	F	2007	6	10270163	0.0584216628304731
20-24 years	F	2008	1	10339566	0.00967158582865084
20-24 years	F	2014	5	11172747	0.0447517517401942
20-24 years	F	2015	1	11071459	0.00903223324044283
20-24 years	F	2016	3	10889963	0.0275483029648494
20-24 years	F	2021	2	10550759	0.0189559822189096
20-24 years	M	2000	2	9687814	0.0206444921423966
20-24 years	M	2003	1	10497965	0.00952565568660212
20-24 years	M	2012	4	11549456	0.0346336658627038
20-24 years	M	2015	4	11667854	0.0342822253346674
20-24 years	M	2018	4	11201547	0.0357093533598529
20-24 years	M	2019	4	11064752	0.036150832842887
20-24 years	M	2020	9	11032846	0.0815746000623955
20-24 years	M	2021	8	10973238	0.072904643096231
25-29 years	F	2001	4	9303113	0.0429963604655775
25-29 years	F	2002	6	9248586	0.0648747819396392
25-29 years	F	2008	8	10393532	0.0769709469312261
25-29 years	F	2010	2	10466258	0.0191090263587999
25-29 years	F	2011	7	10518279	0.066550811211606
25-29 years	F	2012	6	10553440	0.0568534999014539
25-29 years	F	2016	7	11259410	0.0621702202868534
25-29 years	F	2020	4	11356117	0.0352233074034021
25-29 years	F	2022	2	10840422	0.0184494662661657
25-29 years	M	2002	5	9442754	0.052950654014708
25-29 years	M	2005	9	9822166	0.0916294837615247
25-29 years	M	2007	6	10313439	0.0581765209451474
25-29 years	M	2010	4	10635591	0.0376095696045476
25-29 years	M	2011	8	10761515	0.0743389755067014
25-29 years	M	2013	2	10959879	0.0182483766472239
25-29 years	M	2015	7	11409399	0.0613529248999005
25-29 years	M	2017	1	11902230	0.0084017868920362
25-29 years	M	2018	7	12018838	0.0582419032522112
25-29 years	M	2021	2	11379058	0.0175761473401401
25-29 years	M	2022	9	11352742	0.0792760022204327
30-34 years	F	2001	7	10263930	0.0681999974668572
30-34 years	F	2005	6	9835154	0.0610056538006421
30-34 years	F	2007	5	9559334	0.0523048990651441
30-34 years	F	2012	8	10417089	0.07679688634704
30-34 years	F	2015	5	10785909	0.0463567790160292
30-34 years	F	2016	5	10818095	0.0462188583110058
30-34 years	F	2017	8	10883081	0.0735085955897967
30-34 years	F	2018	8	10944147	0.0730984333452392
30-34 years	F	2020	4	11269150	0.0354951349480662
30-34 years	M	2000	7	10321769	0.0678178323890023
30-34 years	M	2001	5	10388245	0.0481313253586145
30-34 years	M	2002	2	10388113	0.0192527747820995
30-34 years	M	2003	4	10278392	0.0389165931791665
30-34 years	M	2005	1	9888783	0.0101124678335039
30-34 years	M	2006	7	9673250	0.0723645103765539
30-34 years	M	2008	2	9678926	0.0206634496430699
30-34 years	M	2009	6	9844555	0.0609473968097085
30-34 years	M	2010	5	9996500	0.0500175061271445
30-34 years	M	2011	7	10282648	0.0680758497227562
30-34 years	M	2013	9	10681612	0.0842569454872542
30-34 years	M	2014	3	10808825	0.0277550982646125
30-34 years	M	2020	9	11569253	0.0777924037100753
30-34 years	M	2021	4	11674304	0.0342632845606899
30-34 years	M	2022	1	11836820	0.00844821497665758
35-39 years	F	2000	3	11387968	0.0263435935190545
35-39 years	F	2001	6	11141510	0.0538526644952076
35-39 years	F	2002	4	10903446	0.0366856496560812
35-39 years	F	2006	1	10489448	0.00953339012691612
35-39 years	F	2007	8	10502839	0.0761698813054261
35-39 years	F	2008	5	10437809	0.0479027734651975
35-39 years	F	2009	2	10292169	0.0194322498979564
35-39 years	F	2010	8	10137620	0.0789139857284057
35-39 years	F	2011	6	9832998	0.0610190300048876
35-39 years	F	2016	4	10397463	0.0384709231473101
35-39 years	F	2018	6	10773397	0.0556927401821357
35-39 years	F	2019	5	10852580	0.0460719939406114
35-39 years	M	2000	6	11318696	0.0530096399797291
35-39 years	M	2001	9	11094408	0.081121949003498
35-39 years	M	2002	6	10847772	0.0553108970210657
35-39 years	M	2004	8	10421329	0.0767656409273712
35-39 years	M	2005	8	10387033	0.0770191064185509
35-39 years	M	2006	1	10451785	0.00956774369162779
35-39 years	M	2007	6	10461052	0.0573556082122525
35-39 years	M	2008	1	10379654	0.00963423250909905
35-39 years	M	2009	6	10215627	0.0587335461641268
35-39 years	M	2011	8	9761311	0.0819562044483574
35-39 years	M	2013	2	9785269	0.0204388862482983
35-39 years	M	2014	3	9939836	0.0301815844848949
35-39 years	M	2015	9	10173424	0.0884657908684431
35-39 years	M	2016	6	10376442	0.057823288560761
35-39 years	M	2017	2	10615985	0.0188395141854477
35-39 years	M	2020	3	10937588	0.027428350747898
35-39 years	M	2022	5	11302300	0.0442387832565053
40-44 years	F	2002	7	11536009	0.060679564310326
40-44 years	F	2003	8	11546602	0.0692844526900641
40-44 years	F	2004	2	11562414	0.0172974259527465
40-44 years	F	2005	6	11453723	0.0523847136865454
40-44 years	F	2006	7	11238163	0.0622877600191419
40-44 years	F	2007	4	10999163	0.0363664035163403
40-44 years	F	2008	7	10757924	0.0650683161546782
40-44 years	F	2009	7	10549441	0.0663542267310657
40-44 years	F	2012	9	10569227	0.085152868795419
40-44 years	F	2013	5	10488928	0.0476693137754402
40-44 years	F	2017	1	9890258	0.0101109596938725
40-44 years	F	2018	7	9916891	0.0705866384938586
40-44 years	F	2019	4	10014484	0.0399421477931364
40-44 years	F	2020	9	10199608	0.0882386852514332
40-44 years	F	2022	2	10609527	0.018850981763843
40-44 years	M	2000	7	11129102	0.0628981565628565
40-44 years	M	2001	3	11314915	0.0265136768592605
40-44 years	M	2002	7	11353422	0.0616554198372966
