Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	612	54505227	1.1228280913315
1-4 years	M	721	56991009	1.26511183544759
10-14 years	F	516	70993737	0.726824677506412
10-14 years	M	644	74025035	0.869975948001916
15-19 years	F	1027	72198032	1.4224764464494
15-19 years	M	1702	75550932	2.25278491600871
20-24 years	F	2000	76260355	2.62259466271826
20-24 years	M	3725	80192752	4.64505819678068
25-29 years	F	3996	78274027	5.10514170939487
25-29 years	M	7210	81087779	8.89159881910195
30-34 years	F	7070	75810445	9.3258917026539
30-34 years	M	13282	76984052	17.2529240211986
35-39 years	F	11876	72640928	16.3489100800034
35-39 years	M	22583	72566087	31.1205976973789
40-44 years	F	19900	70787626	28.1122579248526
40-44 years	M	40018	69843523	57.2966515449113
45-49 years	F	34441	73724569	46.7157698812725
45-49 years	M	71963	72291990	99.5449150037231
5-9 years	F	411	69819546	0.588660373128178
5-9 years	M	430	72883351	0.589983849672335
50-54 years	F	59777	77339639	77.2915425684881
50-54 years	M	127883	74726578	171.13455937993
55-59 years	F	93210	78300582	119.041260766108
55-59 years	M	199345	74019679	269.313515936755
60-64 years	F	128347	71002917	180.76299597663
60-64 years	M	261124	65128628	400.935821955285
65-69 years	F	167571	60339950	277.711532740746
65-69 years	M	299705	53859859	556.453369103696
70-74 years	F	215256	45862200	469.353846958934
70-74 years	M	324116	39393089	822.773761153892
75-79 years	F	278848	33154498	841.056317607342
75-79 years	M	350773	26598427	1318.77347483744
80-84 years	F	398306	24206738	1645.43442408473
80-84 years	M	400753	17397051	2303.56857607649
< 1 year	F	1397	13389903	10.4332346545005
< 1 year	M	1676	14018968	11.9552309413931
