Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	108	7508434	1.43838249094285
1-4 years	F	2001	136	7468536	1.82097267791171
1-4 years	F	2002	104	7564711	1.37480466867802
1-4 years	F	2003	119	7636693	1.55826612383135
1-4 years	F	2004	116	7713175	1.50392024036794
1-4 years	F	2005	94	7785123	1.20743114784442
1-4 years	M	2000	130	7861716	1.65358300910386
1-4 years	M	2001	154	7817023	1.97005944590415
1-4 years	M	2002	123	7913020	1.55440021635229
1-4 years	M	2003	119	7979882	1.49125012124239
1-4 years	M	2004	120	8058452	1.48911974657167
1-4 years	M	2005	129	8127884	1.5871289501671
10-14 years	F	2000	102	10007875	1.01919738206163
10-14 years	F	2001	107	10231469	1.0457931309766
10-14 years	F	2002	95	10371422	0.915978541804586
10-14 years	F	2003	86	10444875	0.823370313191876
10-14 years	F	2004	101	10443706	0.967089651891771
10-14 years	F	2005	82	10348382	0.792394405231658
10-14 years	M	2000	131	10520197	1.24522382993398
10-14 years	M	2001	119	10747209	1.10726422087818
10-14 years	M	2002	137	10889999	1.25803500992057
10-14 years	M	2003	130	10970478	1.1849985023442
10-14 years	M	2004	119	10967974	1.08497704316221
10-14 years	M	2005	121	10864197	1.11375005442188
15-19 years	F	2000	202	9828886	2.0551667808539
15-19 years	F	2001	170	9908897	1.71562990310627
15-19 years	F	2002	168	9981879	1.6830498546416
15-19 years	F	2003	205	10086567	2.03240607037062
15-19 years	F	2004	160	10242793	1.5620739382315
15-19 years	F	2005	177	10434789	1.69624896104751
15-19 years	M	2000	301	10391004	2.89673644625678
15-19 years	M	2001	283	10547387	2.68312900626477
15-19 years	M	2002	337	10628491	3.17072291823929
15-19 years	M	2003	328	10710599	3.06238708031175
15-19 years	M	2004	301	10859759	2.77170055062916
15-19 years	M	2005	323	11051425	2.92270001379913
20-24 years	F	2000	345	9276187	3.71920057239036
20-24 years	F	2001	324	9676950	3.34816238587571
20-24 years	F	2002	284	9916245	2.86398732584764
20-24 years	F	2003	379	10093723	3.75480880543284
20-24 years	F	2004	322	10190641	3.15976198160646
20-24 years	F	2005	321	10222806	3.140038067826
20-24 years	M	2000	498	9687814	5.14047854345676
20-24 years	M	2001	541	10080336	5.3668845959103
20-24 years	M	2002	529	10327520	5.12223650983005
20-24 years	M	2003	585	10497965	5.57250857666224
20-24 years	M	2004	585	10654919	5.49042184178031
20-24 years	M	2005	606	10737149	5.6439563239739
25-29 years	F	2000	535	9582576	5.58304990223923
25-29 years	F	2001	538	9303113	5.78301048262017
25-29 years	F	2002	505	9248586	5.4602941465863
25-29 years	F	2003	552	9307104	5.93095338786372
25-29 years	F	2004	529	9479080	5.58071036429696
25-29 years	F	2005	521	9712544	5.36419706309696
25-29 years	M	2000	818	9798760	8.3479950524352
25-29 years	M	2001	858	9516234	9.01617173348196
25-29 years	M	2002	881	9442754	9.32990523739155
25-29 years	M	2003	853	9464481	9.01264422211847
25-29 years	M	2004	945	9627975	9.81514804514968
25-29 years	M	2005	996	9822166	10.1403295362754
30-34 years	F	2000	955	10188619	9.37320357155371
30-34 years	F	2001	1016	10263930	9.89874248947528
30-34 years	F	2002	983	10270193	9.57138780157296
30-34 years	F	2003	1007	10193818	9.87853618732451
30-34 years	F	2004	940	10041145	9.36148218156396
30-34 years	F	2005	933	9835154	9.48637916599984
30-34 years	M	2000	1617	10321769	15.6659192818595
30-34 years	M	2001	1750	10388245	16.8459638755151
30-34 years	M	2002	1756	10388113	16.9039362586834
30-34 years	M	2003	1816	10278392	17.6681333033416
30-34 years	M	2004	1729	10118356	17.0877561532723
30-34 years	M	2005	1723	9888783	17.4237820771272
35-39 years	F	2000	2008	11387968	17.6326452620871
35-39 years	F	2001	1945	11141510	17.4572387405298
35-39 years	F	2002	2000	10903446	18.3428248280406
35-39 years	F	2003	1859	10660101	17.438859162779
35-39 years	F	2004	1776	10453320	16.989817589053
35-39 years	F	2005	1750	10411620	16.808143209222
35-39 years	M	2000	3608	11318696	31.8764635078104
35-39 years	M	2001	3723	11094408	33.5574462377803
35-39 years	M	2002	3669	10847772	33.8226135283817
35-39 years	M	2003	3642	10604058	34.345342132229
35-39 years	M	2004	3449	10421329	33.0955869448129
35-39 years	M	2005	3430	10387033	33.0219418769537
40-44 years	F	2000	3635	11312761	32.1318553445971
40-44 years	F	2001	3697	11500919	32.1452572616154
40-44 years	F	2002	3757	11536009	32.5675890162707
40-44 years	F	2003	3944	11546602	34.1572351762016
40-44 years	F	2004	3707	11562414	32.0607790034157
40-44 years	F	2005	3606	11453723	31.4832129256138
