Gender	Year	AA_rate	Deaths	Population	Crude Rate
F	2000	168.9663440386	266011	140355754	189.526251983941
F	2001	163.373082195286	261238	142026033	183.936701238427
F	2002	159.034630935555	257615	143317188	179.751642908316
F	2003	152.680216886737	249992	144551061	172.943732318921
F	2004	143.663761173918	237742	145810702	163.048388588102
F	2005	138.858736022323	232069	147070066	157.794856772554
F	2006	130.899570240432	220269	148385108	148.444141712658
F	2007	124.448794718756	211310	149720044	141.136747194651
F	2008	121.472069278355	208408	151070989	137.953687454843
F	2009	115.416857250294	199589	152332121	131.022268113762
F	2010	112.17029426798	195689	153260458	127.683945718079
F	2011	109.370936036564	193697	154457950	125.404357626137
F	2012	106.87446091633	192191	155498676	123.596550751339
F	2013	105.814602205241	193582	156478230	123.711777670287
F	2014	104.888046675649	195448	157867207	123.80531949235
F	2015	106.508457460343	202259	159076660	127.145616459385
F	2016	105.114348340815	203554	159893102	127.306304933655
F	2017	104.279116546769	207549	161122046	128.814774360549
F	2018	102.586251863461	209569	161819945	129.507521461585
F	2019	101.390491967421	212600	162353729	130.948639929299
F	2020	106.804274034344	228925	162984194	140.458405432861
F	2021	110.491855273342	236108	163709190	144.224035315305
F	2022	108.202566931109	239388	163801963	146.144768729054
M	2000	284.162126369419	333919	136826565	244.045445414785
M	2001	271.224110065901	326609	138630428	235.596906618509
M	2002	264.106322469719	325141	139939197	232.344480295967
M	2003	254.408919006219	319568	141090696	226.498280226784
M	2004	238.308850116717	305399	142448713	214.39224937048
M	2005	230.424459623548	301493	143753234	209.72954250198
M	2006	219.228680535689	292449	145128875	201.509864939007
M	2007	209.193825646437	284905	146471618	194.512086293742
M	2008	203.297726624938	282727	147827137	191.255141469729
M	2009	195.702978015151	277832	149072107	186.374235657647
M	2010	191.117554898824	275885	149991647	183.933575981068
M	2011	186.222997611769	276009	151396794	182.308351919262
M	2012	182.593910394987	277466	152528034	181.911477335373
M	2013	183.180792070388	285128	153609820	185.618341327397
M	2014	181.471491239349	289394	154827618	186.913680994563
M	2015	182.430331957824	297703	156054999	190.767999684521
M	2016	181.573392854892	303408	156854080	193.433285254677
M	2017	180.95362556371	311054	158128450	196.709700246856
M	2018	180.095114042771	318359	158802986	200.474190075998
M	2019	178.244283276154	322607	159280836	202.539745584962
M	2020	190.052494660066	352069	159841509	220.261308969499
M	2021	191.456599578902	360678	162208799	222.354152316978
M	2022	187.07936517457	361069	162999726	221.51509628918
