Age_groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	108	7508434	1.43838249094285
1-4 years	F	2001	136	7468536	1.82097267791171
1-4 years	F	2002	104	7564711	1.37480466867802
1-4 years	F	2003	119	7636693	1.55826612383135
1-4 years	F	2004	116	7713175	1.50392024036794
1-4 years	F	2005	94	7785123	1.20743114784442
1-4 years	F	2006	105	7775092	1.35046633531796
1-4 years	F	2007	128	7813088	1.6382766967427
1-4 years	F	2008	129	7891294	1.63471288739211
1-4 years	F	2009	103	7943260	1.29669682221154
1-4 years	F	2010	97	7952058	1.21981001647624
1-4 years	F	2011	97	7909731	1.22633753284404
1-4 years	F	2012	98	7856870	1.24731604315714
1-4 years	F	2013	92	7790614	1.1809082056947
1-4 years	F	2014	87	7790662	1.11672153149501
1-4 years	F	2015	89	7786776	1.14296340359605
1-4 years	F	2016	89	7800517	1.14095001651814
1-4 years	F	2017	86	7818747	1.09992048598068
1-4 years	F	2018	82	7798370	1.0515017881942
1-4 years	F	2019	87	7719541	1.12701001264194
1-4 years	F	2020	82	7613266	1.07706731907174
1-4 years	F	2021	92	7459995	1.2332447944
1-4 years	F	2022	58	7263012	0.798566765413578
1-4 years	M	2000	130	7861716	1.65358300910386
1-4 years	M	2001	154	7817023	1.97005944590415
1-4 years	M	2002	123	7913020	1.55440021635229
1-4 years	M	2003	119	7979882	1.49125012124239
1-4 years	M	2004	120	8058452	1.48911974657167
1-4 years	M	2005	129	8127884	1.5871289501671
1-4 years	M	2006	116	8122053	1.42821033056544
1-4 years	M	2007	105	8164877	1.28599610257448
1-4 years	M	2008	129	8247098	1.56418657811511
1-4 years	M	2009	107	8297671	1.28951846849556
1-4 years	M	2010	119	8305151	1.43284571225737
1-4 years	M	2011	116	8255790	1.40507449923024
1-4 years	M	2012	119	8199397	1.4513262377709
1-4 years	M	2013	123	8135691	1.51185682937073
1-4 years	M	2014	100	8137871	1.22882262449233
1-4 years	M	2015	109	8142467	1.33866062951192
1-4 years	M	2016	93	8156375	1.14021241053777
1-4 years	M	2017	111	8180818	1.35683253190573
1-4 years	M	2018	80	8163697	0.979948177890483
1-4 years	M	2019	105	8074090	1.3004561504764
1-4 years	M	2020	93	7953016	1.16936769648144
1-4 years	M	2021	88	7802850	1.12779304997533
1-4 years	M	2022	99	7592228	1.30396505479024
10-14 years	F	2000	102	10007875	1.01919738206163
10-14 years	F	2001	107	10231469	1.0457931309766
10-14 years	F	2002	95	10371422	0.915978541804586
10-14 years	F	2003	86	10444875	0.823370313191876
10-14 years	F	2004	101	10443706	0.967089651891771
10-14 years	F	2005	82	10348382	0.792394405231658
10-14 years	F	2006	97	10261944	0.94524000520759
10-14 years	F	2007	90	10170082	0.884948616933472
10-14 years	F	2008	90	10108474	0.890342103071146
10-14 years	F	2009	67	10088732	0.664107243606035
10-14 years	F	2010	72	10097332	0.713059647835686
10-14 years	F	2011	78	10117822	0.77091690286704
10-14 years	F	2012	73	10102004	0.722628896207129
10-14 years	F	2013	69	10097931	0.683308293550431
10-14 years	F	2014	77	10120287	0.760847987809041
10-14 years	F	2015	78	10101942	0.772128764944404
10-14 years	F	2016	72	10099501	0.712906508945343
10-14 years	F	2017	78	10173382	0.766706686134463
10-14 years	F	2018	69	10220687	0.675101389955489
10-14 years	F	2019	73	10180007	0.71709184482879
10-14 years	F	2020	78	10159455	0.767757719287107
10-14 years	F	2021	82	10459561	0.78397171735984
10-14 years	F	2022	98	10187986	0.961917301417572
10-14 years	M	2000	131	10520197	1.24522382993398
10-14 years	M	2001	119	10747209	1.10726422087818
10-14 years	M	2002	137	10889999	1.25803500992057
10-14 years	M	2003	130	10970478	1.1849985023442
10-14 years	M	2004	119	10967974	1.08497704316221
10-14 years	M	2005	121	10864197	1.11375005442188
10-14 years	M	2006	129	10771194	1.19763881330148
10-14 years	M	2007	99	10670960	0.927751579989054
10-14 years	M	2008	107	10598181	1.00960721467203
10-14 years	M	2009	106	10571832	1.00266443885979
10-14 years	M	2010	94	10579862	0.88848039794848
10-14 years	M	2011	90	10587030	0.850096769348911
10-14 years	M	2012	96	10567214	0.908470293116047
10-14 years	M	2013	87	10552523	0.824447385710507
10-14 years	M	2014	100	10551219	0.947757789881908
10-14 years	M	2015	95	10520388	0.903008520218076
10-14 years	M	2016	102	10518732	0.969698629074303
10-14 years	M	2017	95	10605072	0.895797784305472
10-14 years	M	2018	92	10658840	0.863133324076541
10-14 years	M	2019	73	10618261	0.687494873218882
10-14 years	M	2020	87	10594968	0.821144528232648
10-14 years	M	2021	115	10988223	1.04657504675688
