Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	790	45676672	1.72954807215377
1-4 years	M	968	47757977	2.02688652410884
10-14 years	F	479	61847729	0.774482762333925
10-14 years	M	572	64960054	0.88054113994425
15-19 years	F	527	60483811	0.87130753053904
15-19 years	M	799	64188665	1.2447680599059
20-24 years	F	800	59376552	1.34733320318095
20-24 years	M	1098	61985703	1.77137621557668
25-29 years	F	952	56633003	1.68099862195194
25-29 years	M	1191	57672370	2.06511367575149
30-34 years	F	1485	60792859	2.44272110972771
30-34 years	M	1800	61383658	2.93237656185299
35-39 years	F	2670	64957965	4.11035043970358
35-39 years	M	2941	64673296	4.54747195813246
40-44 years	F	4814	68912428	6.98567753265057
40-44 years	M	5414	67757258	7.99028791867581
45-49 years	F	7749	65053497	11.9117347373347
45-49 years	M	9233	63195287	14.6102667434678
5-9 years	F	355	58128639	0.61071445350716
5-9 years	M	453	60930800	0.743466358557577
50-54 years	F	11900	58107486	20.4792890196626
50-54 years	M	14464	55645932	25.99291534914
55-59 years	F	19407	47669658	40.7114311581593
55-59 years	M	22479	44836574	50.1354095431109
60-64 years	F	30756	37430470	82.16835107868
60-64 years	M	35347	34102355	103.649733280883
65-69 years	F	47412	31525239	150.393784484869
65-69 years	M	54519	27391872	199.033494315394
70-74 years	F	76348	28979391	263.456192022807
70-74 years	M	86757	23317343	372.07069433254
75-79 years	F	112429	26104765	430.683823432235
75-79 years	M	119839	18659772	642.231855780446
80-84 years	F	136759	19836633	689.426476761454
80-84 years	M	129452	12079635	1071.6548968574
< 1 year	F	1652	11614007	14.2242035845165
< 1 year	M	2345	12150282	19.2999635728619
