Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2006	126	7775092	1.62055960238155
1-4 years	F	2007	127	7813088	1.62547766004939
1-4 years	F	2008	153	7891294	1.93884551760459
1-4 years	F	2009	172	7943260	2.1653578001979
1-4 years	F	2010	122	7952058	1.53419404134125
1-4 years	F	2011	123	7909731	1.55504656226615
1-4 years	F	2012	111	7856870	1.41277633459635
1-4 years	M	2006	163	8122053	2.00688175760488
1-4 years	M	2007	164	8164877	2.00860343640204
1-4 years	M	2008	176	8247098	2.1340840135524
1-4 years	M	2009	164	8297671	1.97645821339506
1-4 years	M	2010	160	8305151	1.92651524337125
1-4 years	M	2011	162	8255790	1.96225921444223
1-4 years	M	2012	153	8199397	1.86599087713401
10-14 years	F	2006	46	10261944	0.448258146799476
10-14 years	F	2007	65	10170082	0.639129556674174
10-14 years	F	2008	80	10108474	0.791415202729908
10-14 years	F	2009	105	10088732	1.04076508326319
10-14 years	F	2010	63	10097332	0.623927191856225
10-14 years	F	2011	75	10117822	0.741266252756769
10-14 years	F	2012	64	10102004	0.633537662428168
10-14 years	M	2006	87	10771194	0.807709897342857
10-14 years	M	2007	98	10670960	0.918380351908357
10-14 years	M	2008	72	10598181	0.679361864078373
10-14 years	M	2009	117	10571832	1.1067145221377
10-14 years	M	2010	83	10579862	0.784509287550254
10-14 years	M	2011	96	10587030	0.906769887305505
10-14 years	M	2012	70	10567214	0.662426255397118
15-19 years	F	2006	87	10597293	0.820964372694046
15-19 years	F	2007	89	10731326	0.829347650048093
15-19 years	F	2008	91	10805148	0.84219114814531
15-19 years	F	2009	143	10804571	1.32351390906682
15-19 years	F	2010	66	10736677	0.614715335107874
15-19 years	F	2011	76	10525097	0.722083606450373
15-19 years	F	2012	67	10397841	0.64436453683029
15-19 years	M	2006	113	11210416	1.00799113966868
15-19 years	M	2007	116	11336490	1.02324440810163
15-19 years	M	2008	110	11405732	0.964427359857307
15-19 years	M	2009	166	11388239	1.45764415376249
15-19 years	M	2010	107	11303666	0.946595555813486
15-19 years	M	2011	129	11118946	1.16018190932846
15-19 years	M	2012	100	10962861	0.912170645965501
20-24 years	F	2006	107	10238784	1.04504597420944
20-24 years	F	2007	114	10270163	1.11001159377899
20-24 years	F	2008	136	10339566	1.31533567269651
20-24 years	F	2009	208	10459413	1.98863932421447
20-24 years	F	2010	143	10571823	1.3526522341511
20-24 years	F	2011	145	10841132	1.33749870400988
20-24 years	F	2012	97	11033747	0.879121118147806
20-24 years	M	2006	166	10797351	1.5374141305585
20-24 years	M	2007	194	10807836	1.7949939284793
20-24 years	M	2008	211	10841046	1.94630665712515
20-24 years	M	2009	297	10924709	2.71860788237014
20-24 years	M	2010	193	11014176	1.75228723419709
20-24 years	M	2011	222	11312700	1.96239624492827
20-24 years	M	2012	182	11549456	1.57583179675302
25-29 years	F	2006	158	10014422	1.57772460557384
25-29 years	F	2007	170	10229259	1.66189945918859
25-29 years	F	2008	180	10393532	1.73184630595259
25-29 years	F	2009	343	10466871	3.27700608902126
25-29 years	F	2010	173	10466258	1.65293078003619
25-29 years	F	2011	203	10518279	1.92997352513657
25-29 years	F	2012	179	10553440	1.69612941372671
25-29 years	M	2006	214	10095589	2.11973763987421
25-29 years	M	2007	238	10313439	2.30766866415751
25-29 years	M	2008	228	10509136	2.16954086425373
25-29 years	M	2009	377	10611357	3.55279725298093
25-29 years	M	2010	246	10635591	2.31298853067968
25-29 years	M	2011	276	10761515	2.5646946549812
25-29 years	M	2012	225	10844886	2.07471060553334
30-34 years	F	2006	253	9611918	2.63214896340148
30-34 years	F	2007	216	9559334	2.25957163961422
30-34 years	F	2008	229	9625879	2.37900351749695
30-34 years	F	2009	359	9800559	3.66305636239729
30-34 years	F	2010	236	9965599	2.36814666132964
30-34 years	F	2011	269	10228056	2.63002079769606
30-34 years	F	2012	243	10417089	2.33270542279134
30-34 years	M	2006	248	9673250	2.56377122476934
30-34 years	M	2007	264	9611431	2.74672938920334
30-34 years	M	2008	278	9678926	2.87221950038672
30-34 years	M	2009	373	9844555	3.78889650167021
30-34 years	M	2010	313	9996500	3.13109588355925
30-34 years	M	2011	352	10282648	3.42324272891574
30-34 years	M	2012	310	10493906	2.95409545311345
35-39 years	F	2006	355	10489448	3.38435349505522
35-39 years	F	2007	367	10502839	3.49429330488642
35-39 years	F	2008	374	10437809	3.58312745519678
35-39 years	F	2009	491	10292169	4.7706173499483
