Gender	Year	AA_rate	Deaths	Population	Crude Rate
F	2000	48.2547763788794	75613	140355754	53.8723905825763
F	2001	47.539110799062	75474	142026033	53.1409618404254
F	2002	47.442988501684	76316	143317188	53.2497190776587
F	2003	47.548327981177	77225	144551061	53.4240284822261
F	2004	45.4519145990317	74554	145810702	51.1306776370914
F	2005	47.1757248278576	78102	147070066	53.1053001635289
F	2006	44.3863695315837	74002	148385108	49.8715814527695
F	2007	43.5165043384907	73275	149720044	48.9413428171314
F	2008	46.7788855074366	79670	151070989	52.7367964738749
F	2009	45.9081118414248	78860	152332121	51.7684645118281
F	2010	44.0524677295319	76459	153260458	49.8882758134522
F	2011	45.1060303599953	79637	154457950	51.5590165478695
F	2012	43.8149689411449	78846	155498676	50.7052548794692
F	2013	45.3950287349821	83294	156478230	53.2304078337287
F	2014	44.5974820486742	83527	157867207	52.9096584321024
F	2015	45.2846066264291	86726	159076660	54.5183686909192
F	2016	44.3842186092939	86870	159893102	54.330048584585
F	2017	45.0924787662617	90970	161122046	56.4603058727295
F	2018	44.300846236297	91874	161819945	56.7754487866128
F	2019	42.1074308595548	89831	162353729	55.3304199129297
F	2020	41.3169565925474	90207	162984194	55.3470847608695
F	2021	38.997705231311	85257	163709190	52.0783225425524
F	2022	40.1314040595303	90674	163801963	55.3558689647694
M	2000	71.1212693758136	81944	136826565	59.8889550431965
M	2001	68.5606610882988	80902	138630428	58.3580395495858
M	2002	68.181248835293	81887	139939197	58.5161282581892
M	2003	67.007640519648	82092	141090696	58.1838507622076
M	2004	64.0826727984054	79783	142448713	56.0082280280061
M	2005	65.5118237415675	83063	143753234	57.7816565852007
M	2006	61.3277530214702	78961	145128875	54.407505053698
M	2007	60.273679504786	79169	146471618	54.0507444930389
M	2008	63.0643600585131	84500	147827137	57.161358675302
M	2009	60.6134503033697	83007	149072107	55.6824490311927
M	2010	59.1996074151399	82107	149991647	54.7410483465123
M	2011	59.3959412984096	84785	151396794	56.0018463799174
M	2012	57.2631222517325	83831	152528034	54.9610440792805
M	2013	58.9968127776289	88930	153609820	57.8934341567486
M	2014	57.7795030119935	89728	154827618	57.9534847587722
M	2015	57.8749621476679	92085	156054999	59.0080424145849
M	2016	56.8806371399304	92996	156854080	59.2882250815535
M	2017	56.7513367853456	95972	158128450	60.6924307422225
M	2018	56.7779427202859	99365	158802986	62.5712415760243
M	2019	53.629816745011	96619	159280836	60.6595259206198
M	2020	54.4947040538534	100906	159841509	63.1287834000616
M	2021	50.7409121813481	95424	162208799	58.8278814640629
M	2022	50.7332887116988	98080	162999726	60.1718802889276
