Age_groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	127	7508434	1.69143126249761
1-4 years	F	2001	133	7468536	1.78080416295777
1-4 years	F	2002	115	7564711	1.52021670094205
1-4 years	F	2003	142	7636693	1.85944360995001
1-4 years	F	2004	147	7713175	1.90582995977662
1-4 years	F	2005	126	7785123	1.61847153859997
1-4 years	F	2006	126	7775092	1.62055960238155
1-4 years	F	2007	127	7813088	1.62547766004939
1-4 years	F	2008	153	7891294	1.93884551760459
1-4 years	F	2009	172	7943260	2.1653578001979
1-4 years	F	2010	122	7952058	1.53419404134125
1-4 years	F	2011	123	7909731	1.55504656226615
1-4 years	F	2012	111	7856870	1.41277633459635
1-4 years	F	2013	131	7790614	1.68151059723919
1-4 years	F	2014	134	7790662	1.72000787609577
1-4 years	F	2015	98	7786776	1.25854397249902
1-4 years	F	2016	117	7800517	1.49990058351261
1-4 years	F	2017	116	7818747	1.48361367876464
1-4 years	F	2018	118	7798370	1.51313671959653
1-4 years	F	2019	122	7719541	1.58040484531399
1-4 years	F	2020	98	7613266	1.28722679596378
1-4 years	F	2021	93	7459995	1.24664962912174
1-4 years	F	2022	137	7263012	1.8862697734769
1-4 years	M	2000	136	7861716	1.72990222490866
1-4 years	M	2001	148	7817023	1.89330388307672
1-4 years	M	2002	175	7913020	2.21154502326545
1-4 years	M	2003	200	7979882	2.50630272477713
1-4 years	M	2004	150	8058452	1.86139968321459
1-4 years	M	2005	159	8127884	1.95622870601992
1-4 years	M	2006	163	8122053	2.00688175760488
1-4 years	M	2007	164	8164877	2.00860343640204
1-4 years	M	2008	176	8247098	2.1340840135524
1-4 years	M	2009	164	8297671	1.97645821339506
1-4 years	M	2010	160	8305151	1.92651524337125
1-4 years	M	2011	162	8255790	1.96225921444223
1-4 years	M	2012	153	8199397	1.86599087713401
1-4 years	M	2013	166	8135691	2.04039214370359
1-4 years	M	2014	168	8137871	2.06442200914711
1-4 years	M	2015	144	8142467	1.76850578577721
1-4 years	M	2016	160	8156375	1.96165576006498
1-4 years	M	2017	146	8180818	1.78466260953367
1-4 years	M	2018	175	8163697	2.14363663913543
1-4 years	M	2019	147	8074090	1.82063861066696
1-4 years	M	2020	110	7953016	1.38312308185976
1-4 years	M	2021	97	7802850	1.24313552099553
1-4 years	M	2022	163	7592228	2.14693236293747
10-14 years	F	2000	81	10007875	0.809362626931292
10-14 years	F	2001	76	10231469	0.742806336020761
10-14 years	F	2002	104	10371422	1.00275545629134
10-14 years	F	2003	91	10444875	0.871240680237916
10-14 years	F	2004	66	10443706	0.631959574503534
10-14 years	F	2005	61	10348382	0.589464130721112
10-14 years	F	2006	46	10261944	0.448258146799476
10-14 years	F	2007	65	10170082	0.639129556674174
10-14 years	F	2008	80	10108474	0.791415202729908
10-14 years	F	2009	105	10088732	1.04076508326319
10-14 years	F	2010	63	10097332	0.623927191856225
10-14 years	F	2011	75	10117822	0.741266252756769
10-14 years	F	2012	64	10102004	0.633537662428168
10-14 years	F	2013	85	10097931	0.841756593504154
10-14 years	F	2014	68	10120287	0.671917703519673
10-14 years	F	2015	77	10101942	0.762229678214347
10-14 years	F	2016	63	10099501	0.623793195327175
10-14 years	F	2017	79	10173382	0.776536259033623
10-14 years	F	2018	90	10220687	0.880567030376725
10-14 years	F	2019	81	10180007	0.79567725248126
10-14 years	F	2020	76	10159455	0.748071623920771
10-14 years	F	2021	48	10459561	0.458910273576491
10-14 years	F	2022	67	10187986	0.657637338724258
10-14 years	M	2000	97	10520197	0.922035965676308
10-14 years	M	2001	90	10747209	0.837426721672576
10-14 years	M	2002	97	10889999	0.890725517972959
10-14 years	M	2003	112	10970478	1.020921786635
10-14 years	M	2004	95	10967974	0.866158143700924
10-14 years	M	2005	81	10864197	0.745568218249356
10-14 years	M	2006	87	10771194	0.807709897342857
10-14 years	M	2007	98	10670960	0.918380351908357
10-14 years	M	2008	72	10598181	0.679361864078373
10-14 years	M	2009	117	10571832	1.1067145221377
10-14 years	M	2010	83	10579862	0.784509287550254
10-14 years	M	2011	96	10587030	0.906769887305505
10-14 years	M	2012	70	10567214	0.662426255397118
10-14 years	M	2013	98	10552523	0.928687859765859
10-14 years	M	2014	82	10551219	0.777161387703165
10-14 years	M	2015	93	10520388	0.883997814529274
10-14 years	M	2016	90	10518732	0.855616437418502
10-14 years	M	2017	80	10605072	0.754356028888818
10-14 years	M	2018	78	10658840	0.731786948673589
10-14 years	M	2019	110	10618261	1.03595117882297
10-14 years	M	2020	113	10594968	1.06654404241712
10-14 years	M	2021	57	10988223	0.518737197088192
10-14 years	M	2022	101	10701853	0.943761795270408
15-19 years	F	2000	92	9828886	0.936016553656233
15-19 years	F	2001	91	9908897	0.918366595192179
15-19 years	F	2002	88	9981879	0.881597542907503
15-19 years	F	2003	100	10086567	0.991417595302743
15-19 years	F	2004	92	10242793	0.89819251448311
15-19 years	F	2005	64	10434789	0.613332957666897
15-19 years	F	2006	87	10597293	0.820964372694046
15-19 years	F	2007	89	10731326	0.829347650048093
15-19 years	F	2008	91	10805148	0.84219114814531
15-19 years	F	2009	143	10804571	1.32351390906682
15-19 years	F	2010	66	10736677	0.614715335107874
15-19 years	F	2011	76	10525097	0.722083606450373
15-19 years	F	2012	67	10397841	0.64436453683029
15-19 years	F	2013	83	10312774	0.804827100836303
15-19 years	F	2014	75	10283624	0.72931487965721
15-19 years	F	2015	80	10311036	0.775867720760552
15-19 years	F	2016	77	10328153	0.745535043874737
15-19 years	F	2017	73	10331169	0.706599611331496
15-19 years	F	2018	77	10322313	0.745956841262225
15-19 years	F	2019	84	10308963	0.814824924679621
15-19 years	F	2020	102	10266332	0.993538880293371
15-19 years	F	2021	71	10541690	0.673516295774207
15-19 years	F	2022	92	10553749	0.871728141345791
15-19 years	M	2000	135	10391004	1.29920073170985
15-19 years	M	2001	114	10547387	1.08083641948475
15-19 years	M	2002	148	10628491	1.39248365548788
15-19 years	M	2003	137	10710599	1.27910679878875
15-19 years	M	2004	131	10859759	1.2062882795097
15-19 years	M	2005	134	11051425	1.21251331841821
15-19 years	M	2006	113	11210416	1.00799113966868
15-19 years	M	2007	116	11336490	1.02324440810163
15-19 years	M	2008	110	11405732	0.964427359857307
15-19 years	M	2009	166	11388239	1.45764415376249
15-19 years	M	2010	107	11303666	0.946595555813486
15-19 years	M	2011	129	11118946	1.16018190932846
15-19 years	M	2012	100	10962861	0.912170645965501
15-19 years	M	2013	97	10846190	0.894323260057218
15-19 years	M	2014	108	10784023	1.00148154357608
15-19 years	M	2015	106	10797867	0.981675362365549
15-19 years	M	2016	122	10801846	1.12943657963648
15-19 years	M	2017	119	10800491	1.10180176067921
15-19 years	M	2018	119	10774908	1.10441778249986
15-19 years	M	2019	110	10745607	1.02367413958095
15-19 years	M	2020	109	10694597	1.01920624030994
15-19 years	M	2021	89	11022976	0.807404461372319
15-19 years	M	2022	119	11082043	1.07380922452656
20-24 years	F	2000	138	9276187	1.48768022895614
20-24 years	F	2001	133	9676950	1.37439999173293
20-24 years	F	2002	132	9916245	1.33114903877425
20-24 years	F	2003	156	10093723	1.54551497004624
20-24 years	F	2004	126	10190641	1.23642860149818
20-24 years	F	2005	115	10222806	1.12493575638626
20-24 years	F	2006	107	10238784	1.04504597420944
20-24 years	F	2007	114	10270163	1.11001159377899
20-24 years	F	2008	136	10339566	1.31533567269651
20-24 years	F	2009	208	10459413	1.98863932421447
20-24 years	F	2010	143	10571823	1.3526522341511
20-24 years	F	2011	145	10841132	1.33749870400988
20-24 years	F	2012	97	11033747	0.879121118147806
20-24 years	F	2013	125	11116473	1.12445737060667
20-24 years	F	2014	147	11172747	1.31570150116171
20-24 years	F	2015	134	11071459	1.21031925421934
20-24 years	F	2016	151	10889963	1.38659791589742
20-24 years	F	2017	132	10769493	1.22568444029816
20-24 years	F	2018	143	10672032	1.33995100464466
20-24 years	F	2019	143	10568188	1.35311748806891
20-24 years	F	2020	154	10561909	1.45806974856534
20-24 years	F	2021	128	10550759	1.21318286201021
20-24 years	F	2022	150	11103791	1.35088997982761
20-24 years	M	2000	187	9687814	1.93026001531408
20-24 years	M	2001	190	10080336	1.88485780632709
20-24 years	M	2002	164	10327520	1.5879901467148
20-24 years	M	2003	211	10497965	2.00991334987305
20-24 years	M	2004	182	10654919	1.70813123966498
20-24 years	M	2005	164	10737149	1.52740732199954
20-24 years	M	2006	166	10797351	1.5374141305585
20-24 years	M	2007	194	10807836	1.7949939284793
20-24 years	M	2008	211	10841046	1.94630665712515
20-24 years	M	2009	297	10924709	2.71860788237014
20-24 years	M	2010	193	11014176	1.75228723419709
20-24 years	M	2011	222	11312700	1.96239624492827
20-24 years	M	2012	182	11549456	1.57583179675302
20-24 years	M	2013	199	11678965	1.70391811260673
20-24 years	M	2014	213	11739427	1.81439860735963
20-24 years	M	2015	241	11667854	2.06550407641371
20-24 years	M	2016	205	11491065	1.78399478203282
20-24 years	M	2017	211	11349142	1.85917138053255
20-24 years	M	2018	216	11201547	1.92830508143206
20-24 years	M	2019	190	11064752	1.71716456003713
20-24 years	M	2020	208	11032846	1.88527964588647
20-24 years	M	2021	180	10973238	1.6403544696652
20-24 years	M	2022	198	11601988	1.70660407509472
25-29 years	F	2000	175	9582576	1.82623127643339
25-29 years	F	2001	176	9303113	1.89183986048541
25-29 years	F	2002	168	9248586	1.8164938943099
25-29 years	F	2003	151	9307104	1.62241659704243
25-29 years	F	2004	132	9479080	1.39254020432363
25-29 years	F	2005	150	9712544	1.54439454791659
25-29 years	F	2006	158	10014422	1.57772460557384
25-29 years	F	2007	170	10229259	1.66189945918859
25-29 years	F	2008	180	10393532	1.73184630595259
25-29 years	F	2009	343	10466871	3.27700608902126
25-29 years	F	2010	173	10466258	1.65293078003619
25-29 years	F	2011	203	10518279	1.92997352513657
25-29 years	F	2012	179	10553440	1.69612941372671
25-29 years	F	2013	187	10620319	1.7607757356441
25-29 years	F	2014	224	10826549	2.06898800347184
25-29 years	F	2015	190	11052155	1.71912174594004
25-29 years	F	2016	211	11259410	1.87398806864658
25-29 years	F	2017	192	11468230	1.67419035021097
25-29 years	F	2018	200	11542918	1.73266413224108
25-29 years	F	2019	216	11504446	1.87753499820852
25-29 years	F	2020	228	11356117	2.00772852199392
25-29 years	F	2021	181	11013419	1.64344968624185
25-29 years	F	2022	232	10840422	2.14013808687522
25-29 years	M	2000	219	9798760	2.23497667051749
25-29 years	M	2001	179	9516234	1.88099620080801
25-29 years	M	2002	187	9442754	1.98035446015008
25-29 years	M	2003	222	9464481	2.34561197808945
25-29 years	M	2004	191	9627975	1.98380240912549
25-29 years	M	2005	193	9822166	1.96494337399714
25-29 years	M	2006	214	10095589	2.11973763987421
25-29 years	M	2007	238	10313439	2.30766866415751
25-29 years	M	2008	228	10509136	2.16954086425373
25-29 years	M	2009	377	10611357	3.55279725298093
25-29 years	M	2010	246	10635591	2.31298853067968
25-29 years	M	2011	276	10761515	2.5646946549812
25-29 years	M	2012	225	10844886	2.07471060553334
25-29 years	M	2013	255	10959879	2.32666802252105
25-29 years	M	2014	324	11161389	2.90286450906782
25-29 years	M	2015	251	11409399	2.19994059283929
25-29 years	M	2016	273	11631474	2.34708000035077
25-29 years	M	2017	266	11902230	2.23487531328163
25-29 years	M	2018	268	12018838	2.22983286737037
25-29 years	M	2019	295	12004570	2.45739747446181
25-29 years	M	2020	343	11875126	2.88839040528917
25-29 years	M	2021	271	11379058	2.38156796458898
25-29 years	M	2022	291	11352742	2.56325740512733
30-34 years	F	2000	271	10188619	2.6598305422943
30-34 years	F	2001	269	10263930	2.62082847408351
30-34 years	F	2002	256	10270193	2.49265033286132
30-34 years	F	2003	242	10193818	2.37398784243548
30-34 years	F	2004	194	10041145	1.93205057789724
30-34 years	F	2005	253	9835154	2.57240506859374
30-34 years	F	2006	253	9611918	2.63214896340148
