Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	174	54505227	0.319235437731504
1-4 years	M	248	56991009	0.435156359488213
10-14 years	F	151	70993737	0.212694818417574
10-14 years	M	195	74025035	0.263424394193127
15-19 years	F	234	72198032	0.32410855741885
15-19 years	M	298	75550932	0.394435901862865
20-24 years	F	484	76260355	0.63466790837782
20-24 years	M	713	80192752	0.889107783705939
25-29 years	F	1349	78274027	1.72343247396739
25-29 years	M	2054	81087779	2.53305741670394
30-34 years	F	2999	75810445	3.9559192667976
30-34 years	M	4573	76984052	5.94019135287917
35-39 years	F	4883	72640928	6.72210575283399
35-39 years	M	7417	72566087	10.2210279024691
40-44 years	F	7565	70787626	10.6868960402769
40-44 years	M	11718	69843523	16.7775041931948
45-49 years	F	12797	73724569	17.3578498641342
45-49 years	M	21021	72291990	29.0779102913061
5-9 years	F	125	69819546	0.179032960197134
5-9 years	M	139	72883351	0.190715709545243
50-54 years	F	20875	77339639	26.9913336419892
50-54 years	M	35983	74726578	48.152880759507
55-59 years	F	27798	78300582	35.5016518268025
55-59 years	M	49978	74019679	67.5198821113504
60-64 years	F	30631	71002917	43.1404811157266
60-64 years	M	52733	65128628	80.9674664112378
65-69 years	F	32274	60339950	53.4869518453363
65-69 years	M	46670	53859859	86.6508024092674
70-74 years	F	34319	45862200	74.8306884536721
70-74 years	M	39416	39393089	100.058159947802
75-79 years	F	35353	33154498	106.631082153619
75-79 years	M	34520	26598427	129.782110799259
80-84 years	F	38959	24206738	160.942792044099
80-84 years	M	32175	17397051	184.94513811565
< 1 year	F	515	13389903	3.84618170870991
< 1 year	M	711	14018968	5.07169999960054
