Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2013	21	7790614	0.269555133908573
1-4 years	F	2014	24	7790662	0.308061112136555
1-4 years	F	2015	26	7786776	0.333899421275249
1-4 years	F	2016	33	7800517	0.423048882529196
1-4 years	F	2017	20	7818747	0.255795461855973
1-4 years	F	2018	25	7798370	0.320579813473841
1-4 years	F	2019	25	7719541	0.323853451908604
1-4 years	M	2013	46	8135691	0.565409871146778
1-4 years	M	2014	38	8137871	0.466952597307084
1-4 years	M	2015	42	8142467	0.515814187518353
1-4 years	M	2016	37	8156375	0.453632894515027
1-4 years	M	2017	37	8180818	0.452277510635245
1-4 years	M	2018	28	8163697	0.342981862261669
1-4 years	M	2019	20	8074090	0.247705933424076
10-14 years	F	2013	23	10097931	0.227769431183477
10-14 years	F	2014	13	10120287	0.128454855084643
10-14 years	F	2015	27	10101942	0.267275341711524
10-14 years	F	2016	32	10099501	0.316847337309041
10-14 years	F	2017	21	10173382	0.206421030882356
10-14 years	F	2018	17	10220687	0.166329327960048
10-14 years	F	2019	18	10180007	0.176817167218058
10-14 years	M	2013	31	10552523	0.293768608701445
10-14 years	M	2014	29	10551219	0.274849759065753
10-14 years	M	2015	24	10520388	0.228128468265619
10-14 years	M	2016	28	10518732	0.266191780530201
10-14 years	M	2017	30	10605072	0.282883510833307
10-14 years	M	2018	27	10658840	0.25331086684855
10-14 years	M	2019	26	10618261	0.244861187721794
15-19 years	F	2013	31	10312774	0.30059807380633
15-19 years	F	2014	37	10283624	0.35979534063089
15-19 years	F	2015	29	10311036	0.2812520487757
15-19 years	F	2016	39	10328153	0.377608658585906
15-19 years	F	2017	33	10331169	0.319421742108758
15-19 years	F	2018	42	10322313	0.406885549779395
15-19 years	F	2019	23	10308963	0.223106824614658
15-19 years	M	2013	49	10846190	0.451771543740244
15-19 years	M	2014	31	10784023	0.287462294915358
15-19 years	M	2015	45	10797867	0.416748974589148
15-19 years	M	2016	48	10801846	0.444368490348779
15-19 years	M	2017	35	10800491	0.324059341376239
15-19 years	M	2018	43	10774908	0.399075333172218
15-19 years	M	2019	47	10745607	0.437388041457314
20-24 years	F	2013	81	11116473	0.72864837615312
20-24 years	F	2014	71	11172747	0.635474874710758
20-24 years	F	2015	66	11071459	0.596127393869227
20-24 years	F	2016	84	10889963	0.771352483015783
20-24 years	F	2017	67	10769493	0.622127708333159
20-24 years	F	2018	52	10672032	0.487254910779878
20-24 years	F	2019	63	10568188	0.596128683554835
20-24 years	M	2013	102	11678965	0.873365062743146
20-24 years	M	2014	103	11739427	0.877385242056533
20-24 years	M	2015	105	11667854	0.899908415035018
20-24 years	M	2016	100	11491065	0.870241357089182
20-24 years	M	2017	100	11349142	0.881123877029647
20-24 years	M	2018	104	11201547	0.928443187356175
20-24 years	M	2019	99	11064752	0.894733112861454
25-29 years	F	2013	171	10620319	1.61012112724674
25-29 years	F	2014	180	10826549	1.66257964564701
25-29 years	F	2015	211	11052155	1.90912993891237
25-29 years	F	2016	178	11259410	1.58089988729427
25-29 years	F	2017	209	11468230	1.8224259541359
25-29 years	F	2018	214	11542918	1.85395062149796
25-29 years	F	2019	186	11504446	1.61676624845734
25-29 years	M	2013	259	10959879	2.3631647758155
25-29 years	M	2014	254	11161389	2.27570242377539
25-29 years	M	2015	268	11409399	2.34894055331048
25-29 years	M	2016	306	11631474	2.63079296742614
25-29 years	M	2017	308	11902230	2.58775036274715
25-29 years	M	2018	319	12018838	2.6541667339222
25-29 years	M	2019	340	12004570	2.83225471632886
30-34 years	F	2013	334	10582777	3.15607141679353
30-34 years	F	2014	348	10719741	3.2463470899157
30-34 years	F	2015	410	10785909	3.80125587931439
30-34 years	F	2016	437	10818095	4.0395282163819
30-34 years	F	2017	453	10883081	4.16242422527224
30-34 years	F	2018	502	10944147	4.58692669241376
30-34 years	F	2019	515	11076695	4.64940128801958
30-34 years	M	2013	545	10681612	5.10222614339484
30-34 years	M	2014	540	10808825	4.99591768763025
30-34 years	M	2015	661	10889739	6.06993427482514
30-34 years	M	2016	672	10968264	6.1267671894112
