Gender	Year	AA_rate	Deaths	Population	Crude Rate
F	2000	18.9214965671357	28887	140355754	20.5812723573841
F	2001	19.1259578059065	29660	142026033	20.8834953518698
F	2002	18.9574477290011	29815	143317188	20.8035061363331
F	2003	18.9104999747817	30085	144551061	20.8127147541311
F	2004	18.4114191108736	29688	145810702	20.3606454072212
F	2005	18.1576947498643	29643	147070066	20.155699120989
F	2006	18.0514141180175	29775	148385108	20.0660298067108
F	2007	17.9365575601238	29951	149720044	20.0046695150584
F	2008	18.0558548599893	30547	151070989	20.2202952414643
F	2009	17.4638564920411	29928	152332121	19.6465458522697
F	2010	17.4638612903749	30329	153260458	19.7891878934617
F	2011	17.7908451085827	31434	154457950	20.3511700109965
F	2012	17.6988237830018	31809	155498676	20.4561227260867
F	2013	17.8212355485804	32612	156478230	20.8412377875184
F	2014	18.1759202713006	33903	157867207	21.4756444002965
F	2015	18.7335360730298	35494	159076660	22.3125127218537
F	2016	18.6005908350042	35858	159893102	22.4262332467601
F	2017	18.6569937042582	36758	161122046	22.813761935471
F	2018	18.6535132895776	37474	161819945	23.1578375582812
F	2019	19.2154946039757	39386	162353729	24.2593750341269
F	2020	21.2854409630369	43806	162984194	26.8774529142378
F	2021	23.2660336927116	47992	163709190	29.3153976267307
F	2022	22.7056560496867	47880	163801963	29.230418929717
M	2000	29.473240778354	36441	136826565	26.632986072551
M	2001	29.2769281339761	37164	138630428	26.8079674398755
M	2002	29.1779450848501	37815	139939197	27.0224503289096
M	2003	29.1874315522157	38639	141090696	27.3859305364827
M	2004	27.9975678667135	37814	142448713	26.5456943791412
M	2005	27.8860029815832	38540	143753234	26.8098316313357
M	2006	27.3543202919127	38584	145128875	26.586025696127
M	2007	27.6326595336616	39903	146471618	27.2428205169414
M	2008	27.731728902596	40868	147827137	27.645803625352
M	2009	26.744826262121	40469	149072107	27.1472650480482
M	2010	27.0723705577368	41645	149991647	27.7648794669212
M	2011	27.0778721755666	42744	151396794	28.2330945528477
M	2012	27.1918255036433	43913	152528034	28.7901173629498
M	2013	27.4818351988174	45291	153609820	29.484443116983
M	2014	27.5560755266272	46416	154827618	29.9791475187586
M	2015	27.9935347694429	48003	156054999	30.7603090625761
M	2016	27.8473626138791	48609	156854080	30.989949384804
M	2017	27.7952344292426	49355	158128450	31.2119672329679
M	2018	28.055444874043	50665	158802986	31.9043119252178
M	2019	28.4999933648062	52223	159280836	32.7867440374308
M	2020	31.9153557908763	58894	159841509	36.8452477510082
M	2021	34.186070249472	64169	162208799	39.5595062632823
M	2022	32.919890426352	62801	162999726	38.5282856242347
