Age_groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	37	7508434	0.492779186711903
1-4 years	F	2001	46	7468536	0.615917229293666
1-4 years	F	2002	55	7564711	0.727060161320109
1-4 years	F	2003	57	7636693	0.746396378641907
1-4 years	F	2004	47	7713175	0.609346993942183
1-4 years	F	2005	51	7785123	0.655095622766654
1-4 years	F	2006	52	7775092	0.668802375586038
1-4 years	F	2007	67	7813088	0.857535458451255
1-4 years	F	2008	54	7891294	0.684298417978091
1-4 years	F	2009	32	7943260	0.402857265153098
1-4 years	F	2010	35	7952058	0.440137634811014
1-4 years	F	2011	33	7909731	0.417207614266528
1-4 years	F	2012	26	7856870	0.330920582878424
1-4 years	F	2013	21	7790614	0.269555133908573
1-4 years	F	2014	24	7790662	0.308061112136555
1-4 years	F	2015	26	7786776	0.333899421275249
1-4 years	F	2016	33	7800517	0.423048882529196
1-4 years	F	2017	20	7818747	0.255795461855973
1-4 years	F	2018	25	7798370	0.320579813473841
1-4 years	F	2019	25	7719541	0.323853451908604
1-4 years	F	2020	25	7613266	0.328374182643822
1-4 years	F	2021	25	7459995	0.335120868043477
1-4 years	F	2022	40	7263012	0.550735700285226
1-4 years	M	2000	70	7861716	0.890390851055927
1-4 years	M	2001	72	7817023	0.921066753929213
1-4 years	M	2002	74	7913020	0.935167609837963
1-4 years	M	2003	73	7979882	0.914800494543654
1-4 years	M	2004	74	8058452	0.918290510385866
1-4 years	M	2005	80	8127884	0.984266015607506
1-4 years	M	2006	57	8122053	0.701793007260603
1-4 years	M	2007	71	8164877	0.869578316978933
1-4 years	M	2008	77	8247098	0.933661755929177
1-4 years	M	2009	43	8297671	0.518217702292607
1-4 years	M	2010	36	8305151	0.433465929758532
1-4 years	M	2011	37	8255790	0.448170314409645
1-4 years	M	2012	40	8199397	0.487840752191899
1-4 years	M	2013	46	8135691	0.565409871146778
1-4 years	M	2014	38	8137871	0.466952597307084
1-4 years	M	2015	42	8142467	0.515814187518353
1-4 years	M	2016	37	8156375	0.453632894515027
1-4 years	M	2017	37	8180818	0.452277510635245
1-4 years	M	2018	28	8163697	0.342981862261669
1-4 years	M	2019	20	8074090	0.247705933424076
1-4 years	M	2020	26	7953016	0.326920001166853
1-4 years	M	2021	29	7802850	0.371659073287325
1-4 years	M	2022	39	7592228	0.513683203402216
10-14 years	F	2000	36	10007875	0.359716723080574
10-14 years	F	2001	32	10231469	0.312760562535057
10-14 years	F	2002	37	10371422	0.356749537334418
10-14 years	F	2003	28	10444875	0.26807405545782
10-14 years	F	2004	34	10443706	0.325554932320002
10-14 years	F	2005	23	10348382	0.222256967321075
10-14 years	F	2006	29	10261944	0.282597527330104
10-14 years	F	2007	26	10170082	0.25565182266967
10-14 years	F	2008	25	10108474	0.247317250853096
10-14 years	F	2009	21	10088732	0.208153016652638
10-14 years	F	2010	23	10097332	0.227782943058622
10-14 years	F	2011	22	10117822	0.217438100808652
10-14 years	F	2012	25	10102004	0.247475649386003
10-14 years	F	2013	23	10097931	0.227769431183477
10-14 years	F	2014	13	10120287	0.128454855084643
10-14 years	F	2015	27	10101942	0.267275341711524
10-14 years	F	2016	32	10099501	0.316847337309041
10-14 years	F	2017	21	10173382	0.206421030882356
10-14 years	F	2018	17	10220687	0.166329327960048
10-14 years	F	2019	18	10180007	0.176817167218058
10-14 years	F	2020	16	10159455	0.157488762930689
10-14 years	F	2021	23	10459561	0.219894506088735
10-14 years	F	2022	23	10187986	0.225756101353104
10-14 years	M	2000	29	10520197	0.275660237160958
10-14 years	M	2001	40	10747209	0.3721896540767
10-14 years	M	2002	31	10889999	0.284664856259399
10-14 years	M	2003	36	10970478	0.328153431418394
10-14 years	M	2004	22	10967974	0.200583991172846
10-14 years	M	2005	36	10864197	0.331363652555269
10-14 years	M	2006	30	10771194	0.278520654256158
10-14 years	M	2007	34	10670960	0.318621754743716
10-14 years	M	2008	23	10598181	0.217018373247258
10-14 years	M	2009	25	10571832	0.236477461995234
10-14 years	M	2010	27	10579862	0.25520181643201
