Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2020	2	7613266	0.0262699346115058
1-4 years	F	2022	1	7263012	0.0137683925071307
1-4 years	M	2022	5	7592228	0.065856820949002
10-14 years	F	2022	6	10187986	0.0588928960051574
10-14 years	M	2020	8	10594968	0.0755075428259906
10-14 years	M	2021	8	10988223	0.0728052206439567
15-19 years	F	2020	5	10266332	0.0487028862888907
15-19 years	F	2021	1	10541690	0.00948614501090432
15-19 years	M	2020	9	10694597	0.0841546436953164
15-19 years	M	2021	7	11022976	0.0635037216809689
15-19 years	M	2022	9	11082043	0.0812124623591516
20-24 years	F	2020	10	10561909	0.0946798538029441
20-24 years	F	2021	10	10550759	0.0947799110945478
20-24 years	F	2022	8	11103791	0.0720474655908059
20-24 years	M	2020	2	11032846	0.0181276889027546
20-24 years	M	2021	6	10973238	0.0546784823221733
20-24 years	M	2022	5	11601988	0.0430960625023918
25-29 years	F	2020	10	11356117	0.0880582685085051
25-29 years	F	2021	14	11013419	0.127117655289425
25-29 years	F	2022	12	10840422	0.110696797596994
25-29 years	M	2020	11	11875126	0.092630596087991
25-29 years	M	2021	1	11379058	0.00878807367007005
25-29 years	M	2022	12	11352742	0.10570133629391
30-34 years	F	2020	19	11269150	0.168601891003314
30-34 years	F	2021	16	11428324	0.140003031065623
30-34 years	F	2022	36	11471316	0.313826242778074
30-34 years	M	2020	14	11569253	0.121010405771228
30-34 years	M	2021	20	11674304	0.171316422803449
30-34 years	M	2022	18	11836820	0.152067869579836
35-39 years	F	2020	38	10890716	0.348921044309667
35-39 years	F	2021	49	11035485	0.444022170298813
35-39 years	F	2022	43	10965649	0.392133653010415
35-39 years	M	2020	31	10937588	0.283426291061612
35-39 years	M	2021	40	11263833	0.35511890135445
35-39 years	M	2022	37	11302300	0.327366996098139
40-44 years	F	2020	38	10199608	0.372563337728273
40-44 years	F	2021	48	10510756	0.456675047922338
40-44 years	F	2022	62	10609527	0.584380434679133
40-44 years	M	2020	45	10108280	0.445179595341641
40-44 years	M	2021	62	10593780	0.585249080120599
40-44 years	M	2022	65	10817889	0.600856599656366
45-49 years	F	2020	71	10097702	0.703130276571838
45-49 years	F	2021	71	9905753	0.716755202759447
45-49 years	F	2022	102	9779109	1.04303981068214
45-49 years	M	2020	71	9872904	0.719139981508987
45-49 years	M	2021	97	9875757	0.982203187056952
45-49 years	M	2022	83	9844989	0.843068488954127
5-9 years	M	2020	9	10346753	0.086983810283284
5-9 years	M	2021	9	10376158	0.0867373068143334
5-9 years	M	2022	6	10231946	0.0586398716334117
50-54 years	F	2020	111	10343739	1.07311292367296
50-54 years	F	2021	105	10470724	1.00279598621834
50-54 years	F	2022	139	10372906	1.34002949607371
50-54 years	M	2020	130	10051788	1.29330224632672
50-54 years	M	2021	114	10436202	1.09235141289906
50-54 years	M	2022	160	10434641	1.53335414222684
55-59 years	F	2020	179	11091171	1.6138963144649
55-59 years	F	2021	165	10937255	1.50860522132839
55-59 years	F	2022	207	10593091	1.95410385882647
55-59 years	M	2020	180	10511928	1.71234049548285
55-59 years	M	2021	200	10630059	1.88145710197846
55-59 years	M	2022	218	10373923	2.10142296217159
60-64 years	F	2020	216	10823072	1.99573651547361
60-64 years	F	2021	268	10902491	2.45815382924875
60-64 years	F	2022	337	10820443	3.11447507278584
60-64 years	M	2020	236	9977506	2.36532055204978
60-64 years	M	2021	283	10333259	2.73872937860166
60-64 years	M	2022	314	10297980	3.04914167632876
65-69 years	F	2020	268	9483316	2.82601571011659
65-69 years	F	2021	321	9646107	3.32776735733908
65-69 years	F	2022	385	9757521	3.94567431625307
65-69 years	M	2020	312	8390351	3.71855718550988
65-69 years	M	2021	364	8748213	4.16084976440331
65-69 years	M	2022	414	8873901	4.66536644932144
70-74 years	F	2020	353	7882542	4.47825079777564
70-74 years	F	2021	433	8150929	5.31227790108342
70-74 years	F	2022	507	8120246	6.24365320952099
70-74 years	M	2020	336	6793189	4.94613060228414
70-74 years	M	2021	398	7120873	5.58920233516312
70-74 years	M	2022	439	7036771	6.23865690669769
75-79 years	F	2020	414	5513149	7.5093199911702
75-79 years	F	2021	443	5432359	8.15483660045295
75-79 years	F	2022	506	5951314	8.50232402457676
75-79 years	M	2020	294	4473684	6.57176501514188
75-79 years	M	2021	374	4472410	8.36238180309945
75-79 years	M	2022	462	4909686	9.40997041358653
80-84 years	F	2020	416	3715123	11.1974758305445
80-84 years	F	2021	467	3605202	12.9535044083522
80-84 years	F	2022	515	3834386	13.4310943134051
80-84 years	M	2020	336	2749591	12.2199992653453
80-84 years	M	2021	356	2696104	13.2042384121681
80-84 years	M	2022	406	2825159	14.3708725774372
< 1 year	F	2021	8	1742991	0.458981142186047
< 1 year	F	2022	3	1800246	0.166643892001426
< 1 year	M	2020	7	1908141	0.366849200347354
< 1 year	M	2021	7	1821502	0.384298232996725
< 1 year	M	2022	7	1882867	0.371773470988657
