Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	2	7508434	0.026636712795238
1-4 years	F	2003	9	7636693	0.117852059785564
1-4 years	F	2004	5	7713175	0.0648241482917216
1-4 years	F	2005	1	7785123	0.0128450122111109
1-4 years	F	2007	3	7813088	0.038397110079907
1-4 years	F	2008	5	7891294	0.063360964627601
1-4 years	F	2009	6	7943260	0.0755357372162059
1-4 years	F	2010	1	7952058	0.0125753609946004
1-4 years	F	2011	9	7909731	0.113783894799962
1-4 years	F	2012	9	7856870	0.114549432534839
1-4 years	F	2015	4	7786776	0.0513691417346537
1-4 years	F	2016	8	7800517	0.102557304855563
1-4 years	F	2020	2	7613266	0.0262699346115058
1-4 years	F	2022	1	7263012	0.0137683925071307
1-4 years	M	2000	3	7861716	0.0381596079023969
1-4 years	M	2001	3	7817023	0.0383777814137172
1-4 years	M	2002	5	7913020	0.0631870006647273
1-4 years	M	2003	6	7979882	0.075189081743314
1-4 years	M	2004	1	8058452	0.0124093312214306
1-4 years	M	2005	9	8127884	0.110729926755844
1-4 years	M	2006	6	8122053	0.073872948132695
1-4 years	M	2007	4	8164877	0.048990327717123
1-4 years	M	2008	7	8247098	0.084878341448107
1-4 years	M	2009	5	8297671	0.0602578723596055
1-4 years	M	2013	3	8135691	0.0368745568139203
1-4 years	M	2014	4	8137871	0.0491529049796931
1-4 years	M	2015	1	8142467	0.0122812901790084
1-4 years	M	2016	3	8156375	0.0367810455012184
1-4 years	M	2018	2	8163697	0.0244987044472621
1-4 years	M	2019	9	8074090	0.111467670040834
1-4 years	M	2022	5	7592228	0.065856820949002
10-14 years	F	2000	5	10007875	0.0499606559834131
10-14 years	F	2001	1	10231469	0.00977376757922054
10-14 years	F	2002	2	10371422	0.0192837587748334
10-14 years	F	2003	8	10444875	0.0765925872736629
10-14 years	F	2004	9	10443706	0.0861763056141182
10-14 years	F	2005	6	10348382	0.0579800784315848
10-14 years	F	2006	6	10261944	0.0584684539303664
10-14 years	F	2007	8	10170082	0.0786620992829753
10-14 years	F	2008	8	10108474	0.0791415202729908
10-14 years	F	2009	7	10088732	0.0693843388842126
10-14 years	F	2010	3	10097332	0.0297108186598202
10-14 years	F	2012	6	10102004	0.0593941558526407
10-14 years	F	2013	7	10097931	0.0693211312297539
10-14 years	F	2014	5	10120287	0.0494057134940936
10-14 years	F	2015	2	10101942	0.0197981734601129
10-14 years	F	2019	2	10180007	0.0196463519131175
10-14 years	F	2022	6	10187986	0.0588928960051574
10-14 years	M	2000	4	10520197	0.0380221016773735
10-14 years	M	2001	7	10747209	0.0651331894634226
10-14 years	M	2002	6	10889999	0.0550964237921418
10-14 years	M	2004	3	10967974	0.0273523624326608
10-14 years	M	2006	5	10771194	0.046420109042693
10-14 years	M	2007	8	10670960	0.0749698246455801
10-14 years	M	2009	9	10571832	0.0851318863182843
10-14 years	M	2010	5	10579862	0.0472595956355574
10-14 years	M	2011	1	10587030	0.00944551965943234
10-14 years	M	2012	6	10567214	0.056779393319753
10-14 years	M	2013	4	10552523	0.0379056269292187
10-14 years	M	2014	5	10551219	0.0473878894940954
10-14 years	M	2015	2	10520388	0.0190107056888016
10-14 years	M	2017	8	10605072	0.0754356028888818
10-14 years	M	2019	9	10618261	0.0847596419036978
10-14 years	M	2020	8	10594968	0.0755075428259906
10-14 years	M	2021	8	10988223	0.0728052206439567
15-19 years	F	2000	4	9828886	0.0406963718980971
15-19 years	F	2001	8	9908897	0.0807355248520597
15-19 years	F	2002	3	9981879	0.0300544616900285
15-19 years	F	2003	7	10086567	0.069399231671192
15-19 years	F	2004	2	10242793	0.0195259242278937
15-19 years	F	2005	3	10434789	0.0287499823906358
15-19 years	F	2006	3	10597293	0.0283091162997947
15-19 years	F	2007	5	10731326	0.0465925646094434
15-19 years	F	2008	3	10805148	0.0277645433454498
15-19 years	F	2009	9	10804571	0.0832980781930166
15-19 years	F	2010	3	10736677	0.027941606141267
15-19 years	F	2011	4	10525097	0.0380044003394933
15-19 years	F	2013	6	10312774	0.0581802723496122
15-19 years	F	2014	6	10283624	0.0583451903725768
15-19 years	F	2015	8	10311036	0.0775867720760552
15-19 years	F	2016	3	10328153	0.0290468198912235
15-19 years	F	2017	2	10331169	0.0193588934611369
15-19 years	F	2018	4	10322313	0.0387510047408948
15-19 years	F	2019	2	10308963	0.0194005934447529
15-19 years	F	2020	5	10266332	0.0487028862888907
15-19 years	F	2021	1	10541690	0.00948614501090432
15-19 years	M	2000	3	10391004	0.02887112737133
15-19 years	M	2001	6	10547387	0.0568861273413026
15-19 years	M	2002	6	10628491	0.0564520400873464
15-19 years	M	2004	1	10859759	0.0092083074771733
15-19 years	M	2006	5	11210416	0.044601377861446
