Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	20	45676672	0.0437860271431334
1-4 years	M	44	47757977	0.092131205641311
10-14 years	F	101	61847729	0.1633042985297
10-14 years	M	57	64960054	0.0877462324769619
15-19 years	F	227	60483811	0.375307038771085
15-19 years	M	113	64188665	0.176043542890322
20-24 years	F	472	59376552	0.794926589876758
20-24 years	M	170	61985703	0.274256791118429
25-29 years	F	583	56633003	1.02943508046006
25-29 years	M	203	57672370	0.351988309133126
30-34 years	F	719	60792859	1.18270469891867
30-34 years	M	281	61383658	0.457776563267051
35-39 years	F	1024	64957965	1.57640406376647
35-39 years	M	490	64673296	0.757654287482116
40-44 years	F	1489	68912428	2.16071330413725
40-44 years	M	730	67757258	1.07737535660017
45-49 years	F	1905	65053497	2.92835910112565
45-49 years	M	986	63195287	1.56024293393905
5-9 years	F	37	58128639	0.0636519289570843
5-9 years	M	39	60930800	0.0640070374917119
50-54 years	F	2265	58107486	3.89794870836436
50-54 years	M	1304	55645932	2.34338783291472
55-59 years	F	2640	47669658	5.53811399276244
55-59 years	M	1445	44836574	3.22281537389543
60-64 years	F	3057	37430470	8.16714297202253
60-64 years	M	1716	34102355	5.03191055280493
65-69 years	F	3740	31525239	11.8635103765589
65-69 years	M	2051	27391872	7.48762260571311
70-74 years	F	5209	28979391	17.9748428805837
70-74 years	M	2801	23317343	12.0125178927976
75-79 years	F	7454	26104765	28.5541739218874
75-79 years	M	3684	18659772	19.7430065061888
80-84 years	F	9287	19836633	46.817421081491
80-84 years	M	3818	12079635	31.6069152751718
< 1 year	F	35	11614007	0.301360245434672
< 1 year	M	44	12150282	0.362131512667772
