Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	2	7508434	0.026636712795238
1-4 years	F	2001	3	7468536	0.0401685149539347
1-4 years	F	2002	3	7564711	0.0396578269810968
1-4 years	F	2003	5	7636693	0.0654733665475357
1-4 years	F	2004	1	7713175	0.0129648296583443
1-4 years	F	2005	6	7785123	0.0770700732666652
1-4 years	M	2000	8	7861716	0.101758954406392
1-4 years	M	2001	4	7817023	0.0511703752182896
1-4 years	M	2002	9	7913020	0.113736601196509
1-4 years	M	2003	7	7979882	0.0877205953671997
1-4 years	M	2004	9	8058452	0.111683980992876
1-4 years	M	2005	7	8127884	0.0861232763656568
10-14 years	F	2000	19	10007875	0.18985049273697
10-14 years	F	2001	11	10231469	0.107511443371426
10-14 years	F	2002	18	10371422	0.1735538289735
10-14 years	F	2003	12	10444875	0.114888880910494
10-14 years	F	2004	20	10443706	0.191502901364707
10-14 years	F	2005	21	10348382	0.202930274510547
10-14 years	M	2000	4	10520197	0.0380221016773735
10-14 years	M	2001	13	10747209	0.120961637574928
10-14 years	M	2002	8	10889999	0.0734618983895223
10-14 years	M	2003	13	10970478	0.11849985023442
10-14 years	M	2004	12	10967974	0.109409449730643
10-14 years	M	2005	7	10864197	0.0644318213301913
15-19 years	F	2000	28	9828886	0.28487460328668
15-19 years	F	2001	51	9908897	0.514688970931881
15-19 years	F	2002	37	9981879	0.370671694177018
15-19 years	F	2003	48	10086567	0.475880445745316
15-19 years	F	2004	31	10242793	0.302651825532352
15-19 years	F	2005	32	10434789	0.306666478833448
15-19 years	M	2000	17	10391004	0.163603055104204
15-19 years	M	2001	17	10547387	0.161177360800357
15-19 years	M	2002	13	10628491	0.122312753522584
15-19 years	M	2003	23	10710599	0.214740557460885
15-19 years	M	2004	22	10859759	0.202582764497813
15-19 years	M	2005	21	11051425	0.190020743931212
20-24 years	F	2000	71	9276187	0.765400697506421
20-24 years	F	2001	89	9676950	0.919711272663391
20-24 years	F	2002	83	9916245	0.837010380441387
20-24 years	F	2003	81	10093723	0.802478926754776
20-24 years	F	2004	69	10190641	0.677091853201384
20-24 years	F	2005	79	10222806	0.772781954387083
20-24 years	M	2000	36	9687814	0.371600858563139
20-24 years	M	2001	25	10080336	0.24800760609567
20-24 years	M	2002	21	10327520	0.20334020171348
20-24 years	M	2003	25	10497965	0.238141392165053
20-24 years	M	2004	32	10654919	0.300330767413624
20-24 years	M	2005	31	10737149	0.288717237695034
25-29 years	F	2000	102	9582576	1.06443194397832
25-29 years	F	2001	91	9303113	0.978167200591888
25-29 years	F	2002	89	9248586	0.962309265437982
25-29 years	F	2003	101	9307104	1.08519255828666
25-29 years	F	2004	104	9479080	1.09715288825498
25-29 years	F	2005	96	9712544	0.988412510666618
25-29 years	M	2000	43	9798760	0.438831035763709
25-29 years	M	2001	32	9516234	0.336267477239421
25-29 years	M	2002	37	9442754	0.391834839708839
25-29 years	M	2003	36	9464481	0.380369509960451
25-29 years	M	2004	28	9627975	0.290819201337768
25-29 years	M	2005	27	9822166	0.274888451284574
30-34 years	F	2000	120	10188619	1.17778474197534
30-34 years	F	2001	122	10263930	1.18862852727951
30-34 years	F	2002	108	10270193	1.05158685917587
30-34 years	F	2003	143	10193818	1.40281099780279
30-34 years	F	2004	103	10041145	1.02577943053307
30-34 years	F	2005	123	9835154	1.25061590291316
30-34 years	M	2000	52	10321769	0.503789612032589
30-34 years	M	2001	49	10388245	0.471686988514422
30-34 years	M	2002	48	10388113	0.462066594770388
30-34 years	M	2003	44	10278392	0.428082524970832
30-34 years	M	2004	41	10118356	0.405204165577886
30-34 years	M	2005	47	9888783	0.475285988174682
35-39 years	F	2000	186	11387968	1.63330279818138
35-39 years	F	2001	187	11141510	1.67840804343397
35-39 years	F	2002	177	10903446	1.62333999728159
35-39 years	F	2003	152	10660101	1.42587767226596
35-39 years	F	2004	167	10453320	1.59757856834001
35-39 years	F	2005	155	10411620	1.48872125567395
35-39 years	M	2000	72	11318696	0.636115679756749
35-39 years	M	2001	109	11094408	0.982476937931253
35-39 years	M	2002	81	10847772	0.746697109784387
35-39 years	M	2003	87	10604058	0.82044062754089
35-39 years	M	2004	75	10421329	0.719677883694105
35-39 years	M	2005	66	10387033	0.635407627953045
40-44 years	F	2000	251	11312761	2.21873334016338
40-44 years	F	2001	256	11500919	2.22590907735286
40-44 years	F	2002	240	11536009	2.08044220492546
40-44 years	F	2003	243	11546602	2.1045152504607
40-44 years	F	2004	248	11562414	2.14488081814057
40-44 years	F	2005	251	11453723	2.19142718922048
40-44 years	M	2000	136	11129102	1.22202132750693
40-44 years	M	2001	122	11314915	1.07822285894326
40-44 years	M	2002	113	11353422	0.99529463451636
40-44 years	M	2003	133	11343445	1.17248331525388
40-44 years	M	2004	102	11363212	0.897633521226217
40-44 years	M	2005	124	11253162	1.1019125113457
45-49 years	F	2000	309	10202898	3.02855129983658
45-49 years	F	2001	293	10505949	2.78889608163908
45-49 years	F	2002	321	10785791	2.97613777237108
45-49 years	F	2003	327	11017265	2.9680687539058
45-49 years	F	2004	330	11184506	2.95051028628354
45-49 years	F	2005	325	11357088	2.8616490424306
45-49 years	M	2000	161	9889506	1.62798829385411
45-49 years	M	2001	150	10193034	1.47159324691745
45-49 years	M	2002	174	10466497	1.6624473307545
45-49 years	M	2003	157	10705411	1.46654808488903
45-49 years	M	2004	167	10880756	1.5348198231814
45-49 years	M	2005	177	11060083	1.60034965379555
5-9 years	F	2000	9	10026228	0.0897645654976129
5-9 years	F	2001	3	9844298	0.0304744939659486
5-9 years	F	2002	11	9699735	0.113405160037877
5-9 years	F	2003	9	9581247	0.0939334932081388
5-9 years	F	2004	2	9503231	0.0210454739025075
5-9 years	F	2005	3	9473900	0.0316659453867995
5-9 years	M	2000	8	10523277	0.0760219463955952
5-9 years	M	2001	4	10329064	0.0387256773701857
5-9 years	M	2002	5	10172682	0.0491512464461191
5-9 years	M	2003	8	10039604	0.0796844178316197
5-9 years	M	2004	6	9951006	0.0602954113383109
5-9 years	M	2005	8	9915167	0.0806844705691795
50-54 years	F	2000	368	8977824	4.0989887972854
50-54 years	F	2001	352	9541132	3.68928969853892
50-54 years	F	2002	362	9571812	3.7819380489295
50-54 years	F	2003	409	9759654	4.1907223350336
50-54 years	F	2004	384	9999623	3.84014477345796
50-54 years	F	2005	390	10257441	3.80211789665668
50-54 years	M	2000	154	8607724	1.78909082122057
50-54 years	M	2001	219	9146153	2.39444933842677
50-54 years	M	2002	209	9168094	2.27964503854345
50-54 years	M	2003	220	9337624	2.35605974282109
50-54 years	M	2004	253	9565045	2.6450476709728
50-54 years	M	2005	249	9821292	2.53530798188263
55-59 years	F	2000	363	6960508	5.21513659635188
55-59 years	F	2001	381	7209396	5.28477004176217
55-59 years	F	2002	433	7801990	5.54986612389916
55-59 years	F	2003	450	8141956	5.52692743610995
55-59 years	F	2004	504	8547949	5.89615122879184
55-59 years	F	2005	509	9007859	5.65062130746052
55-59 years	M	2000	222	6508729	3.41080416775687
55-59 years	M	2001	217	6759579	3.21025910045581
55-59 years	M	2002	219	7341077	2.98321349850982
55-59 years	M	2003	251	7672601	3.2713808524645
55-59 years	M	2004	253	8059227	3.13925888922101
55-59 years	M	2005	283	8495361	3.33122983237558
60-64 years	F	2000	476	5668820	8.39680921249925
60-64 years	F	2001	484	5834170	8.29595298045823
60-64 years	F	2002	523	6051668	8.64224541068677
60-64 years	F	2003	555	6377463	8.70252010870153
60-64 years	F	2004	502	6637798	7.5627489718729
60-64 years	F	2005	517	6860551	7.53583786491785
60-64 years	M	2000	244	5136627	4.75019891457955
60-64 years	M	2001	251	5302150	4.73392868930528
60-64 years	M	2002	294	5508597	5.33711215396588
60-64 years	M	2003	293	5816925	5.03702557622799
60-64 years	M	2004	323	6060330	5.32974276978316
60-64 years	M	2005	311	6277726	4.9540231606158
65-69 years	F	2000	639	5133183	12.4484165088211
65-69 years	F	2001	652	5134618	12.6981208728673
65-69 years	F	2002	626	5163814	12.122822394455
65-69 years	F	2003	576	5253706	10.9636892509783
65-69 years	F	2004	618	5370418	11.5074841474165
65-69 years	F	2005	629	5469500	11.5001371240516
65-69 years	M	2000	341	4400362	7.74936243881753
65-69 years	M	2001	314	4427615	7.09185419238123
65-69 years	M	2002	345	4474667	7.71007093935705
65-69 years	M	2003	381	4577090	8.32406616430964
65-69 years	M	2004	332	4703011	7.05930732460545
65-69 years	M	2005	338	4809127	7.02830264203877
70-74 years	F	2000	874	4954529	17.6404255581106
70-74 years	F	2001	906	4908508	18.4577472421355
70-74 years	F	2002	881	4852844	18.1543029201021
70-74 years	F	2003	883	4794496	18.4169514376485
70-74 years	F	2004	848	4739945	17.8905029488739
70-74 years	F	2005	817	4729069	17.2761277113952
70-74 years	M	2000	471	3902912	12.0679123690209
70-74 years	M	2001	479	3913438	12.2398770595062
70-74 years	M	2002	501	3897210	12.8553503660311
70-74 years	M	2003	482	3875623	12.4367101753705
70-74 years	M	2004	428	3854159	11.1048869545859
70-74 years	M	2005	440	3874001	11.3577668152383
75-79 years	F	2000	1294	4371357	29.6017918463306
75-79 years	F	2001	1271	4378159	29.0304669154318
75-79 years	F	2002	1308	4368692	29.940311653923
75-79 years	F	2003	1239	4365982	28.3784953762979
75-79 years	F	2004	1198	4321319	27.7230169769924
75-79 years	F	2005	1144	4299256	26.6092551827572
75-79 years	M	2000	626	3044456	20.561965750203
75-79 years	M	2001	614	3077254	19.9528540705447
75-79 years	M	2002	595	3101769	19.1826019281255
75-79 years	M	2003	644	3131860	20.5628604088305
75-79 years	M	2004	605	3140080	19.2670250439479
75-79 years	M	2005	600	3164353	18.9612220886861
80-84 years	F	2000	1460	3110470	46.9382440595794
80-84 years	F	2001	1538	3211574	47.8892904227024
80-84 years	F	2002	1506	3295412	45.6999003462996
80-84 years	F	2003	1573	3347175	46.9948538693077
80-84 years	F	2004	1616	3417423	47.2870932278503
80-84 years	F	2005	1594	3454579	46.1416572033814
80-84 years	M	2000	605	1834897	32.9718779855218
80-84 years	M	2001	626	1926631	32.491950975563
80-84 years	M	2002	630	1998991	31.5158997714347
80-84 years	M	2003	619	2051421	30.174206074716
80-84 years	M	2004	657	2111081	31.1214965223978
80-84 years	M	2005	681	2156614	31.5772780849981
< 1 year	F	2000	7	1856631	0.377026991362312
< 1 year	F	2001	6	1962905	0.305669403256908
< 1 year	F	2002	6	1932939	0.310408140143067
< 1 year	F	2003	2	1942634	0.102953000925547
< 1 year	F	2004	7	1962216	0.356739523069835
< 1 year	F	2005	7	1956682	0.357748474202758
< 1 year	M	2000	3	1949017	0.153923747201795
< 1 year	M	2001	7	2049753	0.34150456176915
< 1 year	M	2002	11	2018522	0.544953188521106
< 1 year	M	2003	9	2033237	0.442643921982533
< 1 year	M	2004	10	2052042	0.487319460322937
< 1 year	M	2005	4	2047711	0.195340065077543
